anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,(सः),(सः),तद्{सर्वनाम;पुं;1;एक},तद्{सर्वनाम;पुं;1;एक},"कर्ता,7.1","विशेषणम्,5.2#विशेषणम्,3.2#सुप्_समुच्चितः,5.2#कर्ता_बे_वेर्ब्स्,7.1"
2.1,पीन-,पीन-वक्षः,पीन,पीन,"षष्ठी-बहुव्रीहिः,2.2","षष्ठी-बहुव्रीहिः,2.2"
2.2,वक्षः,--,वक्षस्{नपुं;1;एक}/वक्षस्{नपुं;2;एक}/वक्षस्{नपुं;8;एक}/वक्षस्{पुं;8;एक},वक्षस्{नपुं;1;एक},"समुच्चितः,5.2","सम्बोध्यः,7.1#विधेय_विशेषणम्,5.2#विधेय_विशेषणम्,3.2#विधेय_विशेषणम्,1.1#सुप्_समुच्चितः,5.2#कर्ता_बे_वेर्ब्स्,7.1"
3.1,विशाल-,विशाल-अक्षः,विशाल,विशाल,"षष्ठी-बहुव्रीहिः,3.2","षष्ठी-बहुव्रीहिः,3.2"
3.2,अक्षः,--,अक्ष{पुं;1;एक},अक्ष{पुं;1;एक},"समुच्चितः,5.2","विधेय_विशेषणम्,5.2#विधेय_विशेषणम्,2.2#विधेय_विशेषणम्,1.1#सुप्_समुच्चितः,5.2#कर्ता_बे_वेर्ब्स्,7.1"
4.1,लक्ष्मीवान्,लक्ष्मीवान्,लक्ष्मी{मतुप्;पुं;1;एक},लक्ष्मी,"समुच्चितः,5.2","समुच्चितः,5.2"
5.1,शुभ-,शुभ-लक्षणः,शुभ,शुभ,"षष्ठी-बहुव्रीहिः,5.2","षष्ठी-बहुव्रीहिः,5.2"
5.2,लक्षणः,--,लक्षण{पुं;1;एक},लक्षण{पुं;1;एक},"विधेय_विशेषणम्,1.1","विधेय_विशेषणम्,3.2#विधेय_विशेषणम्,2.2#विधेय_विशेषणम्,1.1#कर्ता_बे_वेर्ब्स्,7.1"
6.1,(च),(च),च{अव्य},च{अव्य},"समुच्चय_द्योतकः,5.2","सुप्_समुच्चय_द्योतकः,5.2#सम्बन्धः,5.2"
7.1,(अस्ति),(अस्ति),अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},"अभिहित_कर्ता,1.1",-
8.1,.,.,-,-,-,-
