anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,रामः,रामः,राम{पुं;1;एक},राम{पुं;1;एक},"कर्ता,9.1;कर्ता,12.1",-
2.1,गुहेन,गुहेन,गुह{पुं;3;एक},गुह{पुं;3;एक},"समुच्चितः,4.1","विशेषणम्,3.1#सुप्_समुच्चितः,4.1#सहार्थः,27.1#सहार्थः,22.1#सहार्थः,19.1#सहार्थः,16.1#सहार्थः,14.1#सहार्थः,12.1#सहार्थः,9.1#हेतुः,9.1"
3.1,लक्ष्मणेन,--,लक्ष्मण{पुं;3;एक},लक्ष्मण{पुं;3;एक},"समुच्चितः,4.1","सुप्_समुच्चितः,4.1#सहार्थः,27.1#सहार्थः,22.1#सहार्थः,19.1#सहार्थः,16.1#सहार्थः,14.1#सहार्थः,12.1#सहार्थः,9.1#हेतुः,9.1"
4.1,सीतया,--,सीता{स्त्री;3;एक},सीता{स्त्री;3;एक},"सहार्थः,6.1","सहार्थः,27.1#सहार्थः,22.1#सहार्थः,19.1#सहार्थः,16.1#सहार्थः,14.1#सहार्थः,12.1#सहार्थः,9.1#हेतुः,9.1"
5.1,च,--,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,4.1","सुप्_समुच्चय_द्योतकः,4.1#सम्बन्धः,4.1"
6.1,सहितः,--,सहित{पुं;1;एक}/सहितृ{पुं;8;एक}/सहितृ{नपुं;8;एक},सहित{पुं;1;एक},"विशेषणम्,1.1","सहार्थ_द्योतकः,7.1#सहार्थ_द्योतकः,4.1#सहार्थ_द्योतकः,3.1#सहार्थ_द्योतकः,2.1#विशेषणम्,24.1#सम्बन्ध_उप,9.1"
7.1,वनेन,--,वन{नपुं;3;एक},वन{नपुं;3;एक},"करणवीप्सा,8.1","सुप्_समुच्चितः,4.1#सहार्थः,27.1#सहार्थः,22.1#सहार्थः,19.1#सहार्थः,16.1#सहार्थः,14.1#सहार्थः,12.1#सहार्थः,9.1#करणम्,9.1#हेतुः,9.1#करणवीप्सा,8.1"
8.1,वनम्,--,वन{नपुं;1;एक}/वन{नपुं;2;एक},वन{नपुं;2;एक},"कर्म,9.1","कर्म,9.1"
9.1,गत्वा,--,गम्1{अव्य;क्त्वा;भ्वादिः},गम्1{अव्य;क्त्वा;भ्वादिः},"पूर्वकालः,27.1","पूर्वकालः,27.1"
10.1,बहु-,--,बहु,बहु,"षष्ठी-बहुव्रीहिः,10.2","षष्ठी-बहुव्रीहिः,10.2"
10.2,उदकाः,--,उदक{पुं;8;बहु}/उदक{पुं;1;बहु}/उदका{स्त्री;8;बहु}/उदका{स्त्री;1;बहु}/उदका{स्त्री;2;बहु},उदका{स्त्री;2;बहु},"विशेषणम्,11.1","विशेषणम्,22.1#विशेषणम्,20.3#विशेषणम्,11.1#कर्म,12.1#कर्ता,27.1#विशेषणम्,24.1#विशेषणम्,23.1"
11.1,नदीः,--,नदी{स्त्री;2;बहु},नदी{स्त्री;2;बहु},"कर्म,12.1","कर्म,12.1"
12.1,तीर्त्वा,--,तॄ1{अव्य;क्त्वा;भ्वादिः},तॄ1{अव्य;क्त्वा;भ्वादिः},"पूर्वकालः,27.1","पूर्वकालः,27.1"
13.1,चित्रकूटम्,--,चित्रकूट{पुं;2;एक},चित्रकूट{पुं;2;एक},"कर्म,14.1","कर्म,14.1"
14.1,अनुप्राप्य,--,अनु_प्र_आप्1{अव्य;ल्यप्;स्वादिः},अनु_प्र_आप्1{अव्य;ल्यप्;स्वादिः},"पूर्वकालः,27.1","पूर्वकालः,27.1"
