anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,रामेण,रामेण,राम{पुं;3;एक},राम{पुं;3;एक},"कर्ता,2.1","सम्बन्धः,11.1#कर्ता,2.1"
2.1,प्रीतः,प्रीतः,प्रीत{पुं;1;एक(प्री2;क्त;क्र्यादिः)},प्रीत{पुं;1;एक(प्री2;क्त;क्र्यादिः)},"विशेषणम्,4.1","विशेषणम्,11.1#विशेषणम्,10.2#विशेषणम्,8.2#विशेषणम्,7.1#विशेषणम्,4.1#विशेषणम्,3.1#कर्ता,14.1"
3.1,वानरः,वानरः,वानर{पुं;1;एक},वानर{पुं;1;एक},"अभेदः,4.1","विशेषणम्,4.1#सुप्_समुच्चितः,11.1#सुप्_समुच्चितः,4.1#कर्ता,14.1#अभेदः,4.1"
4.1,सुग्रीवः,सुग्रीवः,सुग्रीव{पुं;1;एक},सुग्रीव{पुं;1;एक},"कर्ता,14.1;कर्ता,9.1","सुप्_समुच्चितः,11.1#कर्ता,14.1"
5.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,4.1","सुप्_समुच्चय_द्योतकः,4.1#सम्बन्धः,4.1"
6.1,अपि,अपि,अपि{अव्य},अपि{अव्य},"सम्बन्धः,5.1","सम्बन्धः,5.1"
7.1,रामस्य,--,राम{पुं;6;एक},राम{पुं;6;एक},"षष्ठीसम्बन्धः,8.2","षष्ठीसम्बन्धः,8.2#षष्ठीसम्बन्धः,3.1"
8.1,तत्-,--,तत्,तत्,"कर्मधारयः,8.2","कर्मधारयः,8.2"
8.2,सर्वम्,--,सर्व{सर्वनाम;पुं;2;एक}/सर्व{सर्वनाम;नपुं;1;एक}/सर्व{सर्वनाम;नपुं;2;एक}/सर्व{पुं;2;एक}/सर्व{नपुं;1;एक}/सर्व{नपुं;2;एक},सर्व{नपुं;2;एक},"कर्म,9.1","विशेषणम्,11.1#सुप्_समुच्चितः,11.1#कर्म,14.1#कर्म,9.1#सुप्_समुच्चितः,4.1#कर्ता,14.1#विशेषणम्,10.2"
9.1,श्रुत्वा,--,श्रु1{अव्य;क्त्वा;भ्वादिः},श्रु1{अव्य;क्त्वा;भ्वादिः},"पूर्वकालः,14.1","पूर्वकालः,14.1"
10.1,अग्नि-,--,अग्नि,अग्नि,"षष्ठी-बहुव्रीहिः,10.2","षष्ठी-बहुव्रीहिः,10.2"
10.2,साक्षिकम्,--,साक्षिक{पुं;2;एक},साक्षिक{पुं;2;एक},"विशेषणम्,11.1","सुप्_समुच्चितः,11.1#कर्म,14.1#विशेषणम्,11.1"
11.1,सख्यम्,--,सखी{स्त्री;2;एक}/सख्य{नपुं;1;एक}/सख्य{नपुं;2;एक},सख्य{नपुं;2;एक},"कर्म,14.1","कर्म,14.1#सुप्_समुच्चितः,4.1#कर्ता,14.1"
12.1,च,--,च{अव्य},च{अव्य},"सम्बन्धः,11.1","सुप्_समुच्चय_द्योतकः,11.1#सम्बन्धः,11.1"
13.1,एव,--,एव{अव्य},एव{अव्य},"सम्बन्धः,12.1","सम्बन्धः,12.1"
14.1,चकार,--,कृ2{कर्तरि;लिट्;प्र;एक;परस्मैपदी;स्वादिः}/कृ2{कर्तरि;लिट्;उ;एक;परस्मैपदी;स्वादिः}/कृ3{कर्तरि;लिट्;प्र;एक;परस्मैपदी;तनादिः}/कृ3{कर्तरि;लिट्;उ;एक;परस्मैपदी;तनादिः}/कॄ1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;तुदादिः}/कॄ1{कर्तरि;लिट्;उ;एक;परस्मैपदी;तुदादिः},कृ3{कर्तरि;लिट्;प्र;एक;परस्मैपदी;तनादिः},"अभिहित_कर्ता,4.1;सकर्मक",-
15.1,.,-,-,-,-,-
