anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,ततः,ततः,ततः{अव्य},ततः{अव्य},"सम्बन्धः,6.1","सम्बन्धः,6.1#कार्य_द्योतकः,6.1"
2.1,वानर-,वानर-राजेन,वानर,वानर,"षष्ठी-तत्पुरुषः,2.2","षष्ठी-तत्पुरुषः,2.2"
2.2,राजेन,--,राज{पुं;3;एक}/राज{नपुं;3;एक},राज{पुं;3;एक},"कर्ता,6.1","सुप्_समुच्चितः,9.1#कर्ता,6.1#हेतुः,6.1#विशेषणम्,9.1"
3.1,वैर-,वैर-अनुकथनं,वैर,वैर,"षष्ठी-तत्पुरुषः,3.2","षष्ठी-तत्पुरुषः,3.2"
3.2,अनुकथनम्,--,अनुकथन{पुं;2;एक},अनुकथन{पुं;2;एक},"आभिमुख्यम्,6.1","विशेषणम्,7.1#विशेषणम्,6.1#उप_कर्मप्रवचनीयः,4.1#उप_आभिमुख्यम्,4.1#कर्म,6.1#आभिमुख्यम्,6.1"
4.1,प्रति,प्रति,प्रति{अव्य},प्रति{अव्य},"आभिमुख्य_द्योतकः,3.2","आभिमुख्य_द्योतकः,3.2"
5.1,रामाय,रामाय,राम{पुं;4;एक},राम{पुं;4;एक},"प्रयोजनम्,6.1","प्रयोजनम्1,6.1"
6.1,आवेदितम्,आवेदितं,आवेदित{पुं;2;एक(आङ्_विद्1;क्त;अदादिः)}/आवेदित{नपुं;1;एक(आङ्_विद्1;क्त;अदादिः)}/आवेदित{नपुं;2;एक(आङ्_विद्1;क्त;अदादिः)},आवेदित{नपुं;1;एक(आङ्_विद्1;क्त;अदादिः)},-,-
7.1,सर्वम्,सर्वं,सर्व{सर्वनाम;पुं;2;एक}/सर्व{सर्वनाम;नपुं;1;एक}/सर्व{सर्वनाम;नपुं;2;एक},सर्व{सर्वनाम;पुं;2;एक},"कर्म,6.1","विशेषणम्,6.1#कर्म,6.1#विशेषणम्,3.2"
8.1,प्रणयात्,प्रणयात्,प्रणय{पुं;5;एक},प्रणय{पुं;5;एक},"हेतुः,9.1","हेतुः5,6.1#हेतुः,9.1"
9.1,दुःखितेन,दुःखितेन,दुःखित{पुं;3;एक},दुःखित{पुं;3;एक},"विशेषणम्,2.2","विशेषणम्,2.2#कर्ता,6.1#हेतुः,6.1"
10.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,9.1","सुप्_समुच्चय_द्योतकः,9.1#सम्बन्धः,9.1"
11.1,.,.,-,-,-,-
