anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,ततः,ततः,ततः{अव्य},ततः{अव्य},"सम्बन्धः,10.1","सम्बन्धः,10.1#सम्बन्धः,8.2#कार्य_द्योतकः,10.1#कार्य_द्योतकः,8.2"
2.1,सुग्रीव-,सुग्रीव-वचनात्,सुग्रीव,सुग्रीव,"षष्ठी-तत्पुरुषः,2.2","षष्ठी-तत्पुरुषः,2.2"
2.2,वचनात्,--,वचन{नपुं;5;एक},वचन{नपुं;5;एक},"हेतुः,3.1","हेतुः5,10.1#हेतुः5,8.2#हेतुः5,5.1#हेतुः5,3.1"
3.1,हत्वा,हत्वा,हन्1{अव्य;क्त्वा;अदादिः},हन्1{अव्य;क्त्वा;अदादिः},"पूर्वकालः,10.1","पूर्वकालः,10.1#पूर्वकालः,8.2"
4.1,वालिनम्,वालिनम्,वालिन्{पुं;2;एक},वालिन्{पुं;2;एक},"कर्म,3.1","विशेषणम्,6.1#कर्म,10.1#कर्म,3.1"
5.1,आहवे,आहवे,आहव{पुं;7;एक(आङ्_हु1;घञ्;जुहोत्यादिः)},आहव{पुं;7;एक(आङ्_हु1;घञ्;जुहोत्यादिः)},"अधिकरणम्,3.1","विशेषणम्,8.2#अधिकरणम्,10.1#अधिकरणम्,8.2#अधिकरणम्,3.1"
6.1,सुग्रीवम्,सुग्रीवम्,सुग्रीव{पुं;2;एक}/सुग्रीव{नपुं;1;एक}/सुग्रीव{नपुं;2;एक},सुग्रीव{पुं;2;एक},"कर्म,10.1","कर्म,10.1#कर्म,3.1#प्रयोजककर्ता,10.1"
7.1,एव,एव,एव{अव्य},एव{अव्य},"सम्बन्धः,6.1","सम्बन्धः,6.1"
8.1,तद्-,तद्-राज्ये,तद्,तद्,"सप्तमी-तत्पुरुषः,8.2","सप्तमी-तत्पुरुषः,8.2"
8.2,राज्ये,--,राज्1{कर्मणि;लट्;उ;एक;आत्मनेपदी;भ्वादिः}/राज्य{नपुं;1;द्वि}/राज्य{नपुं;2;द्वि}/राज्य{नपुं;8;द्वि}/राज्य{नपुं;7;एक}/राज्य{पुं;7;एक}/राज्या{स्त्री;8;एक}/राज्या{स्त्री;8;द्वि}/राज्या{स्त्री;1;द्वि}/राज्या{स्त्री;2;द्वि},राज्य{नपुं;7;एक},"अधिकरणम्,10.1","कर्म,10.1#कर्म,3.1#सम्बोध्यः,10.1#विशेषणम्,5.1#अधिकरणम्,10.1#अधिकरणम्,5.1#अधिकरणम्,3.1"
9.1,राघवः,राघवः,राघव{पुं;1;एक},राघव{पुं;1;एक},"प्रयोजककर्ता,10.1;कर्ता,3.1","प्रयोजककर्ता,10.1"
10.1,प्रत्यपादयत्,प्रत्यपादयत्,प्रति_पद्1{णिजन्त;कर्तरि;लङ्;प्र;एक;परस्मैपदी;दिवादिः},प्रति_पद्1{णिजन्त;कर्तरि;लङ्;प्र;एक;परस्मैपदी;दिवादिः},"अभिहित_कर्ता,9.1;सकर्मक",-
11.1,.,.,-,-,-,-
