chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1,027_2-028,1,1.1,तान्,तान्समीक्ष्य,तद्{पुं;2;बहु},तद्{पुं;2;बहु},"विशेषणम्,6.1","विशेषणम्,6.1",उन
1,027_2-028,1,2.1,समीक्ष्य,-,सम्_ईक्ष्1{कृत्_प्रत्ययः:ल्यप्;ईक्षँ;भ्वादिः},सम्_ईक्ष्1{कृत्_प्रत्ययः:ल्यप्;सम्_ईक्षँ;भ्वादिः},"पूर्वकालः,13.1","पूर्वकालः,13.1",देखकर
1,027_2-028,1,3.1,सः,स,तद्{पुं;1;एक},तद्{पुं;1;एक},"विशेषणम्,4.1","विशेषणम्,4.1",वे
1,027_2-028,1,4.1,कौन्तेयः,कौन्तेयः,कौन्तेय{पुं;1;एक},कौन्तेय{पुं;1;एक},"कर्ता,13.1","कर्ता,13.1",कुन्तीपुत्र_अर्जुन
1,027_2-028,1,5.1,सर्वान्,सर्वान्बन्धूनवस्थितान्,सर्व{पुं;2;बहु},सर्व{पुं;2;बहु},"विशेषणम्,6.1","विशेषणम्,6.1",सम्पूर्ण
1,027_2-028,1,6.1,बन्धून्,-,बन्धु{पुं;2;बहु},बन्धु{पुं;2;बहु},"कर्म,2.1","कर्म,2.1",बन्धुओं_को
1,027_2-028,1,7.1,अवस्थितान्,-,अवस्थित{पुं;2;बहु},अव_स्था1{कृत्_प्रत्ययः:क्त;अव_ष्ठा;भ्वादिः;पुं;2;बहु},"विशेषणम्,6.1","विशेषणम्,6.1",उपस्थित
1,027_2-028,1,8.1,कृपया,कृपया,कृपा{स्त्री;3;एक},कृपा{स्त्री;3;एक},"क्रियाविशेषणम्,10.1","क्रियाविशेषणम्,10.1",करुणा_से
1,027_2-028,1,9.1,परया,परयाविष्टो,परा{स्त्री;3;एक}/परा{स्त्री;3;एक},परा{स्त्री;3;एक},"विशेषणम्,8.1","विशेषणम्,8.1",अत्यन्त
1,027_2-028,1,10.1,आविष्टः,-,आविष्ट{पुं;1;एक},आङ्_विष्2{कृत्_प्रत्ययः:क्त;आङ्_विषॢँ;जुहोत्यादिः;पुं;1;एक},"विशेषणम्,4.1","विशेषणम्,4.1",युक्त_होकर
1,027_2-028,1,11.1,विषीदन्,विषीदन्निदमब्रवीत्,विषीदन्,वि_सद्1{कृत्_प्रत्ययः:शतृ;वि_षदॢँ;भ्वादिः;पुं}{1;एक},"वर्तमानसमानकालः,13.1","वर्तमानसमानकालः,13.1",शोक_करते_हुए
1,027_2-028,1,12.1,इदम्,-,इदम्{नपुं;1;एक}/इदम्{नपुं;2;एक},इदम्{नपुं}{2;एक},"कर्म,13.1","कर्म,13.1",यह_(वचन)
1,027_2-028,1,13.1,अब्रवीत्,-,ब्रू1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;ब्रूञ्;अदादिः},ब्रू1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;ब्रूञ्;अदादिः},"अभिहित_कर्ता,4.1;सकर्मकः.1","अभिहित_कर्ता,4.1;सकर्मकः.1",बोले
