chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
5,008_009,1,1.1,न,नैव,न{अव्य},न{अव्य},"प्रतिषेधः,4.1","प्रतिषेधः,4.1",नहीं
5,008_009,1,2.1,एव,0,एव{अव्य},एव{अव्य},"सम्बन्धः,1.1","सम्बन्धः,1.1",निःसन्देह
5,008_009,1,3.1,किञ्चित्,किञ्चित्करोमीति,किञ्चित्{अव्य}/किञ्चित्{नपुं;1;एक}/किञ्चित्{नपुं;2;एक},किञ्चित्{नपुं;2;एक},"कर्म,4.1","कर्म,4.1",कुछ_भी
5,008_009,1,4.1,करोमि,0,कृ3{कर्तरि;लट्;उ;एक;परस्मैपदी;डुकृञ्;तनादिः},कृ3{कर्तरि;लट्;उ;एक;परस्मैपदी;डुकृञ्;तनादिः},"वाक्यकर्म,7.1","वाक्यकर्म,7.1",करता_हूँ
5,008_009,1,4.1.1,(अहम्),-,अस्मद्{1;एक},अस्मद्{1;एक},"कर्ता,4.1","कर्ता,4.1",(मैं)
5,008_009,1,5.1,इति,0,इति{अव्य},इति{अव्य},"वाक्यकर्म_द्योतकः,4.1","वाक्यकर्म_द्योतकः,4.1",ऐसा
5,008_009,1,6.1,युक्तः,युक्तो,युक्त{पुं;1;एक},युक्त{पुं;1;एक},"विशेषणम्,8.2","विशेषणम्,8.2;कर्ता,7.1",युक्त
5,008_009,1,7.1,मन्येत,मन्येत,मन्1{कर्मणि;विधिलिङ्;प्र;एक;आत्मनेपदी;मनँ;दिवादिः}/मन्2{कर्मणि;विधिलिङ्;प्र;एक;आत्मनेपदी;मनुँ;तनादिः}/मन्1{कर्तरि;विधिलिङ्;प्र;एक;आत्मनेपदी;मनँ;दिवादिः},मन्1{कर्तरि;विधिलिङ्;प्र;एक;आत्मनेपदी;मनँ;दिवादिः},"अभिहित_कर्ता,6.1;सकर्मकः.1","अभिहित_कर्ता,6.1;सकर्मकः.1",माने
5,008_009,1,8.1,तत्त्व-,तत्त्ववित्,तत्त्व,तत्त्व,"उपपद-तत्पुरुषः,8.2","उपपद-तत्पुरुषः,8.2",तत्त्व_को_जाननेवाला
5,008_009,1,8.2,वित्,-,विद्{नपुं;1;एक},विद्{नपुं;1;एक},"कर्ता,7.1","कर्ता,7.1;विशेषणम्,6.1",-
