chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
6,020_021_022_023,1,1.1,यत्र,यत्रोपरमते,यत्र{अव्य},यत्र{अव्य},"अधिकरणम्,2.1","अधिकरणम्,2.1",जिस_अवस्था_में
6,020_021_022_023,1,2.1,उपरमते,0,उपरमता{स्त्री;1;द्वि}/उपरमता{स्त्री;2;द्वि}/उप_रम्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;रमुँ;भ्वादिः},उप_रम्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;रमुँ;भ्वादिः},"अभिहित_कर्ता,3.1","अभिहित_कर्ता,3.1",उपराम_हो_जाता_है
6,020_021_022_023,1,3.1,चित्तम्,चित्तं,चित्त{पुं;2;एक}/चित्त{नपुं;1;एक}/चित्त{नपुं;2;एक},चित्त{नपुं;1;एक},"कर्ता,2.1","कर्ता,2.1",चित्त
6,020_021_022_023,1,4.1,निरुद्धम्,निरुद्धं,निरुद्ध{नपुं;1;एक}/निरुद्ध{नपुं;2;एक}/नि_रुध्1{कृत्_प्रत्ययः:क्त;रुधिँर्;रुधादिः;पुं;1;एक},नि_रुध्1{कृत्_प्रत्ययः:क्त;रुधिँर्;रुधादिः;पुं;1;एक},"विशेषणम्,3.1","विशेषणम्,3.1",निरुद्ध
6,020_021_022_023,1,5.1,योग-,योगसेवया,योग,योग,"षष्ठी-तत्पुरुषः,5.2","षष्ठी-तत्पुरुषः,5.2",योग_के_अभ्यास_से
6,020_021_022_023,1,5.2,सेवया,-,सेवा{स्त्री;3;एक},सेवा{स्त्री;3;एक},"करणम्,2.1","करणम्,2.1",-
6,020_021_022_023,1,6.1,यत्र,यत्र,यत्र{अव्य},यत्र{अव्य},"अधिकरणम्,11.1","अधिकरणम्,11.1",जिस_अवस्था_में
6,020_021_022_023,1,7.1,च,चैवात्मनात्मानं,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,13.1","समुच्चय_द्योतकः,13.1",और
6,020_021_022_023,1,8.1,एव,0,एव{अव्य},एव{अव्य},"सम्बन्धः,12.1","सम्बन्धः,12.1",ही
6,020_021_022_023,1,9.1,आत्मना,0,आत्मन्{पुं;3;एक},आत्मन्{पुं;3;एक},"करणम्,11.1","करणम्,11.1",सूक्ष्म_बुद्धि_द्वारा
6,020_021_022_023,1,10.1,आत्मानम्,0,आत्मन्{पुं;2;एक},आत्मन्{पुं;2;एक},"कर्म,11.1","कर्म,11.1",परमात्मा_को
6,020_021_022_023,1,11.1,पश्यन्,पश्यन्नात्मनि,पश्यत्{पुं;1;एक}/दृश्1{कृत्_प्रत्ययः;शतृ;दृशिँर्;भ्वादिः;पुं;1;एक},दृश्1{कृत्_प्रत्ययः;शतृ;दृशिँर्;भ्वादिः;पुं;1;एक},"वर्तमानसमानकालः,13.1","वर्तमानसमानकालः,13.1",साक्षात्_करता_हुआ
6,020_021_022_023,1,12.1,आत्मनि,0,आत्मन्{पुं;7;एक},आत्मन्{पुं;7;एक},"अधिकरणम्,13.1","अधिकरणम्,13.1",सच्चिदानन्दघन_परमात्मा_में
6,020_021_022_023,1,13.1,तुष्यति,तुष्यति,तुष्यत्{पुं;7;एक}/तुष्यत्{नपुं;7;एक}/तुष्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;तुषँ;दिवादिः},तुष्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;तुषँ;दिवादिः},"समुच्चितः,2.1","समुच्चितः,2.1",संतुष्ट_रहता_है
6,020_021_022_023,1,14.1,सुखम्,सुखमात्यन्तिकं,सुखम्{अव्य}/सुख{पुं;2;एक}/सुख{नपुं;1;एक}/सुख{नपुं;2;एक},सुख{नपुं;1;एक},"विधेय_विशेषणम्,16.1","विधेय_विशेषणम्,16.1;कर्ता,3.1.1",आनन्द
6,020_021_022_023,1,15.1,आत्यन्तिकम्,0,आत्यन्तिक{पुं;2;एक}/आत्यन्तिक{नपुं;1;एक}/आत्यन्तिक{नपुं;1;एक},आत्यन्तिक{नपुं;1;एक},"विशेषणम्,14.1","विशेषणम्,14.1",अनन्त
6,020_021_022_023,1,16.1,यत्,यतद्,यत्{अव्य}/यद्{नपुं;1;एक}/यद्{नपुं;2;एक}/यत्{अव्य},यद्{नपुं;1;एक},"कर्ता,16.1.1;नित्यसम्बन्धः,17.1","कर्ता,16.1.1;नित्यसम्बन्धः,17.1;विशेषणम्,1.1;नित्यसम्बन्धः,4.1",जो
6,020_021_022_023,1,16.1.1,(अस्ति),-,अस्{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},अस्{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},"अभिहित_कर्ता,16.1","अभिहित_कर्ता,16.1",-
6,020_021_022_023,1,17.1,तत्,तत्,तद्{नपुं;1;एक}/तद्{नपुं;2;एक},तद्{नपुं;2;एक},"कर्म,20.1","कर्म,20.1",उसको
6,020_021_022_023,1,18.1,बुद्धि-,बुद्धिग्राह्यमतीइन्द्रियम्,बुद्धि,बुद्धि,"तृतीया-तत्पुरुषः,18.2","तृतीया-तत्पुरुषः,18.2",केवल_शुद्ध_हुई_सूक्ष्म_बुद्धि_द्वारा_ग्रहण_करनेयोग्य
6,020_021_022_023,1,18.2,ग्राह्यम्,-,ग्राह्य{नपुं;1;एक}/ग्राह्य{नपुं;2;एक},ग्राह्य{नपुं;2;एक},"कर्मसमानाधिकरणम्,20.1","कर्मसमानाधिकरणम्,20.1",-
6,020_021_022_023,1,19.1,अति-,0,अति,अति,"तत्पुरुषः,19.2","तत्पुरुषः,19.2",इन्द्रियों_से_अतीत
6,020_021_022_023,1,19.2,इन्द्रियम्,-,इन्द्रिय{पुं;2;एक}/इन्द्रिय{नपुं;1;एक}/इन्द्रिय{नपुं;2;एक},इन्द्रिय{नपुं;2;एक},"कर्मसमानाधिकरणम्,20.1","कर्मसमानाधिकरणम्,20.1",-
6,020_021_022_023,1,20.1,वेत्ति,वेत्ति,विद्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;विदँ;अदादिः},विद्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;विदँ;अदादिः},अभिहित_कर्ता,अभिहित_कर्ता,अनुभव_करता_है
6,020_021_022_023,1,21.1,यत्र,यत्र,यत्र{अव्य},यत्र{अव्य},"अधिकरणम्,26.1","अधिकरणम्,26.1",जिस_अवस्था_में
6,020_021_022_023,1,22.1,न,न,न{अव्य},न{अव्य},"प्रतिषेधः,27.1","प्रतिषेधः,27.1",नहीं
6,020_021_022_023,1,23.1,च,चैवायं,च{अव्य},च{अव्य},"सम्बन्धः,22.1","सम्बन्धः,22.1",और
6,020_021_022_023,1,24.1,एव,0,एव{अव्य},एव{अव्य},"सम्बन्धः,23.1","सम्बन्धः,23.1",ही
6,020_021_022_023,1,25.1,अयम्,0,अय{पुं;2;एक}/इदम्{पुं;1;एक},इदम्{पुं;1;एक},"कर्ता,27.1","कर्ता,27.1",यह_(योगी)
6,020_021_022_023,1,26.1,स्थितः,स्थितश्चलति,स्थित{पुं;1;एक}/स्था1{कृत्_प्रत्ययः;क्त;ष्ठा;भ्वादिः;पुं;1;एक},स्था1{कृत्_प्रत्ययः;क्त;ष्ठा;भ्वादिः;पुं;1;एक},"विशेषणम्,25.1","विशेषणम्,25.1",स्थित
6,020_021_022_023,1,27.1,चलति,0,चलत्{पुं;7;एक}/चलत्{नपुं;7;एक}/चल्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;चलँ;भ्वादिः}/चल्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;चलँ;तुदादिः},चल्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;चलँ;भ्वादिः},"अभिहित_कर्ता,25.1","अभिहित_कर्ता,25.1",विचलित_होता_है
6,020_021_022_023,1,28.1,तत्त्वतः,तत्त्वतः,तत्त्वतः{अव्य},तत्त्वतः{अव्य},"अपादानम्,27.1","अपादानम्,27.1",परमात्मा_के_स्वरूप_से
