chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
11,009_010_011,1,1.1,एवम्,एवमुक्त्वा,एवम्{अव्य},एवम्{अव्य},"क्रियाविशेषणम्,2.1","क्रियाविशेषणम्,2.1",इस_प्रकार
11,009_010_011,1,2.1,उक्त्वा,-,वच्1{कृत्_प्रत्ययः:क्त्वा;वचँ;अदादिः},वच्1{कृत्_प्रत्ययः:क्त्वा;वचँ;अदादिः},"पूर्वकालः,7.1","पूर्वकालः,7.1",कहकर
11,009_010_011,1,3.1,ततः,ततो,ततः{अव्य},ततः{अव्य},"सम्बन्धः,7.1","सम्बन्धः,7.1",उसके_पश्चात्
11,009_010_011,1,4.1,राजन्,राजन्महायोगेश्वरो,राजन्{पुं;1;एक},राजन्{पुं;8;एक},"सम्बोध्यः,7.1","सम्बोध्यः,7.1",हे_राजन्
11,009_010_011,1,5.1,महत्-,-,महत्,महद्,"षष्ठी-तत्पुरुषः,5.2","षष्ठी-तत्पुरुषः,5.2",महायोगेश्वर
11,009_010_011,1,5.2,योग-,-,योग,योग,"कर्मधारयः,5.3","कर्मधारयः,5.3",-
11,009_010_011,1,5.3,ईश्वरः,-,ईश्वर{पुं;1;एक},ईश्वर{पुं;1;एक},"विशेषणम्,6.1","विशेषणम्,6.1",-
11,009_010_011,1,6.1,हरिः,हरिः,हरि{पुं;1;एक},हरि{पुं;1;एक},"प्रयोजककर्ता,7.1;कर्ता,2.1","प्रयोजककर्ता,7.1#प्रयोजककर्ता,7.1;कर्ता,2.1",सब_पापों_के_नाश_करनेवाले_भगवान्_ने
11,009_010_011,1,7.1,दर्शयामास,दर्शयामास,दृश्1_णिच्{कर्तरि;लिट्;प्र;एक;परस्मैपदी;दृशिँर्;भ्वादिः}/दृश्1_णिच्{कर्तरि;लिट्;प्र;एक;आत्मनेपदी;दृशिँर्;भ्वादिः}/दृश्1_णिच्{कर्तरि;लिट्;म;बहु;परस्मैपदी;दृशिँर्;भ्वादिः}/दृश्1_णिच्{कर्तरि;लिट्;म;बहु;आत्मनेपदी;दृशिँर्;भ्वादिः}/दृश्1_णिच्{कर्तरि;लिट्;उ;एक;परस्मैपदी;दृशिँर्;भ्वादिः}/दृश्1_णिच्{कर्तरि;लिट्;उ;एक;आत्मनेपदी;दृशिँर्;भ्वादिः},दृश्1_णिच्{कर्तरि;लिट्;प्र;एक;परस्मैपदी;दृशिँर्_णिच्;भ्वादिः},"अभिहित_कर्ता,6.1","अभिहित_कर्ता,6.1",दिखलाया
11,009_010_011,1,8.1,पार्थाय,पार्थाय,पार्थ{पुं;4;एक},पार्थ{पुं;4;एक},"प्रयोजनम्,7.1","प्रयोजनम्,7.1",अर्जुन_को
11,009_010_011,1,9.1,परमम्,परमं,परमम्{अव्य}/परम{पुं;2;एक}/परम{नपुं;1;एक}/परम{नपुं;2;एक},परम{नपुं}{2;एक},"विशेषणम्,10.1","विशेषणम्,10.1",परम
11,009_010_011,1,10.1,रूपम्,रूपमैश्वरम्,रूप{नपुं;1;एक}/रूप{नपुं;2;एक},रूप{नपुं;2;एक},"कर्म,7.1","कर्म,7.1",दिव्यस्वरूप
11,009_010_011,1,11.1,ऐश्वरम्,-,ऐश्वर{पुं;2;एक}/ऐश्वर{नपुं;1;एक}/ऐश्वर{नपुं;2;एक},ऐश्वर{नपुं;2;एक},"विशेषणम्,10.1","विशेषणम्,10.1",ऐश्वर्ययुक्त
11,009_010_011,1,12.1,अन्-,अनेकवक्त्रनयनमनेकाद्भुतदर्शनम्,अन्,अन्,"नञ्‌-तत्पुरुषः,12.2","नञ्‌-तत्पुरुषः,12.2",अनेक_मुख_और_नेत्रों_से_युक्त
11,009_010_011,1,12.2,एक-,-,एक,एक,"बहुव्रीहिः,12.3","बहुव्रीहिः,12.3",-
11,009_010_011,1,12.3,वक्त्र-,-,वक्त्र,वक्त्र,"इतरेतर-द्वन्द्वः,12.4","इतरेतर-द्वन्द्वः,12.4",-
11,009_010_011,1,12.4,नयनम्,-,नयन{नपुं;1;एक}/नयन{नपुं;2;एक},नयन{नपुं;2;एक},"विशेषणम्,10.1","विशेषणम्,10.1",-
11,009_010_011,1,13.1,अन्-,-,अन्,अन्,"नञ्‌-तत्पुरुषः,13.2","नञ्‌-तत्पुरुषः,13.2",अनेक_अद्भुत_दर्शनोंवाले
11,009_010_011,1,13.2,एक-,-,एक,एक,"बहुव्रीहिः,13.3","बहुव्रीहिः,13.3",-
11,009_010_011,1,13.3,अद्भुत-,-,अद्भुत,अद्भुत,"कर्मधारयः,13.4","कर्मधारयः,13.4",-
11,009_010_011,1,13.4,दर्शनम्,-,दर्शन{पुं;2;एक}/दर्शन{नपुं;1;एक}/दर्शन{नपुं;2;एक},दर्शन{नपुं;2;एक},"विशेषणम्,10.1","विशेषणम्,10.1",-
