chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
12,13-14,1,1.1,अ-,अ-द्वेष्टृ,अ,अ,"नञ्-तत्पुरुषः,1.2","नञ्_त_पु,1.2#नञ्-तत्पुरुषः,1.2",अ-
12,13-14,1,1.2,द्वेष्टा,--,द्विष्1{कर्तरि;लुट्;प्र;एक;परस्मैपदी;अदादिः}/द्विष्1{कर्तरि;लुट्;प्र;एक;आत्मनेपदी;अदादिः}/द्विष्1{कर्मणि;लुट्;प्र;एक;आत्मनेपदी;अदादिः}/द्वेष्टृ{पुं;1;एक(द्विष्1;तृच्;अदादिः)},द्वेष्टृ{पुं;1;एक(द्विष्1;तृच्;अदादिः)},"विशेषणम्,18.1","विशेषणम्,22.1#विशेषणम्,20.1#विशेषणम्,19.2#विशेषणम्,18.1#विशेषणम्,17.3#विशेषणम्,15.2#विशेषणम्,14.1#विशेषणम्,13.1#विशेषणम्,11.1#विशेषणम्,10.1#विशेषणम्,9.3#विशेषणम्,8.2#विशेषणम्,4.1#विशेषणम्,3.1",द्वेष_करेगा
12,13-14,1,2.1,सर्व-,सर्व-भूत,सर्व,सर्व,"कर्मधारयः,2.2","त_पु_6,2.2#त_पु_3,2.2#त_पु,2.2#कर्मधारयः,2.2",सर्व-
12,13-14,1,2.2,भूतानाम्,--,भूत{नपुं;6;बहु}/भूत{पुं;6;बहु(भू1;क्त;भ्वादिः)}/भूत{नपुं;6;बहु(भू1;क्त;भ्वादिः)}/भूता{स्त्री;6;बहु},भूत{नपुं;6;बहु},"षष्ठीसम्बन्धः,3.1","कर्ता,15.2#कर्म,15.2#षष्ठीसम्बन्धः,17.3#षष्ठीसम्बन्धः,15.2#षष्ठीसम्बन्धः,14.1#षष्ठीसम्बन्धः,13.1#षष्ठीसम्बन्धः,12.1#षष्ठीसम्बन्धः,11.1#षष्ठीसम्बन्धः,10.1#षष्ठीसम्बन्धः,8.2#षष्ठीसम्बन्धः,3.1",प्राणियों_का
12,13-14,1,3.1,मैत्रः,मैत्रः,मैत्र{पुं;1;एक},मैत्र{पुं;1;एक},"विशेषणम्,18.1","विधेय_विशेषणम्,1.2#कर्ता,1.2#कर्म,1.2",स्वार्थ_रहित_सबका_प्रेमी
12,13-14,1,4.1,करुणः,करुणः,करुण{पुं;1;एक},करुण{पुं;1;एक},"विशेषणम्,18.1","विधेय_विशेषणम्,3.1#विधेय_विशेषणम्,1.2#विशेषणम्,22.1#विशेषणम्,20.1#विशेषणम्,19.2#विशेषणम्,18.1#विशेषणम्,17.3#विशेषणम्,15.2#विशेषणम्,14.1#विशेषणम्,13.1#विशेषणम्,11.1#विशेषणम्,10.1#विशेषणम्,9.3#विशेषणम्,8.2#कर्ता,1.2#कर्म,1.2",अनुकम्पा
12,13-14,1,5.1,एव,एव,एव{अव्य},एव{अव्य},"सम्बन्धः,4.1","सम्बन्धः,6.1#सम्बन्धः,4.1",ही
12,13-14,1,6.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,5.1","सम्बन्धः,15.2#सम्बन्धः,5.1",और
12,13-14,1,7.1,निर्-,निर्--,निर्,निर्,"पञ्चमी-तत्पुरुषः,7.2","-#पञ्चमी-तत्पुरुषः,7.2",निर्-
12,13-14,1,7.2,ममः,--,मम{पुं;1;एक},मम{पुं;1;एक},"विशेषणम्,18.1","-#विशेषणम्,18.1",-
12,13-14,1,8.1,निर्-,निर्-अहङ्कार,निर्,निर्,"पञ्चमी-तत्पुरुषः,8.2","त_पु_6,8.2#त_पु,8.2#पञ्चमी-तत्पुरुषः,8.2",निर्-
