anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1.1,शरीर-,शरीर-जानाम्,शरीर,शरीर,"उपपद-तत्पुरुषः,1.2","उपपद-तत्पुरुषः,1.2",शरीर-
1.2,जानाम्,--,ज{नपुं;6;बहु}/जाना{स्त्री;2;एक}/ज{पुं;6;बहु},ज{पुं;6;बहु},"षष्ठीसम्बन्धः,2.1","सुप्_समुच्चितः,7.1#कर्म,7.1#कर्ता,7.1#कर्ता,6.1#कर्म,6.1#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,4.2#षष्ठीसम्बन्धः,3.1#षष्ठीसम्बन्धः,2.1",-
2.1,दोषाणाम्,दोषाणाम्,दोष{पुं;6;बहु}/दोषा{स्त्री;6;बहु},दोष{पुं;6;बहु},"षष्ठीसम्बन्धः,4.2","कर्ता,7.1#कर्ता,6.1#कर्म,7.1#कर्म,6.1#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,4.2#षष्ठीसम्बन्धः,3.1",दोषों_के
3.1,क्रमेण,क्रमेण,क्रम{पुं;3;एक},क्रम{पुं;3;एक},"क्रियाविशेषणम्,9.1","करणम्,9.1#हेतुः,9.1#हेतुः,7.1#हेतुः,6.1#क्रियाविशेषणम्,9.1",क्रम_से
4.1,परम-,परम-औषधम्,परम,परम,"कर्मधारयः,4.2","कर्मधारयः,4.2",परम-
4.2,औषधम्,--,औषध{पुं;2;एक}/औषध{नपुं;1;एक}/औषध{नपुं;2;एक},औषध{नपुं;1;एक},"कर्ता,9.1","विशेषणम्,7.1#सुप्_समुच्चितः,7.1#कर्म,7.1#कर्ता_बे_वेर्ब्स्,9.1",औषधि
5.1,बस्तिः,बस्तिः,बस्ति{स्त्री;1;एक},बस्ति{स्त्री;1;एक},"समुच्चितः,7.1","सुप्_समुच्चितः,7.1#कर्ता_बे_वेर्ब्स्,9.1",बस्ति
6.1,विरेकः,विरेकः,विरेक{पुं;1;एक(वि_रिच्1;घञ्;रुधादिः)},विरेक{पुं;1;एक(वि_रिच्1;घञ्;रुधादिः)},"समुच्चितः,7.1","विधेय_विशेषणम्,5.1#विधेय_विशेषणम्,4.2#विशेषणम्,7.1#कर्ता_बे_वेर्ब्स्,9.1#समुच्चितः,7.1",साफ_करना
7.1,वमनम्,वमनम्,वमन{नपुं;1;एक(वम्1;ल्युट्;भ्वादिः)}/वमन{नपुं;2;एक(वम्1;ल्युट्;भ्वादिः)},वमन{नपुं;1;एक(वम्1;ल्युट्;भ्वादिः)},"विधेय_विशेषणम्,4.2","विधेय_विशेषणम्,6.1#विधेय_विशेषणम्,5.1#विधेय_विशेषणम्,4.2#कर्ता_बे_वेर्ब्स्,9.1",उल्टी
9.1,(भवति),(भवति),भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/भवती{स्त्री;8;एक}/भवत्{सर्वनाम;पुं;7;एक}/भवत्{पुं;7;एक},भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,4.2",-,होता_है
10.1,तथा,.,तथा{अव्य},तथा{अव्य},"समुच्चय_द्योतकः,16.1","समुच्चय_द्योतकः,16.1",-
