anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1.1,औषधम्,औषधम्,औषध{पुं;2;एक}/औषध{नपुं;1;एक}/औषध{नपुं;2;एक},औषध{नपुं;1;एक},"कर्ता,7.1","सुप्_समुच्चितः,5.1#कर्म,4.1#कर्ता_बे_वेर्ब्स्,7.1",औषधि
2.1,बहु-,बहु-कल्पम्,बहु,बहु,"सप्तमी-बहुव्रीहिः,2.2","सप्तमी-बहुव्रीहिः,2.2",बहु-
2.2,कल्पम्,--,कल्प{पुं;2;एक}/कल्प{नपुं;1;एक}/कल्प{नपुं;2;एक},कल्प{नपुं;1;एक},"समुच्चितः,5.1","विशेषणम्,5.1#विशेषणम्,4.1#विशेषणम्,3.2#सुप्_समुच्चितः,5.1#कर्म,4.1#अत्यन्तसंयोग_सम्बन्धः,7.1#अत्यन्तसंयोग_सम्बन्धः,4.1#विधेय_विशेषणम्,1.1#कर्ता_बे_वेर्ब्स्,7.1",कल्प
3.1,बहु-,बहु-गुणम्,बहु,बहु,"सप्तमी-बहुव्रीहिः,3.2","सप्तमी-बहुव्रीहिः,3.2",बहु-
3.2,गुणम्,--,गुण{पुं;2;एक}/गुण{नपुं;1;एक}/गुण{नपुं;2;एक},गुण{नपुं;1;एक},"समुच्चितः,5.1","विशेषणम्,5.1#विशेषणम्,4.1#सुप्_समुच्चितः,5.1#कर्म,4.1#विधेय_विशेषणम्,2.2#विधेय_विशेषणम्,1.1#कर्ता_बे_वेर्ब्स्,7.1",गुण
4.1,सम्पन्नम्,सम्पन्नम्,सम्पन्न{पुं;2;एक(सम्_पद्1;क्त;दिवादिः)}/सम्पन्न{नपुं;1;एक(सम्_पद्1;क्त;दिवादिः)}/सम्पन्न{नपुं;2;एक(सम्_पद्1;क्त;दिवादिः)},सम्पन्न{नपुं;1;एक(सम्_पद्1;क्त;दिवादिः)},"समुच्चितः,5.1","विशेषणम्,5.1#सुप्_समुच्चितः,5.1#विधेय_विशेषणम्,3.2#विधेय_विशेषणम्,2.2#विधेय_विशेषणम्,1.1#कर्ता_बे_वेर्ब्स्,7.1",धन-दौलत
5.1,योग्यम्,योग्यम्,योग्य{पुं;2;एक}/योग्य{नपुं;1;एक}/योग्य{नपुं;2;एक},योग्य{नपुं;1;एक},"विधेय_विशेषणम्,1.1","कर्ता_बे_वेर्ब्स्,7.1#विधेय_विशेषणम्,1.1",योग्य
6.1,(च),(च),च{अव्य},च{अव्य},"समुच्चय_द्योतकः,5.1","सुप्_समुच्चय_द्योतकः,5.1#सम्बन्धः,5.1",च2
7.1,(भवेत्),(भवेत्),भू1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},भू1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,1.1;सकर्मक",-,हो
8.1,.,.,-,-,-,-,-
