anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1.1,दीपनम्,दीपनम्,दीपन{नपुं;1;एक(दीप्1;ल्युट्;दिवादिः)}/दीपन{नपुं;2;एक(दीप्1;ल्युट्;दिवादिः)},दीपन{नपुं;1;एक(दीप्1;ल्युट्;दिवादिः)},"समुच्चितः,6.9","कर्ता_बे_वेर्ब्स्,8.1#कर्म,2.1#समुच्चितः,6.9",आग_लगाने_वाला
2.1,वृष्यम्,वृष्यम्,वृष्य{पुं;2;एक(वृष्1;यत्;भ्वादिः)}/वृष्य{नपुं;1;एक(वृष्1;यत्;भ्वादिः)}/वृष्य{नपुं;2;एक(वृष्1;यत्;भ्वादिः)}/वृष्य{पुं;2;एक(वृष्1;ण्यत्;भ्वादिः)}/वृष्य{नपुं;1;एक(वृष्1;ण्यत्;भ्वादिः)}/वृष्य{नपुं;2;एक(वृष्1;ण्यत्;भ्वादिः)},वृष्य{नपुं;1;एक(वृष्1;यत्;भ्वादिः)},"समुच्चितः,6.9","विशेषणम्,5.3#विशेषणम्,4.1#विशेषणम्,3.1#विशेषणम्,1.1#विधेय_विशेषणम्,1.1#कर्ता_बे_वेर्ब्स्,8.1#समुच्चितः,6.9",-
3.1,आयुष्यम्,आयुष्यम्,आयुष्य{पुं;2;एक}/आयुष्य{नपुं;1;एक}/आयुष्य{नपुं;2;एक},आयुष्य{नपुं;1;एक},"समुच्चितः,6.9","विशेषणम्,5.3#विशेषणम्,4.1#विशेषणम्,2.1#विशेषणम्,1.1#विधेय_विशेषणम्,2.1#विधेय_विशेषणम्,1.1#कर्ता_बे_वेर्ब्स्,8.1#कर्म,2.1#समुच्चितः,6.9",जीवन
4.1,स्नानम्,स्नानम्,स्नान{नपुं;1;एक}/स्नान{नपुं;2;एक},स्नान{नपुं;1;एक},"कर्ता,8.1","कर्ता_बे_वेर्ब्स्,8.1#कर्म,2.1",स्नान
5.1,ऊर्जा-,ऊर्जा-बल-प्रदम्,ऊर्जा,ऊर्जा,"इतरेतर-द्वन्द्वः,5.2","इतरेतर-द्वन्द्वः,5.2",ऊर्जा-
5.2,बल-,--,बल,बल,"उपपद-तत्पुरुषः,5.3","उपपद-तत्पुरुषः,5.3",बल-
5.3,प्रदम्,--,प्रद{पुं;2;एक}/प्रद{नपुं;1;एक}/प्रद{नपुं;2;एक},प्रद{नपुं;1;एक},"समुच्चितः,6.9","विशेषणम्,4.1#विशेषणम्,3.1#विशेषणम्,2.1#विशेषणम्,1.1#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,3.1#विधेय_विशेषणम्,2.1#विधेय_विशेषणम्,1.1#कर्ता_बे_वेर्ब्स्,8.1#कर्म,2.1#समुच्चितः,6.9",प्रद
6.1,कण्डू-,कण्डू-मल-श्रम-स्वेद-तन्द्रा-तृट्-दाह-पाप्म-जित्,कण्डू,कण्डू,"इतरेतर-द्वन्द्वः,6.8","इतरेतर-द्वन्द्वः,6.8",कण्डू-
6.2,मल-,--,मल,मल,"इतरेतर-द्वन्द्वः,6.8","इतरेतर-द्वन्द्वः,6.8",मल-
6.3,श्रम-,--,श्रम,श्रम,"इतरेतर-द्वन्द्वः,6.8","इतरेतर-द्वन्द्वः,6.8",श्रम-
6.4,स्वेद-,--,स्वेद,स्वेद,"इतरेतर-द्वन्द्वः,6.8","इतरेतर-द्वन्द्वः,6.8",स्वेद-
6.5,तन्द्रा-,--,तन्द्रा,तन्द्रा,"इतरेतर-द्वन्द्वः,6.8","इतरेतर-द्वन्द्वः,6.8",तन्द्रा-
6.6,तृट्-,--,-तृट्,-तृट्,"इतरेतर-द्वन्द्वः,6.8","इतरेतर-द्वन्द्वः,6.8",तृट्-
6.7,दाह-,--,दाह,दाह,"इतरेतर-द्वन्द्वः,6.8","इतरेतर-द्वन्द्वः,6.8",दाह-
6.8,पाप्म-,--,पाप्मन्,पाप्मन्,"उपपद-तत्पुरुषः,6.9","उपपद-तत्पुरुषः,6.9",पाप्म-
6.9,जित्,--,जित्{पुं;1;एक}/जित्{पुं;8;एक},जित्{पुं;1;एक},"विधेय_विशेषणम्,4.1","विधेय_विशेषणम्,5.3#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,3.1#विधेय_विशेषणम्,2.1#विधेय_विशेषणम्,1.1#कर्ता_बे_वेर्ब्स्,8.1#कर्म,2.1",जित्
7.1,(च),(च),च{अव्य},च{अव्य},"समुच्चय_द्योतकः,6.9","समुच्चय_द्योतकः,6.9",-
8.1,(भवति),(भवति),भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/भवती{स्त्री;8;एक}/भवत्{सर्वनाम;पुं;7;एक}/भवत्{पुं;7;एक},भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,4.1;सकर्मक",-,होता_है
9.1,.,.,-,-,-,-,-
