anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1.1,नक्तम्,नक्तम्,नक्तम्{अव्य}/नक्त{नपुं;1;एक}/नक्त{नपुं;2;एक},नक्तम्{अव्य},"कालाधिकरणम्,2.1","सुप्_समुच्चितः,4.1#कर्म,2.1#अत्यन्तसंयोग_सम्बन्धः,11.1#अत्यन्तसंयोग_सम्बन्धः,2.1#कर्ता,2.1#कालाधिकरणम्,2.1",नक्तम्
2.1,सेवेत,सेवेत,सेव्1{कर्तरि;विधिलिङ्;प्र;एक;आत्मनेपदी;भ्वादिः},सेव्1{कर्तरि;विधिलिङ्;प्र;एक;आत्मनेपदी;भ्वादिः},-,-,सेवा_करे
3.1,न,न,न{अव्य},न{अव्य},"प्रतिषेधः,2.1","प्रतिषेधः,11.1#प्रतिषेधः,2.1",नहीं
4.1,द्रुमम्,द्रुमम्,द्रुम{पुं;2;एक},द्रुम{पुं;2;एक},"कर्म,2.1","कर्म,11.1#कर्म,2.1",वृक्ष_को
5.1,तथा,तथा,तथा{अव्य},तथा{अव्य},"समुच्चय_द्योतकः,4.1","सुप्_समुच्चितः,8.1#सुप्_समुच्चय_द्योतकः,4.1#समुच्चय_द्योतकः,2.1#क्रियाविशेषणम्,11.1#क्रियाविशेषणम्,2.1",और
6.1,चत्वर-,चत्वर-चैत्य-अन्तः-चतुः-पथ-सुर-आलयान्,चत्वर,चत्वर,"इतरेतर-द्वन्द्वः,6.7","इतरेतर-द्वन्द्वः,6.7",चत्वर-
6.2,चैत्य-,--,चैत्य,चैत्य,"षष्ठी-तत्पुरुषः,6.3","षष्ठी-तत्पुरुषः,6.3",चैत्य-
6.3,अन्तः-,--,-अन्तः,-अन्तः,"इतरेतर-द्वन्द्वः,6.7","इतरेतर-द्वन्द्वः,6.7",अन्तः-
6.4,चतुः-,--,चतुः,चतुष्पथ,"समाहार-द्विगुः,6.5","समाहार-द्विगुः,6.5",-
6.5,पथ-,--,पथ,पथ,"इतरेतर-द्वन्द्वः,6.7","इतरेतर-द्वन्द्वः,6.7",-
6.6,सुर-,--,सुर,सुर,"षष्ठी-तत्पुरुषः,6.7","षष्ठी-तत्पुरुषः,6.7",सुर-
6.7,आलयान्,--,आलय{पुं;2;बहु},आलय{पुं;2;बहु},"समुच्चितः,4.1","सुप्_समुच्चितः,4.1#कर्म,11.1#कर्म,2.1",आवासों_को
7.1,सूना-,सूना-अटवी-शून्य-गृह-श्मशानानि,सूना,सूना,"इतरेतर-द्वन्द्वः,7.5","इतरेतर-द्वन्द्वः,7.5",सूना-
7.2,अटवी-,--,अटवी,अटवी,"इतरेतर-द्वन्द्वः,7.5","इतरेतर-द्वन्द्वः,7.5",अटवी-
7.3,शून्य-,--,शून्य,शून्य,"कर्मधारयः,7.4","कर्मधारयः,7.4",शून्य-
7.4,गृह-,--,गृह,गृह,"इतरेतर-द्वन्द्वः,7.5","इतरेतर-द्वन्द्वः,7.5",गृह-
7.5,श्मशानानि,--,श्मशान{नपुं;1;बहु}/श्मशान{नपुं;2;बहु}/श्मशान{नपुं;8;बहु},श्मशान{नपुं;1;बहु},"कर्म,11.1","सुप्_समुच्चितः,4.1#कर्म,11.1#कर्म,2.1",श्मशान
8.1,दिवा,दिवा,दिवा{अव्य}/दिव्{स्त्री;3;एक},दिवा{अव्य},"कालाधिकरणम्,11.1","करणम्,11.1#करणम्,2.1#कालाधिकरणम्,11.1#कालाधिकरणम्,2.1#हेतुः,11.1#हेतुः,2.1#कालाधिकरणम्,11.1",दिन_में
9.1,अपि,अपि,अपि{अव्य},अपि{अव्य},"सम्बन्धः,8.1","सुप्_समुच्चय_द्योतकः,8.1#सम्बन्धः,8.1",भी
10.1,न,न,न{अव्य},न{अव्य},"प्रतिषेधः,11.1","प्रतिषेधः,11.1",-
11.1,(सेवेत),सेवेत,सेव्1{कर्तरि;विधिलिङ्;प्र;एक;आत्मनेपदी;भ्वादिः},सेव्1{कर्तरि;विधिलिङ्;प्र;एक;आत्मनेपदी;भ्वादिः},-,"समुच्चितः,2.1",सेवा_नहीं_करे
12.1,.,.,-,-,-,-,-
