anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1.1,तोय-,तोय-अग्नि-पूज्य-मध्येन,तोय,तोय,"इतरेतर-द्वन्द्वः,1.3","इतरेतर-द्वन्द्वः,1.3",तोय-
1.2,अग्नि-,--,अग्नि,अग्नि,"इतरेतर-द्वन्द्वः,1.3","इतरेतर-द्वन्द्वः,1.3",अग्नि-
1.3,पूज्य-,--,पूज्य(पूज्1;यत्;चुरादिः),पूज्य(पूज्1;यत्;चुरादिः),"षष्ठी-तत्पुरुषः,1.4","षष्ठी-तत्पुरुषः,1.4",-
1.4,मध्येन,--,मध्य{पुं;3;एक}/मध्य{नपुं;3;एक},मध्य{पुं;3;एक},"करणम्,3.1","करणम्,12.1#करणम्,8.1#करणम्,3.1#हेतुः,12.1#हेतुः,8.1#हेतुः,5.2#हेतुः,3.1",मध्य_से
2.1,यानम्,यानम्,यान{नपुं;1;एक}/यान{नपुं;2;एक},यान{नपुं;2;एक},"कर्म,3.1","सुप्_समुच्चितः,6.3#कर्म,8.1#कर्म,5.2#कर्म,3.1#कर्म,1.3#कर्ता,8.1#कर्ता,3.1",वाहन
3.1,(त्यजेत्),त्यजेत्,त्यज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},त्यज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},-,"समुच्चितः,8.1",छोडे
4.1,धूमम्,धूमम्,धूम{पुं;2;एक},धूम{पुं;2;एक},"समुच्चितः,6.3","सुप्_समुच्चितः,6.3#कर्म,8.1#कर्म,5.2#कर्म,3.1#कर्म,1.3",धुएँ_को
5.1,शव-,शव-आश्रयम्,शव,शव,"षष्ठ्यर्थ-बहुव्रीहिः,5.2","षष्ठ्यर्थ-बहुव्रीहिः,5.2",शव-
5.2,आश्रयम्,--,आश्रय{पुं;2;एक}/आश्रय{नपुं;1;एक}/आश्रय{नपुं;2;एक}/आङ्_श्रि1{कर्तरि{लङ्;उ;एक;परस्मैपदी;भ्वादिः},आश्रय{पुं;2;एक},"विशेषणम्,4.1","विशेषणम्,2.1#सुप्_समुच्चितः,6.3#कर्म,12.1#कर्म,8.1#कर्म,3.1#कर्ता,12.1#कर्ता,8.1#कर्ता,3.1#विशेषणम्,6.3#विशेषणम्,4.1",आश्रय_को
6.1,मद्य-,मद्य-अति-सक्तिम्,मद्य,मद्य,"षष्ठी-तत्पुरुषः,6.2","षष्ठी-तत्पुरुषः,6.2",मद्य-
6.2,अति-,--,-अति,-अति,"प्रादि-तत्पुरुषः,6.3","प्रादि-तत्पुरुषः,6.3",-
6.3,सक्तिम्,--,सक्ति{स्त्री;2;एक}/सक्ति{पुं;2;एक},सक्ति{स्त्री;2;एक},"कर्म,8.1","विशेषणम्,5.2#विशेषणम्,4.1#कर्म,12.1#कर्म,8.1#कर्म,5.2#कर्म,3.1",सक्ति_को
7.1,(च),च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,6.3","सुप्_समुच्चय_द्योतकः,6.3#समुच्चय_द्योतकः,3.1#सम्बन्धः,6.3",और
8.1,(त्यजेत्),त्यजेत्,त्यज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},त्यज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},-,"समुच्चितः,3.1",छोडे
9.1,विश्रम्भ-,विश्रम्भ-स्वातन्त्र्ये,विश्रम्भ,विश्रम्भ,"इतरेतर-द्वन्द्वः,9.2","इतरेतर-द्वन्द्वः,9.2",विश्रम्भ-
9.2,स्वातन्त्र्ये,--,स्वातन्त्र्य{नपुं;1;द्वि}/स्वातन्त्र्य{नपुं;2;द्वि}/स्वातन्त्र्य{नपुं;8;द्वि}/स्वातन्त्र्य{नपुं;7;एक}/स्वातन्त्र्य{पुं;7;एक}/स्वातन्त्र्या{स्त्री;8;एक}/स्वातन्त्र्या{स्त्री;8;द्वि}/स्वातन्त्र्या{स्त्री;1;द्वि}/स्वातन्त्र्या{स्त्री;2;द्वि},स्वातन्त्र्य{नपुं;2;द्वि},"कर्म,12.1","कर्म,12.1#कर्म,8.1#कर्म,5.2#कर्म,3.1#सुप्_समुच्चितः,10.1#अधिकरणम्,12.1#अधिकरणम्,8.1#अधिकरणम्,5.2#अधिकरणम्,3.1",स्वातन्त्र्य
10.1,स्त्रीषु,स्त्रीषु,स्त्री{स्त्री;7;बहु},स्त्री{स्त्री;7;बहु},"अधिकरणम्,12.1","अधिकरणम्,12.1#अधिकरणम्,8.1#अधिकरणम्,5.2#अधिकरणम्,3.1",स्त्रियों_में
11.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,12.1","सुप्_समुच्चय_द्योतकः,10.1#समुच्चय_द्योतकः,8.1#समुच्चय_द्योतकः,3.1#सम्बन्धः,10.1#सम्बन्धः,12.1",और
12.1,त्यजेत्,त्यजेत्,त्यज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},त्यज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},-,"समुच्चितः,8.1#समुच्चितः,3.1",छोडे
13.1,.,.,-,-,-,-,-
