index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	इति		इति	इति{अव्य}	इति{अव्य}	सम्बन्धः,4.1	कर्म,5.2#कर्म,4.1#सम्बन्धः,4.1	NA	ऐसा	ऐसा
2.1	ह		ह	ह{अव्य}	ह{अव्य}	सम्बन्धः,1.1	सम्बन्धः,1.1	NA	ह	ह
3.1	स्म		स्म	स्म{अव्य}	स्म{अव्य}	सम्बन्धः,4.1	सम्बन्धः,5.2#सम्बन्धः,4.1	NA	स्म	स्म
4.1	आहुः		आहुः	ब्रू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;अदादिः}	ब्रू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;अदादिः}	अभिहित_कर्ता,5.2;सकर्मक	-	KP	कहते_हैं	कहते_हैं
5.1	आत्रेय-		आत्रेय-आदयः	आत्रेय	आत्रेय	बहुव्रीहिः,5.2	बहुव्रीहिः,5.2	CP	आत्रेय-	आत्रेय-
5.2	आदयः		--	आदि{पुं;1;बहु}/आदि{स्त्री;1;बहु}/अद्2{णिजन्त;कर्तरि;लङ्;म;एक;परस्मैपदी;अदादिः}/आदि{पुं;8;बहु}/आदि{स्त्री;8;बहु}	आदि{पुं;1;बहु}	कर्ता,4.1	विशेषणम्,6.2#कर्ता,4.1	N1	पहेले	पहेले
6.1	महा-		महा-ऋषयः	महत्	महत्	कर्मधारयः,6.2	कर्मधारयः,6.2	CP	महा-	महा-
6.2	ऋषयः		--	ऋषि{पुं;1;बहु}/ऋषि{पुं;8;बहु}	ऋषि{पुं;1;बहु}	विशेषणम्,5.2	विशेषणम्,5.2#कर्ता,4.1	N1	ऋषि	ऋषि
7.1	.		.	-	-	-	-	FS	-	-
