index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	कासस्य		कासस्य	कास{पुं;6;एक}	कास{पुं;6;एक}	षष्ठीसम्बन्धः,2.1	षष्ठीसम्बन्धः,13.1#षष्ठीसम्बन्धः,9.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,4.5#षष्ठीसम्बन्धः,3.2#षष्ठीसम्बन्धः,2.1	N6	खाँसी_के	खाँसी_के
2.1	रोधात्		रोधात्	रोध{पुं;5;एक}	रोध{पुं;5;एक}	हेतुः,8.1	हेतुः5,8.1#अपादानम्,8.1	N5	रोकने_से	रोकने_से
3.1	तत्-		तत्-वृद्धिः	तत्	तत्	षष्ठी-तत्पुरुषः,3.2	षष्ठी-तत्पुरुषः,3.2	CP	तत्-	तत्-
3.2	वृद्धिः		--	वृद्धि{स्त्री;1;एक}/वृद्धि{पुं;1;एक}	वृद्धि{पुं;1;एक}	समुच्चितः,4.5	विशेषणम्,13.1#विशेषणम्,9.1#विशेषणम्,5.1#सुप्_समुच्चितः,4.5	N1	वृद्धि	वृद्धि
4.1	श्वास-		श्वास-अ-रुचि-हृत्-आमयाः	श्वास	श्वास	इतरेतर-द्वन्द्वः,4.5	इतरेतर-द्वन्द्वः,4.5	CP	श्वास-	श्वास-
4.2	अ-		--	-अ	-अ	नञ्-तत्पुरुषः,4.3	नञ्-तत्पुरुषः,4.3	CP	अ-	अ-
4.3	रुचि-		--	रुचि	रुचि	इतरेतर-द्वन्द्वः,4.5	इतरेतर-द्वन्द्वः,4.5	CP	रुचि-	रुचि-
4.4	हृत्-		--	हृत्	हृत्	षष्ठी-तत्पुरुषः,4.5	षष्ठी-तत्पुरुषः,4.5	CP	हृत्-	हृत्-
4.5	आमयाः		--	आमय{पुं;1;बहु}/आमय{पुं;8;बहु}/आमया{स्त्री;8;बहु}/आमया{स्त्री;1;बहु}/आमया{स्त्री;2;बहु}	आमय{पुं;1;बहु}	कर्ता,8.1	विशेषणम्,9.1#कर्ता,8.1	N1	रोग	रोग
5.1	शोषः		शोषः	शोष{पुं;1;एक}	शोष{पुं;1;एक}	समुच्चितः,4.5	सुप्_समुच्चितः,4.5	N1	सूखना	सूखना
6.1	हिध्मा		हिध्मा	हिध्मा{स्त्री;1;एक}	हिध्मा{स्त्री;1;एक}	समुच्चितः,4.5	सुप्_समुच्चितः,4.5	N1	-	-
7.1	च		च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,6.1	सुप्_समुच्चय_द्योतकः,6.1	NA	और	और
8.1	(जायन्ते)		जायन्ते	जन्2{कर्मणि;लट्;प्र;बहु;आत्मनेपदी;दिवादिः}/जन्2{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;दिवादिः}	जन्2{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;दिवादिः}	अभिहित_कर्ता,4.5	-	KP	उत्पन्न_होते_हैं	उत्पन्न_होते_हैं
9.1	कार्यः		कार्यः	कारी{स्त्री;1;बहु}/कार्य{पुं;1;एक}	कार्य{पुं;1;एक}	-	विशेषणम्,13.1#विशेषणम्,5.1#विशेषणम्,3.2#कर्ता,8.1	N1	कार्य	कार्य
10.1	अत्र		अत्र	अत्र{अव्य}	अत्र{अव्य}	देशाधिकरणम्,9.1	देशाधिकरणम्,8.1#देशाधिकरणम्,9.1	NA	इस_स्थान_पर	इस_स्थान_पर
11.1	कास-		कास-हा	कास	कास	उपपद-तत्पुरुषः,11.2	उपपद-तत्पुरुषः,11.2	CP	कास-	कास-
11.2	हा		--	हा{अव्य}/हा{स्त्री;1;एक}/हन्{पुं;1;एक}	हन्{पुं;1;एक}	विशेषणम्,13.1	विशेषणम्,13.1	N1	हा	हा
12.1	सुतराम्		सुतराम्	सुतराम्{अव्य}	सुतराम्{अव्य}	क्रियाविशेषणम्,9.1	क्रियाविशेषणम्,9.1	NA	-	-
13.1	विधिः		विधिः	विधि{पुं;1;एक}	विधि{पुं;1;एक}	कर्ता,9.1	कर्ता,9.1	N1	विधि	विधि
14.1	.		.	-	-	-	-	FS	-	-
