index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	गण्डूष-		गण्डूष-धूम-अन्-आहाराः	गण्डूष	गण्डूष	इतरेतर-द्वन्द्वः,1.4	इतरेतर-द्वन्द्वः,1.4	CP	गण्डूष-	गण्डूष-
1.2	धूम-		--	धूम	धूम	इतरेतर-द्वन्द्वः,1.4	इतरेतर-द्वन्द्वः,1.4	CP	धूम-	धूम-
1.3	अन्-		--	-अन्	-अन्	नञ्-तत्पुरुषः,1.4	नञ्-तत्पुरुषः,1.4	CP	अन्-	अन्-
1.4	आहाराः		--	आहार{पुं;1;बहु}/आहार{पुं;8;बहु}/आहारा{स्त्री;8;बहु}/आहारा{स्त्री;1;बहु}/आहारा{स्त्री;2;बहु}	आहार{पुं;1;बहु}	समुच्चितः,11.1	सुप्_समुच्चितः,8.1#कर्म,8.1#कर्म,3.1#सुप्_समुच्चितः,11.1	N1	आहार	आहार
2.1	रूक्षम्		रूक्षम्	रूक्ष{पुं;2;एक}/रूक्ष{नपुं;1;एक}/रूक्ष{नपुं;2;एक}	रूक्ष{पुं;2;एक}	कर्म,3.1	सुप्_समुच्चितः,8.1#कर्म,8.1#कर्म,3.1	N2	कठोर_का	कठोर_का
3.1	भुक्त्वा		भुक्त्वा	भुज्2{अव्य;क्त्वा;रुधादिः}	भुज्2{अव्य;क्त्वा;रुधादिः}	पूर्वकालः,4.2	पूर्वकालः,8.1#पूर्वकालः,4.2	NA	संरक्षण_करके	संरक्षण_करके
4.1	तद्-		तद्-उद्दमः	तद्	तद्	षष्ठी-तत्पुरुषः,4.2	षष्ठी-तत्पुरुषः,4.2	CP	तद्-	तद्-
4.2	उद्वमः		--	उद्वम{पुं;1;एक(उत्_वम्1;घञ्;भ्वादिः)}	उद्वम{पुं;1;एक(उत्_वम्1;घञ्;भ्वादिः)}	समुच्चितः,11.1	सुप्_समुच्चितः,11.1	N1		
5.1	व्यायामः		व्यायामः	व्यायाम{पुं;1;एक}	व्यायाम{पुं;1;एक}	समुच्चितः,11.1	सुप्_समुच्चितः,8.1#सुप्_समुच्चितः,11.1	N1	व्यायाम	व्यायाम
6.1	स्रुतिः		स्रुतिः	स्रुति{स्त्री;1;एक}	स्रुति{स्त्री;1;एक}	समुच्चितः,11.1	सुप्_समुच्चितः,8.1#सुप्_समुच्चितः,11.1	N1	बहना	बहना
7.1	अस्रस्य		अस्रस्य	अस्र{पुं;6;एक}/अस्र{नपुं;6;एक}	अस्र{पुं;6;एक}	षष्ठीसम्बन्धः,6.1	कर्ता,11.1#कर्म,11.1#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,2.1#षष्ठीसम्बन्धः,1.4	N6	अस्र_का	अस्र_का
8.1	शस्तम्		शस्तम्	शस्त{पुं;2;एक(शस्1;क्त;भ्वादिः)}/शस्त{नपुं;1;एक(शस्1;क्त;भ्वादिः)}/शस्त{नपुं;2;एक(शस्1;क्त;भ्वादिः)}	शस्त{नपुं;1;एक(शस्1;क्त;भ्वादिः)}		कर्म,3.1	N1	प्रशंसित	प्रशंसित
9.1	च		च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,8.1	सुप्_समुच्चय_द्योतकः,8.1#सम्बन्धः,8.1	NA	और	और
10.1	अत्र		अत्र	अत्र{अव्य}	अत्र{अव्य}	देशाधिकरणम्,8.1	देशाधिकरणम्,11.1#देशाधिकरणम्,8.1#देशाधिकरणम्,3.1	NA	इस_स्थान_पर	इस_स्थान_पर
11.1	विरेचनम्		विरेचनम्	विरेचन{नपुं;1;एक(वि_रिच्1;ल्युट्;रुधादिः)}/विरेचन{नपुं;2;एक(वि_रिच्1;ल्युट्;रुधादिः)}	विरेचन{नपुं;1;एक(वि_रिच्1;ल्युट्;रुधादिः)}	कर्म,8.1	कर्म,8.1#कर्म,3.1	N1	साफ_करना	साफ_करना
12.1	.		.	-	-	-	-	FS	-	-
