1.1,जीर्णे,जीर्णे,जीर्ण{नपुं;1;द्वि}/जीर्ण{नपुं;2;द्वि}/जीर्णि{स्त्री;8;एक}/जीर्ण{नपुं;7;एक},जीर्ण{नपुं;7;एक},"भावलक्षणसप्तमी_पूर्वकालः,5.1","अधिकरणम्,8.1#अधिकरणम्,5.1#अधिकरणम्,3.1#अधिकरणम्,2.1#सुप्_समुच्चितः,3.1#कर्म,8.1#कर्म,5.1#कर्म,3.1#कर्म,2.1#भावलक्षणसप्तमी_पूर्वकालः,5.1",जीर्ण
2.1,हितम्,हितम्,हित{पुं;2;एक(धा1;क्त;जुहोत्यादिः)}/हित{नपुं;1;एक(धा1;क्त;जुहोत्यादिः)}/हित{नपुं;2;एक(धा1;क्त;जुहोत्यादिः)}/हित{पुं;2;एक(हि1;क्त;स्वादिः)}/हित{नपुं;1;एक(हि1;क्त;स्वादिः)}/हित{नपुं;2;एक(हि1;क्त;स्वादिः)},हित{नपुं;2;एक(धा1;क्त;जुहोत्यादिः)},"समुच्चितः,3.1","विशेषणम्,3.1#सुप्_समुच्चितः,3.1#कर्म,8.1#कर्म,5.1#कर्म,3.1#प्रयोजककर्ता,8.1#कर्ता,5.1",हित
3.1,मितम्,मितम्,मित्{स्त्री;2;एक}/मित{पुं;2;एक(मा1;क्त;अदादिः)}/मित{नपुं;1;एक(मा1;क्त;अदादिः)}/मित{नपुं;2;एक(मा1;क्त;अदादिः)}/मित{पुं;2;एक(मा2;क्त;जुहोत्यादिः)}/मित{नपुं;1;एक(मा2;क्त;जुहोत्यादिः)}/मित{नपुं;2;एक(मा2;क्त;जुहोत्यादिः)}/मित{पुं;2;एक(मि1;क्त;स्वादिः)}/मित{नपुं;1;एक(मि1;क्त;स्वादिः)}/मित{नपुं;2;एक(मि1;क्त;स्वादिः)}/मित{पुं;2;एक(मे1;क्त;भ्वादिः)}/मित{नपुं;1;एक(मे1;क्त;भ्वादिः)}/मित{नपुं;2;एक(मे1;क्त;भ्वादिः)},मित{नपुं;2;एक(मा1;क्त;अदादिः)},"कर्म,5.1","विशेषणम्,2.1#कर्म,8.1#कर्म,5.1#कर्म,2.1#प्रयोजककर्ता,8.1#कर्ता,5.1",नापा_हुआ
4.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,3.1","सुप्_समुच्चय_द्योतकः,3.1#सम्बन्धः,3.1",च1
5.1,अद्यात्,अद्यात्,अद्2{कर्तरि;आशीर्लिङ्;प्र;एक;परस्मैपदी;अदादिः}/अद्2{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;अदादिः},अद्2{कर्तरि;आशीर्लिङ्;प्र;एक;परस्मैपदी;अदादिः},"अभिहित_कर्ता,3.1;सकर्मक",-,खाये
6.1,न,न,न{अव्य},न{अव्य},"प्रतिषेधः,8.1","प्रतिषेधः,8.1",नहीं
7.1,वेगान्,वेगान्,वेग{पुं;2;बहु},वेग{पुं;2;बहु},"कर्म,8.1","सुप्_समुच्चितः,3.1#कर्म,8.1#कर्म,5.1#कर्म,3.1#कर्म,2.1",वेग
8.1,ईरयेत्,ईरयेत्,ईर्1{णिजन्त;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;अदादिः},ईर्1{णिजन्त;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;अदादिः},-,-,-
9.1,बलात्,बलात्,बल{नपुं;5;एक},बल{नपुं;5;एक},"हेतुः,8.1","हेतुः5,8.1#हेतुः5,5.1#हेतुः5,3.1#हेतुः5,2.1",बल_से
10.1,.,.,-,-,-,-,-
