1.1,चरकः,चरकः,चरक{पुं;1;एक},चरक{पुं;1;एक},"कर्ता,3.1","कर्ता,3.1#कर्म,6.1",-
2.1,तु,तु,तु{अव्य},तु{अव्य},"सम्बन्धः,1.1","सम्बन्धः,1.1",तो
3.1,आह,आह,ब्रू1{कर्तरि;लिट्;प्र;एक;आत्मनेपदी;अदादिः},ब्रू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},"अभिहित_कर्ता,1.1;सकर्मक",-,-
4.1,वीर्यम्,वीर्यम्,वीर्य{नपुं;1;एक}/वीर्य{नपुं;2;एक},वीर्य{नपुं;1;एक},"कर्ता,10.1","मुख्यकर्म,3.1#कर्ता_बे_वेर्ब्स्,10.1#कर्ता,3.1#कर्म,6.1",शूरवीरता
5.1,तत्,तत्,तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक},तद्{सर्वनाम;नपुं;1;एक},"विशेषणम्,4.1","विशेषणम्,4.1#मुख्यकर्म,3.1#कर्ता_बे_वेर्ब्स्,10.1#कर्ता,3.1#कर्म,6.1",उस
6.1,क्रियते,क्रियते,कृ3{कर्मणि;लट्;प्र;एक;आत्मनेपदी;तनादिः},कृ3{कर्मणि;लट्;प्र;एक;आत्मनेपदी;तनादिः},अभिहित_कर्ता,-,किया_जाता_है
7.1,येन,येन,येन{अव्य}/यद्{सर्वनाम;पुं;3;एक}/यद्{सर्वनाम;नपुं;3;एक},यद्{सर्वनाम;नपुं;3;एक},"कर्ता,6.1;नित्य_सम्बन्धः1,5.1","नित्य_सम्बन्धः1,5.1#कर्ता,6.1#करणम्,10.1#करणम्,6.1#हेतुः,10.1#हेतुः,6.1#हेतुः,3.1",जो
8.1,या,या,यद्{सर्वनाम;स्त्री;1;एक},यद्{सर्वनाम;स्त्री;1;एक},"विशेषणम्,9.1","विधेय_विशेषणम्,5.1#विशेषणम्,9.1#कर्ता_बे_वेर्ब्स्,10.1#कर्ता,3.1#कर्म,6.1",जिसको
9.1,क्रिया,क्रिया,क्रिया{स्त्री;1;एक},क्रिया{स्त्री;1;एक},"कर्म,6.1","विधेय_विशेषणम्,5.1#कर्ता_बे_वेर्ब्स्,10.1#कर्ता,3.1#कर्म,6.1",क्रिया
10.1,(भवति),भवति,भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/भवती{स्त्री;8;एक}/भवत्{सर्वनाम;पुं;7;एक}/भवत्{पुं;7;एक},भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},"वाक्यकर्म,3.1","वाक्य_कर्म,3.1",होती_है
11.1,.,.,-,-,-,-,-
