1.1,(अम्लः),(अम्लः),अम्ल{पुं;1;एक},अम्ल{पुं;1;एक},"कर्ता,2.1","कर्ता,2.1",अम्ल
2.1,करोति,करोति,कृ3{कर्तरि;लट्;प्र;एक;परस्मैपदी;तनादिः},कृ3{कर्तरि;लट्;प्र;एक;परस्मैपदी;तनादिः},"अभिहित_कर्ता,1.1;सकर्मक",-,करता_है
3.1,कफ-,कफ-पित्त-अस्र,कफ,कफ,"समाहार-द्वन्द्वः,3.2","त_पु_6,3.3#समाहार-द्वन्द्वः,3.2",कफ-
3.2,पित्त-,--,पित्त,पित्त,"समाहार-द्वन्द्वः,3.3","त_पु_6,3.3#समाहार-द्वन्द्वः,3.3",पित्त-
3.3,अस्रम्,--,अस्र{पुं;2;एक}/अस्र{नपुं;1;एक}/अस्र{नपुं;2;एक},अस्र{पुं;2;एक},"कर्म,2.1","प्रयोज्यकर्ता,4.2#कर्म,4.2#कर्म,2.1#कर्ता,2.1",अस्र_को
4.1,मूढ-,मूढ-वात--,मूढ,मूढ,"कर्मधारयः,4.2","त_पु_6,4.2#त_पु_3,4.2#कर्मधारयः,4.2",मूढ-
4.2,वात-,--,वात(वा1;क्त;अदादिः),वात(वा1;क्त;अदादिः),"षष्ठी-तत्पुरुषः,4.3","षष्ठी-तत्पुरुषः,4.3",-
4.3,अनुलोमनः,--,"अनुलोमन{पुं,1;एक","अनुलोमन{पुं,1;एक}","कर्ता,5.1","कर्ता,5.1",-
6.1,.,.,-,-,-,-,-
5.1,(भवति),(भवति),भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/भवती{स्त्री;8;एक}/भवत्{सर्वनाम;पुं;7;एक}/भवत्{पुं;7;एक},भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,4.3","अभिहित_कर्ता,4.3",-
