2.1,मलानाम्,मलानाम्,मल{पुं;6;बहु},मल{पुं;6;बहु},"षष्ठीसम्बन्धः,1.1","षष्ठीसम्बन्धः,1.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,3.1",मल_का
6.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,8.1","सुप्_समुच्चय_द्योतकः,5.1#सम्बन्धः,5.1#समुच्चय_द्योतकः,8.1",और
7.2,विसर्गतः,विसर्गतः,विसर्गतः{अव्य},विसर्गतः{अव्य},"अपादानम्,9.1","अपादानम्,9.1",विसर्ग_से
9.1,(विद्यात्),(विद्यात्),विद्1{कर्तरि;आशीर्लिङ्;प्र;एक;परस्मैपदी;अदादिः}/विद्3{कर्तरि;आशीर्लिङ्;प्र;एक;परस्मैपदी;तुदादिः}/विद्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;अदादिः},विद्1{कर्तरि;आशीर्लिङ्;प्र;एक;परस्मैपदी;अदादिः},"समुच्चितः,8.1","समुच्चितः,8.1",-
10.1,.,.,-,-,-,-,-
4.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,3.1","सम्बन्धः,3.1",और
5.1,क्षयम्,क्षयम्,क्षय{पुं;2;एक}/क्षय{नपुं;1;एक}/क्षय{नपुं;2;एक},क्षय{पुं;2;एक},"कर्म,9.1","कर्म,9.1",क्षय_को
1.1,वृद्धिम्,वृद्धिम्,वृद्धि{स्त्री;2;एक},वृद्धि{स्त्री;2;एक},"कर्म,8.1","सुप्_समुच्चितः,5.1#कर्म,8.1",वृद्धि_को
7.1,अति-,अति-,अति-,अति-,"प्रादि-तत्पुरुषः,7.2","प्रादि-तत्पुरुषः,7.2",अति
3.1,सङ्गात्,सङ्गात्,सङ्ग{पुं;5;एक},सङ्ग{पुं;5;एक},"अपादानम्,8.1","अपादानम्,8.1",साथ_से
8.1,(विद्यात्),(विद्यात्),विद्1{कर्तरि;आशीर्लिङ्;प्र;एक;परस्मैपदी;अदादिः}/विद्3{कर्तरि;आशीर्लिङ्;प्र;एक;परस्मैपदी;तुदादिः}/विद्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;अदादिः},विद्1{कर्तरि;आशीर्लिङ्;प्र;एक;परस्मैपदी;अदादिः},-,-,-
