5.3,औषधम्,--,औषध{पुं;2;एक}/औषध{नपुं;1;एक}/औषध{नपुं;2;एक},औषध{नपुं;1;एक},"कर्ता,15.1","विधेय_विशेषणम्,3.1#विधेय_विशेषणम्,1.1#कर्ता_बे_वेर्ब्स्,8.1#कर्ता,15.1",औषधि
10.1,प्रायः,प्रायः,प्रायः{अव्य},प्रायः{अव्य},"क्रियाविशेषणम्,14.1","क्रियाविशेषणम्,14.1",प्राय
13.1,तर्पणात्,तर्पणात्,तर्पण{नपुं;5;एक},तर्पण{नपुं;5;एक},"हेतुः,14.1","हेतुः,14.1",तर्पण_से
6.2,मारुतयोः,--,मारुता{स्त्री;6;द्वि}/मारुत{पुं;6;द्वि}/मारुत{नपुं;6;द्वि}/मारुता{स्त्री;7;द्वि}/मारुत{पुं;7;द्वि}/मारुत{नपुं;7;द्वि},मारुता{स्त्री;7;द्वि},"अधिकरणम्,8.1","अधिकरणम्,14.1#अधिकरणम्,8.1#षष्ठीसम्बन्धः,14.1#षष्ठीसम्बन्धः,13.1#षष्ठीसम्बन्धः,11.1#षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,5.3#षष्ठीसम्बन्धः,2.1",मारुतों_में
11.1,वृद्धिः,वृद्धिः,वृद्धि{स्त्री;1;एक},वृद्धि{स्त्री;1;एक},"कर्ता,14.1","विधेय_विशेषणम्,3.1#कर्ता_बे_वेर्ब्स्,14.1",वृद्धि
5.1,वर्धन-,वर्धन-क्षपण-औषधम्,वर्धन(वृध्1;ल्युट्;भ्वादिः),वर्धन(वृध्1;ल्युट्;भ्वादिः),"इतरेतर-द्वन्द्वः,5.2","इतरेतर-द्वन्द्वः,5.2",-
15.1,(भवति),(भवति),भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/भवती{स्त्री;8;एक}/भवत्{सर्वनाम;पुं;7;एक}/भवत्{पुं;7;एक},भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,5.3;सकर्मक","अभिहित_कर्ता,5.3;सकर्मक",-
7.1,न,न,न{अव्य},न{अव्य},"प्रतिषेधः,8.1","प्रतिषेधः,14.1#प्रतिषेधः,8.1",नहीं
8.1,(भवति),(भवति),भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/भवती{स्त्री;8;एक}/भवत्{सर्वनाम;पुं;7;एक}/भवत्{पुं;7;एक},भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,5.3;सकर्मक","विशेषणम्,14.1#अभिहित_कर्ता,5.3;सकर्मक",होती_है
3.1,तत्,तत्,तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक},तद्{सर्वनाम;नपुं;1;एक},"विशेषणम्,5.3","विशेषणम्,5.3#कर्ता_बे_वेर्ब्स्,8.1",वह
4.1,अन्यस्य,अन्यस्य,अन्य{सर्वनाम;पुं;6;एक}/अन्य{सर्वनाम;नपुं;6;एक},अन्य{सर्वनाम;पुं;6;एक},"षष्ठीसम्बन्धः,3.1","षष्ठीसम्बन्धः,3.1",अन्यका
2.1,एकस्य,एकस्य,एक{संख्येयम्;पुं;6;एक}/एक{संख्येयम्;नपुं;6;एक}/एक{संख्या;नपुं;6;एक},एक{संख्येयम्;पुं;6;एक},"षष्ठीसम्बन्धः,1.1","षष्ठीसम्बन्धः,1.1",एक_का
9.1,एवं,एवं,एवम्{अव्य},एवम्{अव्य},"सम्बन्धः,6.2","क्रियाविशेषणम्,14.1#सम्बन्धः,6.2",ऐसा
12.1,हि,हि,हि{अव्य},हि{अव्य},"सम्बन्धः,14.1","सम्बन्धः,14.1#सम्बन्धः,8.1",हि
-,-,-,-,-,-,-,-
5.2,क्षपण-,--,क्षपण,क्षपण,"षष्ठी-तत्पुरुषः,5.3","षष्ठी-तत्पुरुषः,5.3",क्षपण-
6.1,अस्थि-,अस्थि-मारुतयोः,अस्थि,अस्थि,"इतरेतर-द्वन्द्वः,6.2","इतरेतर-द्वन्द्वः,6.2",अस्थि-
14.1,(भवति),(भवति),भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/भवती{स्त्री;8;एक}/भवत्{सर्वनाम;पुं;7;एक}/भवत्{पुं;7;एक},भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,11.1;सकर्मक","अभिहित_कर्ता,11.1;सकर्मक",होती_है
