anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1.1,ईशा,ईशा,ईश्{पुं;3;एक}/ईशा{स्त्री;1;एक},ईश्{पुं;3;एक},"कर्ता,2.1","कर्म,2.1#कर्ता,2.1#हेतुः,9.1#हेतुः,2.1#कर्ता,2.1",-
2.1,वास्यम्,वास्यम्,वास्य{पुं;2;एक(वस्1;ण्यत्;भ्वादिः)}/वास्य{नपुं;1;एक(वस्1;ण्यत्;भ्वादिः)}/वास्य{नपुं;2;एक(वस्1;ण्यत्;भ्वादिः)}/वास्य{पुं;2;एक(वस्2;ण्यत्;अदादिः)}/वास्य{नपुं;1;एक(वस्2;ण्यत्;अदादिः)}/वास्य{नपुं;2;एक(वस्2;ण्यत्;अदादिः)},वास्य{नपुं;1;एक(वस्1;ण्यत्;भ्वादिः)},"कर्ता,10.1","विशेषणम्,8.1#विशेषणम्,4.1#विशेषणम्,3.1#कर्ता_बे_वेर्ब्स्,9.1",-
3.1,इदं,इदं,इदम्{सर्वनाम;नपुं;1;एक}/इदम्{सर्वनाम;नपुं;2;एक},इदम्{सर्वनाम;नपुं;1;एक},"विशेषणम्,4.1","विशेषणम्,8.1#विशेषणम्,4.1#कर्ता_बे_वेर्ब्स्,9.1",यह
4.1,सर्वं,सर्वं,सर्व{सर्वनाम;पुं;2;एक}/सर्व{सर्वनाम;नपुं;1;एक}/सर्व{सर्वनाम;नपुं;2;एक},सर्व{सर्वनाम;नपुं;1;एक},"कर्म,2.1","विशेषणम्,8.1#कर्ता_बे_वेर्ब्स्,9.1",सब
5.1,यत्,यत्,यत्{अव्य},यत्{अव्य},"विशेषणम्,8.1","सम्बन्धः,9.1#विशेषणम्,8.1;नित्यसम्बन्धः,10.1",कि
6.1,किञ्च,किञ्च,किञ्च{अव्य},किञ्च{अव्य},"विशेषणम्,8.1","सम्बन्धः,10.1",किञ्च
7.1,जगत्यां,जगत्याम्,जगती{स्त्री;7;एक},जगती{स्त्री;7;एक},"अधिकरणम्,9.1","अधिकरणम्,9.1",पृथ्वी_में
8.1,जगत्,जगत्,जगत्{नपुं;1;एक}/जगत्{नपुं;2;एक}/जगत्{पुं;8;एक}/जगत्{नपुं;8;एक}/जगत्{पुं;1;एक},जगत्{नपुं;1;एक},"कर्ता,9.1","कर्ता_बे_वेर्ब्स्,9.1;कर्ता,10.1",जगत्
9.1,(अस्ति),अस्ति,अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},"अभिहित_कर्ता,9.1","अभिहित_कर्ता,9.1",है
10.1,(अस्ति),-,अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},"अभिहित_कर्ता,2.1","अभिहित_कर्ता,2.1",-
