anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1.1,व्यायाम-,व्यायाम-जागर-अध्व-स्त्री-हास्य-भाषि-आदि,व्यायाम,व्यायाम,"इतरेतर-द्वन्द्वः,1.6","इतरेतर-द्वन्द्वः,1.6",व्यायाम-
1.2,जागर-,--,जागर,जागर,"इतरेतर-द्वन्द्वः,1.6","इतरेतर-द्वन्द्वः,1.6",जागर-
1.3,अध्व-,--,अध्वन्,अध्वन्,"इतरेतर-द्वन्द्वः,1.6","इतरेतर-द्वन्द्वः,1.6",अध्व-
1.4,स्त्री-,--,स्त्री,स्त्री,"इतरेतर-द्वन्द्वः,1.6","इतरेतर-द्वन्द्वः,1.6",स्त्री-
1.5,हास्य-,--,हास्य(हस्1;ण्यत्;भ्वादिः),हास्य(हस्1;ण्यत्;भ्वादिः),"इतरेतर-द्वन्द्वः,1.6","इतरेतर-द्वन्द्वः,1.6",-
1.6,भाषि-,--,-भाषि,-भाषि,"षष्ठ्यर्थ-बहुव्रीहिः,1.7","षष्ठ्यर्थ-बहुव्रीहिः,1.7",भाषि-
1.7,आदि,--,आदि{नपुं;1;एक}/आदि{नपुं;2;एक}/आदि{नपुं;8;एक},आदि{नपुं;2;एक},"समुच्चितः,2.1","विशेषणम्,2.1#सुप्_समुच्चितः,2.1#कर्ता,7.1",आदि_को
2.1,साहसम्,साहसम्,साहस{नपुं;1;एक}/साहस{नपुं;2;एक},साहस{नपुं;2;एक},"कर्म,8.1","कर्म,8.1#कर्ता,7.1",साहस_की
3.1,गजम्,गजम्,गज{पुं;2;एक},गज{पुं;2;एक},"कर्म,6.1","उपमानम्,2.1#कर्म,8.1#कर्म,6.1",हाथी_को
4.1,सिंहः,सिंहः,सिंह{पुं;1;एक},सिंह{पुं;1;एक},"कर्ता,7.1;कर्ता,6.1","उपमानम्,2.1#कर्ता,10.1#कर्ता,7.1",सिंह
5.1,इव,इव,इव{अव्य},इव{अव्य},"उपमान_द्योतकः,7.1","उपमानम्_रहित_उपमान_द्योतकः,6.1#उपमान_द्योतकः,4.1#उपमान_द्योतकः,7.1",जैसे
6.1,आकर्षन्,आकर्षन्,आकर्षत्{पुं;1;एक(आङ्_कृष्2;शतृ_लट्;तुदादिः)},आकर्षत्{पुं;1;एक(आङ्_कृष्2;शतृ_लट्;तुदादिः)},"वर्तमानसमानकालः,7.1","वर्तमानसमानकालः,10.1#वर्तमानसमानकालः,7.1#कर्ता,10.1#कर्ता,7.1",उठाता_हुआ
7.1,(विनश्यति),(विनश्यति),वि_णश्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;दिवादिः},वि_णश्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;दिवादिः},"उपमानम्,10.1;अभिहित_कर्ता,4.1;सकर्मक","उपमानम्,10.1",भ्रष्ट_हो_जाता_है
8.1,भजन्,भजन्,भजत्{पुं;1;एक(भज्1;शतृ_लट्;भ्वादिः)},भजत्{पुं;1;एक(भज्1;शतृ_लट्;भ्वादिः)},"वर्तमानसमानकालः,10.1","वर्तमानसमानकालः,10.1#वर्तमानसमानकालः,7.1#कर्ता,10.1#कर्ता,7.1",सेवा_करता_हुआ
9.1,अति,अति,अति{अव्य},अति{अव्य},"तीव्रतादर्शी,8.1","तीव्रतादर्शी,8.1",अति
10.1,विनश्यति,विनश्यति,वि_णश्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;दिवादिः},वि_णश्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;दिवादिः},"अभिहित_कर्ता,11.1;सकर्मक",-,भ्रष्ट_हो_जाता_है
11.1,(पुरुषः),(पुरुषः),पुरुष{पुं;1;एक},पुरुष{पुं;1;एक},"कर्ता,10.1;कर्ता,8.1","कर्ता,10.1#कर्ता,7.1",सिंह
12.1,.,.,-,-,-,-,-
