anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1.1,धारणात्,धारणात्,धारण{नपुं;5;एक},धारण{नपुं;5;एक},"हेतुः,10.1","हेतुः5,14.1#हेतुः5,10.1#हेतुः5,3.1#अपादानम्,10.1#अपादानम्,3.1",-
2.1,पुनः,पुनः,पुनः{अव्य},पुनः{अव्य},"सम्बन्धः,10.1","क्रियाविशेषणम्,14.1#क्रियाविशेषणम्,10.1#सम्बन्धः,10.1",फिर
3.1,उद्गारस्य,उद्गारस्य,उद्गार{पुं;6;एक}/उद्गार{पुं;6;एक(उत्_गॄ1;घञ्;तुदादिः)},उद्गार{पुं;6;एक},"षष्ठीसम्बन्धः,1.1","षष्ठीसम्बन्धः,14.1#षष्ठीसम्बन्धः,13.1#षष्ठीसम्बन्धः,7.2#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,4.2#षष्ठीसम्बन्धः,1.1",उद्गार_का
4.1,अ-,अ-रुचिः,अ,अ,"नञ्-तत्पुरुषः,4.2","नञ्-तत्पुरुषः,4.2",अ-
4.2,रुचिः,--,रुचि{स्त्री;1;एक}/रुचि{पुं;1;एक},रुचि{स्त्री;1;एक},"समुच्चितः,8.3","विशेषणम्,6.1#विशेषणम्,5.1#सुप्_समुच्चितः,8.3",रुचि
5.1,कम्पः,कम्पः,कम्प{पुं;1;एक},कम्प{पुं;1;एक},"समुच्चितः,8.3","सुप्_समुच्चितः,8.3",कम्प
6.1,विबन्धः,विबन्धः,विबन्ध{पुं;1;एक},विबन्ध{पुं;1;एक},"समुच्चितः,8.3","सुप्_समुच्चितः,8.3",रूकावट
7.1,हृदय-,हृदय-उरसोः,हृदय,हृदय,"इतरेतर-द्वन्द्वः,7.2","इतरेतर-द्वन्द्वः,7.2",हृदय-
7.2,उरसोः,--,उरस्{नपुं;6;द्वि}/उरस्{नपुं;7;द्वि}/उरस्{पुं;6;द्वि}/उरस्{पुं;7;द्वि},उरस्{नपुं;6;द्वि},"षष्ठीसम्बन्धः,6.1","विषयाधिकरणम्,4.2#अधिकरणम्,14.1#अधिकरणम्,10.1#अधिकरणम्,3.1#षष्ठीसम्बन्धः,14.1#षष्ठीसम्बन्धः,13.1#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,4.2#षष्ठीसम्बन्धः,3.1",सीनों_का
8.1,आध्मान-,आध्मान-कास-हिध्माः,आध्मान,आध्मान,"इतरेतर-द्वन्द्वः,8.3","इतरेतर-द्वन्द्वः,8.3",आध्मान-
8.2,कास-,--,कास,कास,"इतरेतर-द्वन्द्वः,8.3","इतरेतर-द्वन्द्वः,8.3",कास-
8.3,हिध्माः,--,हिध्मा{स्त्री;1;बहु},हिध्मा{स्त्री;1;बहु},"कर्ता,10.1","कर्ता,10.1",-
9.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,8.3","सुप्_समुच्चय_द्योतकः,8.3",और
10.1,(जायन्ते),जायन्ते,जन्2{कर्मणि;लट्;प्र;बहु;आत्मनेपदी;दिवादिः}/जन्2{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;दिवादिः},जन्2{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;दिवादिः},-,-,उत्पन्न_हुआ_जाता_है
11.1,हिध्मावत्,हिध्मावत्,हिध्मावत्{अव्य;वति},हिध्मावत्{अव्य;वति},"क्रियाविशेषणम्,14.1","क्रियाविशेषणम्,14.1",-
12.1,तत्र,तत्र,तत्र{अव्य},तत्र{अव्य},"देशाधिकरणम्,14.1","देशाधिकरणम्,14.1#देशाधिकरणम्,10.1",वहाँ
13.1,भेषजम्,भेषजम्,भेषज{पुं;2;एक}/भेषज{नपुं;1;एक}/भेषज{नपुं;2;एक},भेषज{नपुं;1;एक},"कर्ता,14.1","कर्ता_बे_वेर्ब्स्,14.1",औषध_को
14.1,(भवति),भवति,भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/भवती{स्त्री;8;एक}/भवत्{सर्वनाम;पुं;7;एक}/भवत्{पुं;7;एक},भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},-,"विषयाधिकरणम्,4.2",होता_है
15.1,.,.,-,-,-,-,-
