anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
-,-,-,-,-,-,-,-
2.1,साधयेत्,साधयेत्,षिद्1{णिजन्त;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},षिद्1{णिजन्त;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},-,-,-
3.1,शीघ्रम्,शीघ्रम्,शीघ्रम्{अव्य},शीघ्रम्{अव्य},"क्रियाविशेषणम्,2.1","क्रियाविशेषणम्,2.1",शीघ्र
4.1,क्रमात्,क्रमात्,क्रम{पुं;5;एक},क्रम{पुं;5;एक},"हेतुः,2.1","हेतुः5,12.1#हेतुः5,5.1#अपादानम्,12.1#हेतुः,2.1",क्रम_से
5.1,लङ्घन-,लङ्घन-बृंहणैः,लङ्घन(लघ्1;ल्युट्;भ्वादिः)}/लङ्घन(लघ्2{ल्युट्;भ्वादिः),लङ्घन(लघ्1;ल्युट्;भ्वादिः),"इतरेतर-द्वन्द्वः,5.2","इतरेतर-द्वन्द्वः,5.2",-
5.2,बृंहणैः,--,बृंहण{नपुं;3;बहु}/बृंहण{पुं;3;बहु},बृंहण{नपुं;3;बहु},"हेतुः,2.1","विशेषणम्,10.1#हेतुः,12.1#हेतुः,2.1",चिघांडने_का_शब्द
6.1,वायोः,वायोः,वायु{पुं;5;एक}/वायु{पुं;6;एक},वायु{पुं;6;एक},"षष्ठीसम्बन्धः,8.2","षष्ठीसम्बन्धः,8.2",हवा_से
7.1,अन्यत्र,अन्यत्र,अन्यत्र{अव्य},अन्यत्र{अव्य},"देशाधिकरणम्,2.1","देशाधिकरणम्,2.1",अन्यत्र
8.1,तत्-,तत्-जान्,तत्,तत्,"कर्मधारयः,8.2","कर्मधारयः,8.2",तत्-
8.2,जान्,--,ज{पुं;2;बहु},ज{पुं;2;बहु},"विशेषणम्,1.1","विशेषणम्,1.1",उत्पन्न_को
9.1,तु,तु,तु{अव्य},तु{अव्य},"सम्बन्धः,8.2","सम्बन्धः,8.2#सम्बन्धः,8.1",तो
10.1,तैः,तैः,तद्{सर्वनाम;पुं;3;बहु}/तद्{सर्वनाम;नपुं;3;बहु},तद्{सर्वनाम;नपुं;3;बहु},"विशेषणम्,12.2","विशेषणम्,12.2",उनसे
11.1,एव,एव,एव{अव्य},एव{अव्य},"सम्बन्धः,10.1","सम्बन्धः,10.1",ही
12.1,उत्क्रम-,उत्क्रम-योजितैः,उत्क्रम(उत्_क्रम्1;घञ्;भ्वादिः),उत्क्रम(उत्_क्रम्1;घञ्;भ्वादिः),"तृतीया-तत्पुरुषः,12.2","तृतीया-तत्पुरुषः,12.2",-
12.2,योजितैः,--,-,-,"विशेषणम्,5.2","विशेषणम्,5.2",-
