anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1.1,आगन्तुम्,आगन्तुम्,आगन्तु{पुं;2;एक}/आङ्_गम्1{अव्य{तुमुन्;भ्वादिः},आगन्तु{पुं;2;एक},"विशेषणम्,3.1","प्रयोजनम्1,5.1#प्रयोजनम्1,2.1#प्रयोज्यकर्ता,2.1#तुमुन्कर्म,2.1#विशेषणम्,3.1",आने~के_लिये
2.1,शमयेत्,शमयेत्,शम्1{णिच्;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;दिवादिः},शम्1{णिच्;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;दिवादिः},-,-,दिखाये
3.1,दोषम्,दोषम्,दोस्{पुं;2;एक}/दोष{पुं;2;एक},दोस्{पुं;2;एक},"कर्म,2.1","प्रयोज्यकर्ता,2.1#कर्म,1.1#कर्म,5.1#कर्म,2.1",भुजा_को
4.1,स्थानिनम्,स्थानिनम्,स्थानिन्{पुं;2;एक},स्थानिन्{पुं;2;एक},"विशेषणम्,7.1","प्रयोज्यकर्ता,2.1#कर्म,1.1#विशेषणम्,3.1#विशेषणम्,7.1",स्थानीय_को
5.1,प्रतिकृत्य,प्रतिकृत्य,प्रति_कृ2{अव्य;ल्यप्;स्वादिः}/प्रति_कृ3{अव्य{ल्यप्;तनादिः}/प्रति_कृत्1{अव्य{ल्यप्;तुदादिः},प्रति_कृ2{अव्य;ल्यप्;स्वादिः},"पूर्वकालः,2.1","पूर्वकालः,2.1",हिंसा_करके
6.1,वा,वा,वा{अव्य},वा{अव्य},"अन्यतर_द्योतकः,9.1","सम्बन्धः,5.1#अन्यतर_द्योतकः,9.1",वा
7.1,(दोषम्),दोषम्,दोस्{पुं;2;एक}/दोष{पुं;2;एक},दोस्{पुं;2;एक},"कर्म,5.1","कर्म,5.1",भुजा_को
8.1,स्थानिनम्,स्थानिनम्,स्थानिन्{पुं;2;एक},स्थानिन्{पुं;2;एक},"विशेषणम्,10.1","विशेषणम्,10.1",स्थानीय_को
9.1,शमयेत्,शमयेत्,शम्1{णिच्;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;दिवादिः},शम्1{णिच्;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;दिवादिः},"अन्यतरः,2.1","अन्यतरः,2.1",दिखाये
10.1,दोषम्,दोषम्,दोस्{पुं;2;एक}/दोष{पुं;2;एक},दोस्{पुं;2;एक},"कर्म,9.1","कर्म,9.1",भुजा_को
11.1,आगन्तुम्,आगन्तुम्,आगन्तु{पुं;2;एक}/आङ्_गम्1{अव्य{तुमुन्;भ्वादिः},आगन्तु{पुं;2;एक},"विशेषणम्,13.1","विशेषणम्,13.1",आने~के_लिये
12.1,प्रतिकृत्य,प्रतिकृत्य,प्रति_कृ2{अव्य;ल्यप्;स्वादिः}/प्रति_कृ3{अव्य{ल्यप्;तनादिः}/प्रति_कृत्1{अव्य{ल्यप्;तुदादिः},प्रति_कृ2{अव्य;ल्यप्;स्वादिः},"पूर्वकालः,9.1","पूर्वकालः,9.1",हिंसा_करके
13.1,(दोषम्),दोषम्,दोस्{पुं;2;एक}/दोष{पुं;2;एक},दोस्{पुं;2;एक},"कर्म,12.1","कर्म,12.1",भुजा_को
14.1,.,.,-,-,-,-,-
