anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1.1,प्रवृत्तान्,प्रवृत्तान्,प्रवृत्त{पुं;2;बहु(प्र_वृ;क्त;भ्वादिः)},प्रवृत्त{पुं;2;बहु(प्र_वृ;क्त;भ्वादिः)},"विशेषणम्,4.1","कर्म,6.1#कर्म,5.1#विशेषणम्,4.1",प्रवृत्तों_को
2.1,प्राक्,प्राक्,प्राक्{अव्य}/प्राश्{स्त्री;1;एक},प्राक्{अव्य},"कालाधिकरणम्,1.1","देशाधिकरणम्_उप,12.1#देशाधिकरणम्_उप,11.1#देशाधिकरणम्_उप,6.1#देशाधिकरणम्_उप,5.1#कर्ता,5.1#कालाधिकरणम्,12.1#कालाधिकरणम्,11.1#कालाधिकरणम्,6.1#कालाधिकरणम्,5.1#कालाधिकरणम्,1.1",होठों_से_लगाना
3.1,अतः,अतः,अतः{अव्य},अतः{अव्य},"सम्बन्धः,5.1","सम्बन्धः,12.1#सम्बन्धः,11.1#सम्बन्धः,5.1#कार्य_द्योतकः,12.1#कार्य_द्योतकः,11.1#कार्य_द्योतकः,5.1",अतः
4.1,दोषान्,दोषान्,दोष{पुं;2;बहु},दोष{पुं;2;बहु},"कर्म,5.1","कर्म,11.1#कर्म,5.1",दोषों_को
5.1,उपेक्षेत,उपेक्षेत,उप_ईक्ष्1{कर्तरि;विधिलिङ्;प्र;एक;आत्मनेपदी;भ्वादिः},उप_ईक्ष्1{कर्तरि;विधिलिङ्;प्र;एक;आत्मनेपदी;भ्वादिः},-,"सुप्_अन्यतरः,12.1",उप_ईक्ष्1यें
6.1,हित-,हित-आशिनः,हित(धा1;क्त;जुहोत्यादिः)}/हित(हि1{क्त;स्वादिः),हित(धा1;क्त;जुहोत्यादिः),"उपपद-तत्पुरुषः,6.2","उपपद-तत्पुरुषः,6.2",-
6.2,आशिनः,--,आशिन्{पुं;1;बहु},आशिन्{पुं;1;बहु},"कर्ता,5.1","कर्ता,5.1",-
7.1,वि-,वि-बद्धान्,वि,वि,"प्रादि-तत्पुरुषः,7.2","प्रादि-तत्पुरुषः,7.2",वि-
7.2,बद्धान्,--,बद्ध{पुं;2;बहु},बद्ध{पुं;2;बहु},"कर्म,11.1","विशेषणम्,4.1#विशेषणम्,1.1#कर्म,11.1#कर्म,5.1",बाँधों_को
8.1,पाचनैः,पाचनैः,पाचन{पुं;3;बहु}/पाचन{नपुं;3;बहु},पाचन{पुं;3;बहु},"हेतुः,11.1","प्रयोज्यकर्ता,11.1#हेतुः,12.1#हेतुः,11.1#हेतुः,5.1",पाचनों_के_द्वारा
9.1,तैः,तैः,तद्{सर्वनाम;पुं;3;बहु}/तद्{सर्वनाम;नपुं;3;बहु},तद्{सर्वनाम;पुं;3;बहु},"वीप्सा,10.1","विशेषणम्,10.1#विशेषणम्,8.1#वीप्सा,10.1#प्रयोज्यकर्ता,11.1#हेतुः,12.1#हेतुः,11.1#हेतुः,5.1",उन
10.1,तैः,तैः,तद्{सर्वनाम;पुं;3;बहु}/तद्{सर्वनाम;नपुं;3;बहु},तद्{सर्वनाम;पुं;3;बहु},"विशेषणम्,8.1","विशेषणम्,9.1#विशेषणम्,8.1#प्रयोज्यकर्ता,11.1#हेतुः,12.1#हेतुः,11.1#हेतुः,5.1",उनसे
11.1,पाचयेत्,पाचयेत्,पच्1{णिच्;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},पच्1{णिच्;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},-,"सुप्_अन्यतरः,12.1",-
12.1,निर्हरेत,निर्हरेत,निस्_हृ1{कर्तरि;विधिलिङ्;प्र;एक;आत्मनेपदी;भ्वादिः}/निस्_हृ1{कर्तरि{विधिलिङ्;म;बहु;परस्मैपदी;भ्वादिः},निस्_हृ1{कर्तरि;विधिलिङ्;प्र;एक;आत्मनेपदी;भ्वादिः},"अन्यतरः,11.1","अन्यतरः,11.1",बाहर_निकाले
13.1,वा,वा,वा{अव्य},वा{अव्य},"अन्यतर_द्योतकः,12.1","सुप्_अन्यतर_द्योतकः,12.1#सम्बन्धः,12.1",वा
14.1,.,.,-,-,-,-,-
