anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
-,.,.,-,-,-,-,-
-,-,-,-,-,-,-,-
1.1,क्षयः,क्षयः,क्षय{पुं;1;एक},क्षय{पुं;1;एक},"कर्ता,2.1","कर्ता,2.1",-
1.1,स्नेह-,स्नेह-,स्नेह-,स्नेह-,"इतरेतर-द्वन्द्वः,1.9","इतरेतर-द्वन्द्वः,1.9",स्नेह-
1.2,अग्नि-,अग्नि-,अग्नि-,अग्नि-,"इतरेतर-द्वन्द्वः,1.9","इतरेतर-द्वन्द्वः,1.9",अग्नि-
1.3,निद्रा-,निद्रा-,निद्रा-,निद्रा-,"इतरेतर-द्वन्द्वः,1.9","इतरेतर-द्वन्द्वः,1.9",निद्रा-
1.4,दृक्-,दृक्-,दृक्-,दृक्-,"इतरेतर-द्वन्द्वः,1.9","इतरेतर-द्वन्द्वः,1.9",दृक्-
1.5,श्रोत्र-,श्रोत्र-,श्रोत्र-,श्रोत्र-,"इतरेतर-द्वन्द्वः,1.9","इतरेतर-द्वन्द्वः,1.9",श्रोत्र-
1.6,शुक्र-,शुक्र-,शुक्र-,शुक्र-,"इतरेतर-द्वन्द्वः,1.9","इतरेतर-द्वन्द्वः,1.9",शुक्र-
1.7,ओजः-,ओजः-,ओजः-,ओजः-,"इतरेतर-द्वन्द्वः,1.9","इतरेतर-द्वन्द्वः,1.9",औजः-
1.8,क्षुत्-,क्षुत्-,क्षुत्-,क्षुत्-,"इतरेतर-द्वन्द्वः,1.9","इतरेतर-द्वन्द्वः,1.9",क्षुत्-
1.9,स्वर-,स्वर-,स्वर-,स्वर-,"षष्ठी-तत्पुरुषः,1.10","षष्ठी-तत्पुरुषः,1.10",स्वर-
2.1,(भवति),(भवति),भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/भवती{स्त्री;8;एक}/भवत्{सर्वनाम;पुं;7;एक}/भवत्{पुं;7;एक},भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,1.10","अभिहित_कर्ता,1.10",होता_है
