anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,जनकस्य,जनकस्य,जनक{पुं;6;एक},जनक{पुं;6;एक},"षष्ठीसम्बन्धः,2.1","षष्ठीसम्बन्धः,5.2#षष्ठीसम्बन्धः,4.1#षष्ठीसम्बन्धः,2.1"
2.1,कुले,कुले,कुलि{पुं;8;एक}/कुल{नपुं;7;एक},कुल{नपुं;7;एक},"अधिकरणम्,3.1","अधिकरणम्,8.1#अधिकरणम्,3.1#सम्बोध्यः,8.1#सम्बोध्यः,3.1"
3.1,जाता,जाता,जाता{स्त्री;1;एक(जन्2;क्त;दिवादिः)},जाता{स्त्री;1;एक(जन्2;क्त;दिवादिः)},"विशेषणम्,4.1","विशेषणम्,7.1#विशेषणम्,5.2#विशेषणम्,4.1#कर्ता_बे_वेर्ब्स्,8.1"
4.1,(सा),सा,तद्{सर्वनाम;स्त्री;1;एक},तद्{सर्वनाम;स्त्री;1;एक},"कर्ता,8.1","विशेषणम्,7.1#विशेषणम्,5.2#विशेषणम्,3.1#कर्ता_बे_वेर्ब्स्,8.1"
5.1,देव-,देव-माया,देव,देव,"षष्ठी-तत्पुरुषः,5.2","षष्ठी-तत्पुरुषः,5.2"
5.2,माया,--,माया{स्त्री;1;एक},माया{स्त्री;1;एक},"उपमानम्,7.1","विधेय_विशेषणम्,7.1#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,3.1#उपमानम्,4.1#कर्ता_बे_वेर्ब्स्,8.1#उपमानम्,7.1"
6.1,इव,इव,इव{अव्य},इव{अव्य},"उपमान_द्योतकः,5.2","उपमान_द्योतकः,5.2"
7.1,निर्मिता,निर्मिता,निर्मिता{स्त्री;1;एक},निर्मिता{स्त्री;1;एक},"विधेय_विशेषणम्,4.1","विधेय_विशेषणम्,5.2#विधेय_विशेषणम्,4.1#विधेय_विशेषणम्,3.1#कर्ता_बे_वेर्ब्स्,8.1"
8.1,(अस्ति),अस्ति,अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},"अभिहित_कर्ता,4.1",-
9.1,.,.,-,-,-,-
