anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,प्रविश्य,प्रविश्य,प्र_विश्1{अव्य;ल्यप्;तुदादिः},प्र_विश्1{अव्य;ल्यप्;तुदादिः},"पूर्वकालः,10.1","पूर्वकालः,10.1"
2.1,तु,तु,तु{अव्य},तु{अव्य},"सम्बन्धः,1.1","सम्बन्धः,1.1"
3.1,महा-,महा-अरण्यं,महा,महा,"कर्मधारय,3.2","कर्मधारय,3.2"
3.2,अरण्यम्,--,अरण्य{नपुं;1;एक}/अरण्य{नपुं;2;एक},अरण्य{नपुं;2;एक},"कर्म,1.1","सुप्_समुच्चितः,17.2#सुप्_समुच्चितः,15.1#सुप्_समुच्चितः,12.1#कर्म,10.1#कर्म,8.1#कर्ता,10.1#कर्म,1.1"
4.1,रामः,रामः,राम{पुं;1;एक},राम{पुं;1;एक},"कर्ता,10.1;कर्ता,8.1;कर्ता,1.1","कर्ता,10.1"
5.1,राजीव-,राजीव-लोचनः,राजीव,राजीव,"षष्ठी-बहुव्रीहिः,5.2","षष्ठी-बहुव्रीहिः,5.2"
5.2,लोचनः,--,लोचन{पुं;1;एक},लोचन{पुं;1;एक},"विशेषणम्,4.1","विशेषणम्,4.1#कर्ता,10.1"
6.1,विराधम्,विराधं,विराध{पुं;2;एक}/विराध{पुं;2;एक(वि_राध्2;घञ्;स्वादिः)}/विराध{पुं;2;एक(वि_राध्1;घञ्;दिवादिः)},विराध{पुं;2;एक},"विशेषणम्,7.1","विशेषणम्,17.2#विशेषणम्,15.1#विशेषणम्,12.1#विशेषणम्,9.1#विशेषणम्,7.1#विशेषणम्,5.2#विशेषणम्,4.1#विशेषणम्,3.2#कर्म,10.1#कर्म,8.1#सुप्_समुच्चितः,17.2#सुप्_समुच्चितः,15.1#सुप्_समुच्चितः,12.1"
7.1,राक्षसम्,राक्षसं,राक्षस{पुं;2;एक},राक्षस{पुं;2;एक},"कर्म,8.1","सुप्_समुच्चितः,17.2#सुप्_समुच्चितः,15.1#सुप्_समुच्चितः,12.1#कर्म,10.1#कर्म,8.1"
8.1,हत्वा,हत्वा,हन्1{अव्य;क्त्वा;अदादिः},हन्1{अव्य;क्त्वा;अदादिः},"पूर्वकालः,10.1","पूर्वकालः,10.1"
9.1,शरभङ्गम्,शरभङ्गं,शरभङ्ग{पुं;2;एक},शरभङ्ग{पुं;2;एक},"समुच्चितः,17.2","सुप्_समुच्चितः,17.2#सुप्_समुच्चितः,15.1#सुप्_समुच्चितः,12.1#कर्म,10.1#कर्म,8.1"
10.1,ददर्श,ददर्श,दृश्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः}/दृश्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;भ्वादिः},दृश्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,4.1;सकर्मक",-
11.1,ह,ह,ह{अव्य},ह{अव्य},"सम्बन्धः,10.1","सुप्_समुच्चितः,13.1#सम्बन्धः,10.1"
12.1,सुतीक्ष्णम्,सुतीक्ष्णं,सुतीक्ष्ण{पुं;2;एक},सुतीक्ष्ण{पुं;2;एक},"समुच्चितः,17.2","सुप्_समुच्चितः,17.2#सुप्_समुच्चितः,15.1#कर्म,10.1#कर्म,8.1#समुच्चितः,9.1"
13.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,12.1","सुप्_समुच्चय_द्योतकः,12.1#सम्बन्धः,12.1"
14.1,अपि,अपि,अपि{अव्य},अपि{अव्य},"सम्बन्धः,13.1","सुप्_समुच्चय_द्योतकः,13.1#सम्बन्धः,13.1"
15.1,अगस्त्यम्,अगस्त्यं,अगस्त्य{पुं;2;एक},अगस्त्य{पुं;2;एक},"समुच्चितः,17.2","सुप्_समुच्चितः,17.2#सुप्_समुच्चितः,12.1#कर्म,10.1#कर्म,8.1#समुच्चितः,9.1"
16.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,15.1","सुप्_समुच्चितः,13.1#सुप्_समुच्चय_द्योतकः,15.1#सम्बन्धः,15.1"
17.1,अगस्त्य-,अगस्त्य-भ्रातरं,अगस्त्य,अगस्त्य,"षष्ठी-तत्पुरुषः,17.2","षष्ठी-तत्पुरुषः,17.2"
17.2,भ्रातरम्,--,भ्रातृ{पुं;2;एक}/भ्रातृ{स्त्री;2;एक},भ्रातृ{पुं;2;एक},"कर्म,10.1","सुप्_समुच्चितः,15.1#सुप्_समुच्चितः,12.1#कर्म,10.1#कर्म,8.1#विशेषणम्,15.1#विशेषणम्,12.1#विशेषणम्,9.1#विशेषणम्,7.1#विशेषणम्,6.1#समुच्चितः,9.1"
18.1,तथा,तथा,तथा{अव्य},तथा{अव्य},"समुच्चय_द्योतकः,17.2","सुप्_समुच्चय_द्योतकः,17.2#क्रियाविशेषणम्,10.1#क्रियाविशेषणम्,8.1"
19.1,.,.,-,-,-,-
