anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations
1.1,ततः,-,ततः{अव्य},ततः{अव्य},"सम्बन्धः,12.1","सम्बन्धः,12.1"
2.1,तेन,तेन,तद्{सर्वनाम;पुं;3;एक}/तद्{सर्वनाम;नपुं;3;एक}/तन्1{कर्तरि;लिट्;म;बहु;परस्मैपदी;तनादिः},तद्{सर्वनाम;पुं;3;एक},"विशेषणम्,4.1","विशेषणम्,16.1#कर्ता,17.1#करणम्,6.1#हेतुः,17.1#हेतुः,12.1#हेतुः,8.1#हेतुः,6.1#विशेषणम्,4.1"
3.1,एव,एव,एव{अव्य},एव{अव्य},"सम्बन्धः,2.1","सम्बन्धः,2.1"
4.1,शोकेन,शोकेन,शोक{पुं;3;एक},शोक{पुं;3;एक},"हेतुः,6.1","कर्ता,17.1#हेतुः,17.1#हेतुः,12.1#हेतुः,8.1#हेतुः,6.1"
5.1,गृध्रम्,गृध्रं,गृध्र{पुं;2;एक},गृध्र{पुं;2;एक},"विशेषणम्,7.1","विशेषणम्,18.2#विशेषणम्,17.1#विशेषणम्,14.1#विशेषणम्,11.1#विशेषणम्,7.1#कर्म,12.1#कर्म,8.1#कर्म,6.1"
6.1,दग्ध्वा,दग्ध्वा,दह्1{अव्य;क्त्वा;भ्वादिः},दह्1{अव्य;क्त्वा;भ्वादिः},"पूर्वकालः,12.1","पूर्वकालः,17.1#पूर्वकालः,12.1"
7.1,जटायुषम्,जटायुषम्,जटायुस्{पुं;2;एक},जटायुस्{पुं;2;एक},"कर्म,6.1","कर्म,12.1#कर्म,8.1#कर्म,6.1"
8.1,मार्गमाणः,मार्गमाणः,मार्गमाण{पुं;1;एक(मार्ग्1;शानच्_लट्;चुरादिः)},मार्गमाण{पुं;1;एक(मार्ग्1;शानच्_लट्;चुरादिः)},"कर्ता,12.1;कर्ता,6.1","वर्तमानसमानकालः,12.1#कर्ता,12.1"
9.1,वने,वने,वनि{पुं;8;एक}/वन{नपुं;7;एक},वन{नपुं;7;एक},"अधिकरणम्,8.1","अधिकरणम्,17.1#अधिकरणम्,12.1#अधिकरणम्,8.1#अधिकरणम्,6.1#सम्बोध्यः,17.1#सम्बोध्यः,12.1"
10.1,सीताम्,सीतां,सीता{स्त्री;2;एक},सीता{स्त्री;2;एक},"कर्म,8.1","कर्म,12.1#कर्म,8.1#कर्म,6.1"
11.1,राक्षसम्,राक्षसं,राक्षस{पुं;2;एक},राक्षस{पुं;2;एक},"कर्म,12.1","कर्म,12.1#कर्म,8.1#कर्म,6.1"
12.1,संददर्श,संददर्श,सम्_दृश्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः}/सम्_दृश्1{कर्तरि{लिट्;उ;एक;परस्मैपदी;भ्वादिः},सम्_दृश्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः},"अभिहित_कर्ता,8.1;सकर्मक",-
13.1,ह,ह,ह{अव्य},ह{अव्य},"सम्बन्धः,12.1","सम्बन्धः,12.1"
14.1,कबन्धम्,कबन्धं,कबन्ध{पुं;2;एक},कबन्ध{पुं;2;एक},"सञ्ज्ञा,11.1","सञ्ज्ञा,11.1#कर्म,12.1#कर्म,8.1#कर्म,6.1"
15.1,नाम,नाम,नाम{अव्य},नाम{अव्य},"सञ्ज्ञा_द्योतकः,14.1","सञ्ज्ञा_द्योतकः,14.1"
16.1,रूपेण,रूपेण,रूप{नपुं;3;एक},रूप{नपुं;3;एक},"अङ्गविकारः,17.1","करणम्,6.1#हेतुः,12.1#हेतुः,8.1#हेतुः,6.1#अङ्गविकारः,17.1"
17.1,विकृतम्,विकृतं,विकृत{पुं;2;एक(वि_कृ3;क्त;तनादिः)}/विकृत{नपुं;1;एक(वि_कृ3;क्त;तनादिः)}/विकृत{नपुं;2;एक(वि_कृ3;क्त;तनादिः)}/विकृत{पुं;2;एक(वि_कृ2;क्त;स्वादिः)}/विकृत{नपुं;1;एक(वि_कृ2;क्त;स्वादिः)}/विकृत{नपुं;2;एक(वि_कृ2;क्त;स्वादिः)},विकृत{पुं;2;एक(वि_कृ3;क्त;तनादिः)},"विशेषणम्,11.1","विशेषणम्,18.2#कर्म,12.1#कर्म,8.1#कर्म,6.1#विशेषणम्,14.1#विशेषणम्,11.1#विशेषणम्,7.1#विशेषणम्,5.1"
18.1,घोर-,घोर-दर्शनम्,घोर,घोर,"षष्ठी-बहुव्रीहिः,18.2","षष्ठी-बहुव्रीहिः,18.2"
18.2,दर्शनम्,--,दर्शन{पुं;2;एक}/दर्शन{नपुं;1;एक}/दर्शन{नपुं;2;एक},दर्शन{पुं;2;एक},"विशेषणम्,11.1","विशेषणम्,17.1#कर्म,12.1#कर्म,8.1#कर्म,6.1#विशेषणम्,14.1#विशेषणम्,11.1#विशेषणम्,7.1#विशेषणम्,5.1"
19.1,.,.,-,-,-,-
