chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1,039_2_040_1,1,2.1,वा,वा,वा{अव्य},वा{अव्य},"अन्यतर_द्योतकः,6.1","सुप्_अन्यतर_द्योतकः,12.1#सम्बन्धः,7.1#अन्यतर_द्योतकः,6.1",वा
1,039_2_040_1,1,3.1,त्रि-,त्रि-दिवे,त्रि,त्रि,"तत्पुरुषः,3.2","तत्पुरुषः,3.2",त्रि-
1,039_2_040_1,1,3.2,दिवे,--,दिव्{स्त्री;4;एक}/दिव{नपुं;1;द्वि}/दिव{नपुं;2;द्वि}/दिव{नपुं;8;द्वि}/दिवि{पुं;8;एक}/दिव{नपुं;7;एक}/दिव{पुं;7;एक}/दिवि{नपुं;8;एक}/दिवि{नपुं;1;एक}/दिवि{नपुं;2;एक}/दिवा{स्त्री;8;एक}/दिवा{स्त्री;8;द्वि}/दिवा{स्त्री;1;द्वि}/दिवा{स्त्री;2;द्वि},दिव{नपुं;7;एक},"देशाधिकरणम्,6.1","कर्म,12.1#अत्यन्तसंयोग_सम्बन्धः,12.1#अधिकरणम्,12.1#प्रयोजनम्1,12.1#देशाधिकरणम्,6.1",आकाश_में
1,039_2_040_1,1,4.1,सीताम्,सीताम्,सीता{स्त्री;2;एक},सीता{स्त्री;2;एक},"कर्म,6.1","कर्म,12.1#कर्म,6.1",सीता_को
1,039_2_040_1,1,5.1,न,न,न{अव्य},न{अव्य},"प्रतिषेधः,6.1","प्रतिषेधः,12.1#प्रतिषेधः,6.1",नहीं
1,039_2_040_1,1,6.1,द्रक्ष्यामि,द्रक्ष्यामि,दृश्1{कर्तरि;लृट्;उ;एक;परस्मैपदी;भ्वादिः},दृश्1{कर्तरि;लृट्;उ;एक;परस्मैपदी;भ्वादिः},"प्रतियोगी,1.1","प्रतियोगी,1.1",देखूँगा
1,039_2_040_1,1,7.1,कृतश्रमः,कृतश्रमः,कृतश्रम{पुं;1;एक},कृतश्रम{पुं;1;एक},"कर्ता,6.1","कर्ता,6.1",अकृत-
1,039_2_040_1,1,8.1,बद्ध्वा,बद्ध्वा,बन्ध्1{अव्य;क्त्वा;क्रादिः},बन्ध्1{अव्य;क्त्वा;क्रादिः},"पूर्वकालः,10.1","पूर्वकालः,8.1#पूर्वकालः,3.1#पूर्वकालः,10.1",बांध_कर
1,039_2_040_1,1,9.1,राक्षस-,राक्षस-राजानम्,राक्षस,राक्षस,"षष्ठी_तत्पुरुषः,9.2","षष्ठी_तत्पुरुषः,9.2",राक्षस-
1,039_2_040_1,1,9.2,राजानम्,--,राजन्{पुं;2;एक},राजन्{पुं;2;एक},"विशेषणम्,11.1","विशेषणम्,4.1#प्रयोज्यकर्ता,3.1#कर्म,8.1#कर्म,6.1#विशेषणम्,11.1",राजा
1,039_2_040_1,1,10.1,आनयिष्यामि,आनयिष्यामि,अन्1{णिजन्त;कर्तरि;लृट्;उ;एक;परस्मैपदी;अदादिः},अन्1{णिजन्त;कर्तरि;लृट्;उ;एक;परस्मैपदी;अदादिः},"अनुयोगी,1.1","अनुयोगी,1.1",जिलाऊँगा
1,039_2_040_1,1,11.1,रावणम्,रावणम्,रावण{पुं;2;एक},रावण{पुं;2;एक},"कर्म,8.1","कर्म,8.1#कर्म,6.1",रावण
