chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1,103_104.1,1,1.1,तम्,तम्,तद्{सर्वनाम;पुं;2;एक},तद्{सर्वनाम;पुं;2;एक},"विशेषणम्,11.1","विशेषणम्,12.1#विशेषणम्,11.1#विशेषणम्,8.1#विशेषणम्,3.1#विशेषणम्,2.2",उसको
1,103_104.1,1,2.1,आकाश-,आकाश-गतम्,आकाश-,आकाश-,"द्वितीया_तत्पुरुषः,2.2","द्वितीया_तत्पुरुषः,2.2",आकाश-
1,103_104.1,1,2.2,गतम्,--,गत{नपुं;2;एक(ध्_गम्1{क्त;भ्वादिः)}/गत{नपुं;1;एक(गम्1;क्त;भ्वादिः)}/गत{पुं;2;एक(ध्_गम्1;क्त;भ्वादिः)},गत{नपुं;2;एक(गम्1{क्त;भ्वादिः)},"विशेषणम्,11.1","विशेषणम्,12.1#विशेषणम्,11.1#विशेषणम्,8.1#विशेषणम्,3.1#मुख्यकर्म,9.1#गौणकर्म,9.1#विशेषणम्,14.1#कर्ता,9.1",गया_हुआ
1,103_104.1,1,3.1,वीरम्,वीरम्,वीर{पुं;2;एक},वीर{पुं;2;एक},"विशेषणम्,11.1","विशेषणम्,12.1#विशेषणम्,11.1#विशेषणम्,8.1#मुख्यकर्म,9.1#गौणकर्म,9.1",वीर_को
1,103_104.1,1,4.1,आकाशे,आकाशे,आकाश{पुं;7;एक}/आकाश{नपुं;2;द्वि}/आकाश{नपुं;1;द्वि}/आकाश{नपुं;7;एक}/आकाश{नपुं;8;द्वि}/आङ्_काश्1{कर्तरि{लङ्;उ;एक;आत्मनेपदी;भ्वादिः}/आङ्_काश्1{कर्तरि{लट्;उ;एक;आत्मनेपदी;भ्वादिः},आकाश{पुं;7;एक},"देशाधिकरणम्,5.1","अधिकरणम्,17.1#अधिकरणम्,13.1#अधिकरणम्,9.1#देशाधिकरणम्,5.1#मुख्यकर्म,9.1",आकाश_में
1,103_104.1,1,5.1,समुपस्थितः,समुपस्थितः,सम्_उप_ष्था1{क्त;भ्वादिःसम्_उप_स्थित;पुं;1;एक},सम्_उप_ष्था1{क्त;भ्वादिःसम्_उप_स्थित;पुं;1;एक},"विशेषणम्,10.1","विशेषणम्,17.1#विशेषणम्,13.1#विशेषणम्,10.1#विशेषणम्,7.2#विशेषणम्,6.1#कर्ता,9.1",सम्_उप_ष्था1या_हुआ
1,103_104.1,1,6.1,प्रीतः,प्रीतः,प्रीत{पुं;1;एक},प्रीत{पुं;1;एक},"विशेषणम्,10.1","विशेषणम्,17.1#विशेषणम्,13.1#विशेषणम्,10.1#विशेषणम्,7.2#कर्ता,9.1",प्रसन्न
1,103_104.1,1,7.1,हृष्ट-,हृष्ट-मनाः,हृष्ट-,हृष्ट-,"बहुव्रीहिः,7.2","बहुव्रीहिः,7.2",हृष्ट-
1,103_104.1,1,7.2,मनाः,--,मना{पुं;1;बहु}/मना{स्त्री;2;बहु}/मना{स्त्री;1;बहु}/मनस्{पुं;1;एक}/मनस्{स्त्री;1;एक},मना{पुं;1;बहु},"विशेषणम्,10.1","कर्ता,9.1#विशेषणम्,17.1#विशेषणम्,13.1#विशेषणम्,10.1#मुख्यकर्म,9.1#कर्म,13.1#गौणकर्म,9.1",मने
1,103_104.1,1,8.1,वाक्यम्,--,वाक्य{नपुं;2;एक}/वाक्य{नपुं;1;एक}/वाक्य{पुं;2;एक},वाक्य{नपुं;2;एक},"कर्म,9.1","मुख्यकर्म,9.1#कर्म,9.1#गौणकर्म,9.1#कर्ता,9.1",वाक्य_को
