chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1,105.2_106,1,1.1,राघवस्य,राघवस्य,राघव{पुं;6;एक},राघव{पुं;6;एक},"षष्ठी_सम्बन्धः,2.1","षष्ठी_सम्बन्धः,2.1",रघुवंशी_का
1,105.2_106,1,2.1,कुले,कुले,कुल{नपुं;2;द्वि}/कुल{नपुं;1;द्वि}/कुल{नपुं;7;एक}/कुल{नपुं;8;द्वि},कुल{नपुं;7;एक},"देशाधिकरणम्,3.1","देशाधिकरणम्,3.1",कुल_को
1,105.2_106,1,3.1,जातैः,जातैः,जात{नपुं;3;बहु(ध्_जन्2{क्त;दिवादिः)}/जात{पुं;3;बहु(जन्2;क्त;दिवादिः)},जात{नपुं;3;बहु(जन्2{क्त;दिवादिः)},"कर्ता,5.1","कर्ता,5.1",हुओं_से
1,105.2_106,1,4.1,उदधिः,उदधिः,उदधि{पुं;1;एक},उदधि{पुं;1;एक},"कर्म,5.1","कर्म,5.1",समुद्र
1,105.2_106,1,5.1,परिवर्धितः,परिवर्धितः,परिवर्धित{पुं;1;एक(वृध्1{णिजन्त;क्त;भ्वादिः)},परिवर्धित{पुं;1;एक(वृध्1{णिजन्त;क्त;भ्वादिः)},-,-,विकसित
1,105.2_106,1,6.1,सः,स,तद्{सर्वनाम;पुं;1;एक},तद्{सर्वनाम;पुं;1;एक},"विशेषणम्,4.1","विशेषणम्,4.1",वह
1,105.2_106,1,7.1,त्वाम्,त्वाम्,युष्मद्{सर्वनाम;2;एक},युष्मद्{सर्वनाम;2;एक},"कर्म,10.1","कर्म,10.1",तुम्हें
1,105.2_106,1,8.1,राम-,राम-हिते,-,-,"षष्ठी_तत्पुरुषः,8.2","षष्ठी_तत्पुरुषः,8.2",दें
1,105.2_106,1,8.2,हिते,हिते,हित{नपु;7;एक},हित{नपु;7;एक},"अधिकरणम्,9.1","अधिकरणम्,9.1",हि
1,105.2_106,1,9.1,युक्तम्,युक्तम्,युक्त{नपुं;2;एक(ध्_युज्2{क्त;रुधादिः)}/युक्त{नपुं;2;एक(युज्1;क्त;दिवादिः)}/युक्त{नपुं;1;एक(ध्_युज्2;क्त;रुधादिः)}/युक्त{नपुं;1;एक(ध्_युज्1;क्त;दिवादिः)}/युक्त{पुं;2;एक(ध्_युज्2;क्त;रुधादिः)}/युक्त{पुं;2;एक(ध्_युज्1;क्त;दिवादिः)},युक्त{नपुं;2;एक(युज्2{क्त;रुधादिः)},"विशेषणम्,7.1","विशेषणम्,7.1",जोडी_को
1,105.2_106,1,10.1,प्रत्यर्चयति,प्रत्यर्चयति,ऋच्1{णिजन्त;कर्तरि;लट्;प्र;एक;परस्मैपदी;तुदादिः}/अर्चयत्{नपुं;7;एक(ध्_ऋच्1;णिजन्त;शतृ_लट्;तुदादिः)}/अर्चयत्{पुं;7;एक(ध्_ऋच्1;णिजन्त;शतृ_लट्;तुदादिः)},ऋच्1{णिजन्त;कर्तरि;लट्;प्र;एक;परस्मैपदी;तुदादिः},-,-,-
1,105.2_106,1,11.1,सागरः,सागरः,सागर{पुं;1;एक},सागर{पुं;1;एक},"कर्ता,10.1","कर्ता,10.1",समुद्र
1,105.2_106,1,12.1,कृते,कृते,कृत{स्त्री;2;द्वि(ध्_कृ3{क्त;तनादिः)}/कृत{स्त्री;1;द्वि(कृ3;क्त;तनादिः)}/कृत{नपुं;2;द्वि(ध्_कृ3;क्त;तनादिः)}/कृत{नपुं;1;द्वि(ध्_कृ3;क्त;तनादिः)}/कृत{नपुं;7;एक(ध्_कृ3;क्त;तनादिः)}/कृत{पुं;7;एक(ध्_कृ3;क्त;तनादिः)}/कृति{स्त्री;8;एक}/कृत{स्त्री;8;द्वि(ध्_कृ3;क्त;तनादिः)}/कृत{स्त्री;8;एक(ध्_कृ3;क्त;तनादिः)}/कृत{नपुं;8;द्वि(ध्_कृ3;क्त;तनादिः)},कृत{पुं;7;द्वि(ध्_कृ3;क्त;तनादिः)},"भावलक्षणसप्तमी,14.1","भावलक्षणसप्तमी,14.1",निर्मितों_को
1,105.2_106,1,13.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,14.1","सम्बन्धः,14.1",और
1,105.2_106,1,14.1,प्रतिकर्तव्यम्,प्रतिकर्तव्यम्,प्रति_कृ3{तव्यत्;तनादिःप्रति_कर्तव्य;नपुं;2;एक}/प्रति_कृ3{तव्यत्{तनादिःप्रति_कर्तव्य;नपुं;1;एक}/प्रति_कृ3{तव्यत्{तनादिःप्रति_कर्तव्य;पुं;2;एक},प्रति_कृ3{तव्यत्;तनादिःप्रति_कर्तव्य;नपुं;2;एक},"कर्तृसमानाधिकरणम्,18.1","कर्तृसमानाधिकरणम्,18.1",बदला_लेना_चाहिये
1,105.2_106,1,15.1,एषः,एष,एतद्{सर्वनाम;पुं;1;एक}/}/}/एष{पुं;8;एक}/एष{नपुं;8;एक,एतद्{सर्वनाम;पुं;1;एक},"विशेषणम्,16.1","विशेषणम्,16.1",यह
1,105.2_106,1,16.1,धर्मः,धर्मः,धर्म{पुं;1;एक},धर्म{पुं;1;एक},"कर्ता,18.1","कर्ता,18.1",धर्म
1,105.2_106,1,17.1,सनातनः,सनातनः,सनातन{पुं;1;एक},सनातन{पुं;1;एक},"विशेषणम्,16.1","विशेषणम्,16.1",नित्य
1,105.2_106,1,18.1,(भवति),भवति,(भू1;कर्तरि;लट्;प्र;एक),(भू1;कर्तरि;लट्;प्र;एक),अभिहित_कर्ता,-,-
