chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1,110.2,1,1.1,अस्माकम्,अस्माकम्,अस्मद्{सर्वनाम;6;बहु},अस्मद्{सर्वनाम;6;बहु},"षष्ठीसम्बन्धः,3.1","षष्ठीसम्बन्धः,11.3#षष्ठीसम्बन्धः,10.1#षष्ठीसम्बन्धः,9.1#षष्ठीसम्बन्धः,3.1#भ्कर्ता,8.1",हमारा
1,110.2,1,2.1,अपि,अपि,अपि{अव्य},अपि{अव्य},"सम्बन्धः,1.1","सम्बन्धः,1.1",भी
1,110.2,1,3.1,सम्बन्धः,सम्बन्धः,सम्बन्ध{पुं;1;एक},सम्बन्ध{पुं;1;एक},"कर्ता,6.1","कर्ता_बे_वेर्ब्स्,6.1#कर्ता,6.1",संबंध
1,110.2,1,4.1,कपि-,कपि-,कपि-,कपि-,"सप्तमी_तत्पुरुषः,4.2","सप्तमी_तत्पुरुषः,4.2",कपि-
1,110.2,1,4.2,मुख्य,मुख्य,मुख्य{पुं;8;एक}/मुख्य{नपुं;8;एक},मुख्य{पुं;8;एक},"सम्बोध्यः,6.1","सम्बोध्यः,6.1",मुख्य
1,110.2,1,5.1,त्वया,त्वया,युष्मद्{सर्वनाम;3;एक},युष्मद्{सर्वनाम;3;एक},"सहार्थः,3.1","कर्ता,8.1#हेतुः,8.1#हेतुः,6.1#सहार्थः,3.1",तुमसे
1,110.2,1,6.1,अस्ति,अस्ति,अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},"अभिहित_कर्ता,3.1",-,है
1,110.2,1,7.1,वै,वै,वै{अव्य},वै{अव्य},"सम्बन्धः,6.1","सम्बन्धः,6.1",सुखना
1,110.2,1,8.1,प्रख्यातः,प्रख्यातः,प्र_ख्या1{कर्तरि;लट्;प्र;द्वि;परस्मैपदी;अदादिः}/प्र_ख्या1{क्त{अदादिःप्र_ख्यात;पुं;1;एक}/प्र_ख्या1{शतृ_लट्{अदादिःप्र_ख्यात्;नपुं;6;एक}/प्र_ख्या1{शतृ_लट्{अदादिःप्र_ख्यात्;नपुं;5;एक}/प्र_ख्या1{शतृ_लट्{अदादिःप्र_ख्यात्;पुं;2;बहु}/प्र_ख्या1{शतृ_लट्{अदादिःप्र_ख्यात्;पुं;6;एक}/प्र_ख्या1{शतृ_लट्{अदादिःप्र_ख्यात्;पुं;5;एक},प्र_ख्या1{शतृ_लट्;अदादिःप्र_ख्यात्;नपुं;6;एक},"विशेषणम्,3.1","षष्ठीसम्बन्धः,11.3#षष्ठीसम्बन्धः,10.1#षष्ठीसम्बन्धः,9.1#षष्ठीसम्बन्धः,3.1#भावलक्षणसप्तमी_समानकालः,6.1#विशेषणम्,3.1",सुपरिचित_होता_हुआ
1,110.2,1,9.1,त्रिषु,त्रिषु,त्रि{संख्येयम्;नपुं;7;बहु}/त्रि{संख्येयम्;पुं;7;बहु},त्रि{संख्येयम्;पुं;7;बहु},"विशेषणम्,10.1","विशेषणम्,10.1",तीन
1,110.2,1,10.1,लोकेषु,लोकेषु,लोक{पुं;7;बहु},लोक{पुं;7;बहु},"देशाधिकरणम्,8.1","देशाधिकरणम्,8.1",लोक_में
1,110.2,1,11.1,महा-,महा-गुण-परिग्रहः,महा-,महा-,"कर्मधारयः,11.2","कर्मधारयः,11.2",महा-
1,110.2,1,11.2,गुण-,--,-गुण-,-गुण-,"बहुव्रीहिः,11.3","बहुव्रीहिः,11.3",गुण-
1,110.2,1,11.3,परिग्रहः,--,परिग्रह{पुं;1;एक},परिग्रह{पुं;1;एक},"विशेषणम्,3.1","विशेषणम्,3.1",परिग्रह
