chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1,152.2_153.1,1,1.1,एवम्,एवम्,एवम्{अव्य},एवम्{अव्य},"सम्बन्धः,2.1","वाक्यकर्म_द्योतकः,4.1#क्रियाविशेषणम्,9.1#सम्बन्धः,2.1",ऐसा
1,152.2_153.1,1,2.1,उक्तः,उक्तः,उक्त{पुं;1;एक(वच्1{क्त;अदादिः)},उक्त{पुं;1;एक(वच्1{क्त;अदादिः)},"विशेषणम्,12.1","विशेषणम्,12.1",कहा_हुवा
1,152.2_153.1,1,3.1,सुरसया,सुरसया,सुरस{स्त्री;3;एक},सुरस{स्त्री;3;एक},"कर्ता,2.1","कर्ता,2.1",ललित_से
1,152.2_153.1,1,4.1,क्रुद्धः,क्रुद्धः,क्रुद्ध{पुं;1;एक},क्रुद्ध{पुं;1;एक},"विशेषणम्,5.2","कर्मसमानाधिकरणम्,5.1#कर्मसमानाधिकरणम्,4.1#कर्मसमानाधिकरणम्,3.1#कर्मसमानाधिकरणम्,2.1#विशेषणम्,5.2",क्रोधित
1,152.2_153.1,1,5.1,वानर-,वानर-,वानर-,वानर-,"सप्तमी_तत्पुरुषः,5.2","सप्तमी_तत्पुरुषः,5.2",वानर-
1,152.2_153.1,1,5.2,पुङ्गवः,पुङ्गवः,पुङ्गव{पुं;1;एक},पुङ्गव{पुं;1;एक},"कर्ता,6.1","कर्मसमानाधिकरणम्,11.1#कर्मसमानाधिकरणम्,5.1#कर्मसमानाधिकरणम्,4.1#कर्मसमानाधिकरणम्,3.1#कर्मसमानाधिकरणम्,2.1#कर्ता,13.1",श्रेष्ठ
1,152.2_153.1,1,6.1,अब्रवीत्,अब्रवीत्,ब्रू1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;अदादिः},ब्रू1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;अदादिः},अभिहित_कर्ता,"वाक्यकर्म,9.1",कहा
1,152.2_153.1,1,7.1,कुरु,कुरु,कृ3{कर्तरि;लोट्;म;एक;परस्मैपदी;तनादिः}/कुरु{स्त्री;8;एक},कृ3{कर्तरि;लोट्;म;एक;परस्मैपदी;तनादिः},अभिहित_कर्ता,"वाक्यकर्म,9.1",करो
1,152.2_153.1,1,8.1,वै,वै,वै{अव्य},वै{अव्य},"सम्बन्धः,12.1","सम्बन्धः,27.1",सुखना
1,152.2_153.1,1,9.1,वक्त्रम्,वक्त्रम्,वक्त्र{नपुं;2;एक}/वक्त्र{नपुं;1;एक},वक्त्र{नपुं;2;एक},"कर्म,7.1","कर्म,7.1",मुख_को
1,152.2_153.1,1,10.1,येन,येन,यद्{सर्वनाम;नपुं;3;एक}/यद्{सर्वनाम;पुं;3;एक},यद्{सर्वनाम;नपुं;3;एक},"करणम्,12.1","करणम्,12.1",जिससे
1,152.2_153.1,1,11.1,माम्,माम्,अस्मद्{सर्वनाम;2;एक},अस्मद्{सर्वनाम;2;एक},"कर्म,12.1","कर्म,12.1",मुझे
1,152.2_153.1,1,12.1,विषहिष्यसि,विषहिष्यसि,वि_सह्4{कर्तरि;लृट्;म;एक;परस्मैपदी;दिवादिः},वि_सह्4{कर्तरि;लृट्;म;एक;परस्मैपदी;दिवादिः},"वाक्यकर्म,6.1","वाक्यकर्म,13.1",-
