chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
1,155_156,1,1.1,तद्,तद्,तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक},तद्{सर्वनाम;नपुं;2;एक},"विशेषणम्,5.1","विशेषणम्,15.1#विशेषणम्,12.2#विशेषणम्,9.2#विशेषणम्,5.1#कर्म,5.1#कर्म,2.1",वह
1,155_156,1,2.1,दृष्ट्वा,दृष्ट्वा,दृश्1{अव्य;क्त्वा;भ्वादिः},दृश्1{अव्य;क्त्वा;भ्वादिः},"पूर्वकालः,22.1","पूर्वकालः,22.1",देख_कर
1,155_156,1,3.1,व्यादितं,व्यादितं,वि_आङ्_दा1{नपुं;1;एक},वि_आङ्_दा1{नपुं;2;एक},"विशेषणम्,5.1","विशेषणम्,5.1",-
1,155_156,1,4.1,तु,तु,तु{अव्य},तु{अव्य},"सम्बन्धः,2.1","सम्बन्धः,2.1",तो
1,155_156,1,5.1,आस्यं,आस्यं,आस्य{नपुं;1;एक}/आस्य{नपुं;2;एक}/अस्3{कर्तरि;लङ्;उ;एक;परस्मैपदी;दिवादिः}/आस्य{पुं;2;एक(अस्1;ण्यत्;भ्वादिः)}/आस्य{नपुं;1;एक(अस्1;ण्यत्;भ्वादिः)}/आस्य{नपुं;2;एक(अस्1;ण्यत्;भ्वादिः)}/आस्य{पुं;2;एक(अस्3;ण्यत्;दिवादिः)}/आस्य{नपुं;1;एक(अस्3;ण्यत्;दिवादिः)}/आस्य{नपुं;2;एक(अस्3;ण्यत्;दिवादिः)}/आस्य{पुं;2;एक(आस्1;ण्यत्;अदादिः)}/आस्य{नपुं;1;एक(आस्1;ण्यत्;अदादिः)}/आस्य{नपुं;2;एक(आस्1;ण्यत्;अदादिः)},आस्य{नपुं;2;एक},"कर्म,2.1","कर्म,2.1",मुँह
1,155_156,1,6.1,वायु-,वायु-पुत्रः,वायु,वायु,"षष्ठी_तत्पुरुषः,6.2","षष्ठी_तत्पुरुषः,6.2",वायु-
1,155_156,1,6.2,पुत्रः,--,पुत्र{पुं;1;एक},पुत्र{पुं;1;एक},"विशेषणम्,21.1","विधेय_विशेषणम्,5.1#विशेषणम्,21.1#अभेदः,21.1",पुत्र
1,155_156,1,7.1,सः,स,तद्{सर्वनाम;पु;1;एक},तद्{सर्वनाम;पु;1;एक},"विशेषणम्,21.1","विशेषणम्,21.1#उपमानम्,15.1#कर्ता_बे_वेर्ब्स्,22.1",-
1,155_156,1,8.1,बुद्धिमान्,बुद्धिमान्,बुद्धि{मतुप्;पुं;1;एक},बुद्धि{मतुप्;पुं;1;एक},"विशेषणम्,21.1","विधेय_विशेषणम्,6.2#विधेय_विशेषणम्,5.1#विधेय_विशेषणम्,1.1#विशेषणम्,21.1#विशेषणम्,18.1",बुद्धि
1,155_156,1,9.1,दीर्घ-,दीर्घ-जिह्वं,दीर्घ,दीर्घ,"बहुव्रीहिः,9.2","बहुव्रीहिः,9.2",दीर्घ-
1,155_156,1,9.2,जिह्वं,--,जिह्व{पुं;2;एक}/जिह्व{नपुं;1;एक}/जिह्व{नपुं;2;एक},जिह्व{नपुं;2;एक},"विशेषणम्,5.1","विशेषणम्,15.1#विशेषणम्,12.2#विधेय_विशेषणम्,8.1#विधेय_विशेषणम्,6.2#विशेषणम्,5.1",जीभ_को
1,155_156,1,10.1,सुरसया,सुरसया,सुरसा{स्त्री;3;एक},सुरसा{स्त्री;3;एक},"कर्ता,3.1","कर्ता,3.1",सुरसा_से
1,155_156,1,11.1,सुभीमं,सुभीमं,सुभीम{नपुं;1;एक},सुभीम{नपुं;2;एक},"विशेषणम्,5.1","विशेषणम्,5.1",-
1,155_156,1,12.1,नरक-,नरक-उपमम्,नरक,नरक,"कर्मधारयः,12.2","कर्मधारयः,12.2",नरक-
1,155_156,1,12.2,उपमम्,--,उपम{पुं;2;एक}/उपम{नपुं;1;एक}/उपम{नपुं;2;एक},उपम{नपुं;2;एक},"विशेषणम्,5.1","विशेषणम्,5.1#विधेय_विशेषणम्,9.2#विधेय_विशेषणम्,8.1#विधेय_विशेषणम्,6.2#विधेय_विशेषणम्,5.1",उपम_को
1,155_156,1,13.1,सः,स,तद्{सर्वनाम;पु;1;एक},तद्{सर्वनाम;पु;1;एक},"विशेषणम्,21.1","विशेषणम्,21.1",-
1,155_156,1,14.1,संक्षिप्य,संक्षिप्य,संक्षिप्य{ल्यप्;अव्य},संक्षिप्य{ल्यप्;अव्य},"पूर्वकालः,22.1","पूर्वकालः,22.1",-
1,155_156,1,15.1,कायं,कायं,काय{पुं;2;एक}/काय{नपुं;1;एक}/काय{नपुं;2;एक},काय{पुं;2;एक},"कर्म,14.1","कर्म,14.1",शरीर_को
1,155_156,1,16.1,जीमूतः,जीमूतः,जीमूत{पुं;1;एक},जीमूत{पुं;1;एक},"उपमानम्,21.1","उपमानम्,21.1",जीमूत
1,155_156,1,17.1,इव,इव,इव{अव्य},इव{अव्य},"उपमान_द्योतकः,16.1","उपमानम्_रहित_उपमान_द्योतकः,18.1#उपमान_द्योतकः,16.1",जैसे
1,155_156,1,18.1,मारुतिः,मारुतिः,मारुति{पुं;1;एक},मारुति{पुं;1;एक},"विशेषणम्,21.1","विशेषणम्,21.1#उपमानम्,15.1#कर्ता_बे_वेर्ब्स्,22.1",हनुमान
1,155_156,1,19.1,तस्मिन्,तस्मिन्,तद्{सर्वनाम;पुं;7;एक}/तद्{सर्वनाम;नपुं;7;एक},तद्{सर्वनाम;पुं;7;एक},"विशेषणम्,20.1","अधिकरणम्,22.1#विशेषणम्,20.1",उसमें
1,155_156,1,20.1,मुहूर्ते,मुहूर्ते,मुहूर्त{पुं;7;एक},मुहूर्त{पुं;7;एक},"कालाधिकरणम्,22.1","कालाधिकरणम्,22.1",मुहूर्त_में
1,155_156,1,21.1,हनुमान्,हनुमान्,हनुमत्{पुं;1;एक}/हनु{मतुप्;पुं;1;एक},हनुमत्{पुं;1;एक},"कर्ता,22.1;कर्ता,2.1","कर्ता,22.1;कर्ता,2.1",हनुमान्
