chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
2,38,1,1.1,अर्थ-,अर्थ-अनर्थ-अन्तरे,अर्थ,अर्थ,"द्वन्द्वः,1.2","द्वन्द्वः,1.2",अर्थ-
2,38,1,1.2,अनर्थ-,--,अनर्थ,अनर्थ,"षष्ठी_तत्पुरुषः,1.3","षष्ठी_तत्पुरुषः,1.3",अनर्थ-
2,38,1,1.3,अन्तरे,--,अन्तर{पु;7;एक},अन्तर{पु;7;एक},"विषयाधिकरणम्,2.1","विषयाधिकरणम्,2.1",अन्तरे
2,38,1,2.1,बुद्धिः,बुद्धिः,बुद्धि{स्त्री;1;एक},बुद्धि{स्त्री;1;एक},"कर्ता,6.1","सुप्_समुच्चितः,3.1#कर्ता,6.1",बुद्धि
2,38,1,3.1,निश्चिता,निश्चिता,निश्चिता{स्त्री;1;एक(निस्_चि1;क्त;स्वादिः)},निश्चिता{स्त्री;1;एक(निस्_चि1;क्त;स्वादिः)},"विशेषणम्,2.1","कर्ता,6.1#विशेषणम्,2.1",निश्चित
2,38,1,4.1,अपि,अपि,अपि{अव्य},अपि{अव्य},"सम्बन्धः,2.1","सुप्_समुच्चय_द्योतकः,3.1#सम्बन्धः,2.1",भी
2,38,1,5.1,न,न,न{अव्य},न{अव्य},"प्रतिषेधः,6.1","प्रतिषेधः,7.1#प्रतिषेधः,6.1",-
2,38,1,6.1,शोभते,शोभते,शुभ्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;भ्वादिः}/शोभत्{पुं;4;एक(शुभ्1;शतृ_लट्;भ्वादिः)}/शोभत्{नपुं;4;एक(शुभ्1;शतृ_लट्;भ्वादिः)},शुभ्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;भ्वादिः},अभिहित_कर्ता,"प्रयोजनम्1,7.1",भाषण_नहीं_करता_हुआ
2,38,1,7.1,घातयन्ति,घातयन्ति,हन्1{णिच्;कर्तरि;लट्;प्र;बहु;परस्मैपदी;अदादिः},हन्1{णिच्;कर्तरि;लट्;प्र;बहु;परस्मैपदी;अदादिः},अभिहित_कर्ता,-,-
2,38,1,8.1,इह,इह,इह{अव्य},इह{अव्य},"सम्बन्धः,7.1","सम्बन्धः,7.1",यहाँ
2,38,1,9.1,कार्याणि,कार्याणि,कार्य{नपुं;2;बहु},कार्य{नपुं;2;बहु},"कर्म,7.1","कर्म,7.1",कार्य
2,38,1,10.1,दूताः,दूताः,दूत{पुं;1;बहु}/दूत{पुं;8;बहु},दूत{पुं;1;बहु},"कर्ता,7.1","कर्ता,7.1",दूत
2,38,1,11.1,पण्डितमानिनः,पण्डितमानिनः,पण्डितमानिन्{पुं;1;बहु}/पण्डितमानिन्{पुं;2;बहु}/पण्डितमानिन्{पुं;5;एक}/मानिन्{पुं;6;एक}/मानिन्{पुं;8;बहु}/मानिन{पुं;1;एक},पण्डितमानिन्{पुं;1;बहु},"विशेषणम्,10.1","सुप्_समुच्चितः,3.1#कर्मसमानाधिकरणम्,2.1#षष्ठीसम्बन्धः,10.1#षष्ठीसम्बन्धः,2.1#कर्मसमानाधिकरणम्,10.1#विशेषणम्,10.1",अभिमानी
