chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
3,002.2-003-004-005-006-007,1,1.1,रम्य-,रम्य-कानन-तोय-आढ्याम्,रम्य,रम्य,"कर्मधारयः,1.2","कर्मधारयः,1.2",रम्यक-
3,002.2-003-004-005-006-007,1,1.2,कानन-,-,कानन,कानन,"द्वन्द्वः,1.3","द्वन्द्वः,1.3",आनन-
3,002.2-003-004-005-006-007,1,1.3,तोय-,-,तोय,तोय,"तृतीया_तत्पुरुषः,1.4","तृतीया_तत्पुरुषः,1.4",तोय-
3,002.2-003-004-005-006-007,1,1.4,आढ्याम्,-,आढ्या{स्त्री;2;एक},आढ्या{स्त्री;2;एक},"विशेषणम्,2.1","विशेषणम्,34.1#विशेषणम्,28.1#विशेषणम्,24.3#विशेषणम्,21.4#विशेषणम्,20.1#विशेषणम्,2.1#विशेषणम्,15.2#विशेषणम्,14.3#विशेषणम्,8.3#विशेषणम्,7.3#कर्म,35.1",-
3,002.2-003-004-005-006-007,1,2.1,पुरीम्,पुरीम्,पुरी{स्त्री;2;एक},पुरी{स्त्री;2;एक},"कर्म,34.1","कर्म,34.1",पुरी_को
3,002.2-003-004-005-006-007,1,3.1,रावण-,रावण-पालिताम्,रावण,रावण,"षष्ठी_तत्पुरुषः,3.2","षष्ठी_तत्पुरुषः,3.2",रावण-
3,002.2-003-004-005-006-007,1,3.2,पालिताम्,--,पालि{तल्;स्त्री;2;एक}/पालिता{स्त्री;2;एक(पाल्1;क्त;चुरादिः)},पालि{तल्;स्त्री;2;एक},"विशेषणम्,2.1","कर्म,35.1#विशेषणम्,2.1",पालि_को
3,002.2-003-004-005-006-007,1,4.1,शारद-,शारद-अम्बुधर-प्रख्यैः,शारद,शारद,"कर्मधारयः,4.3","कर्मधारयः,4.3",शारद-
3,002.2-003-004-005-006-007,1,4.2,अम्बुधर-,--,अम्बुधर,अम्बुधर,"कर्मधारयः,4.3","कर्मधारयः,4.3",अम्बुधर-
3,002.2-003-004-005-006-007,1,4.3,प्रख्यैः,--,प्रख्य{पुं;3;बहु}/प्रख्य{नपुं;3;बहु},प्रख्य{पुं;3;बहु},"विशेषणम्,5.1","विशेषणम्,5.1#प्रयोजककर्तृरहितप्रयोज्यकर्ता,35.1#कर्ता,8.3#करणम्,8.3#करणम्,5.1#हेतुः,35.1#हेतुः,15.2#हेतुः,8.3#हेतुः,5.1",प्रख्यों_से
3,002.2-003-004-005-006-007,1,5.1,भवनैः,भवनैः,भवन{नपुं;3;बहु(अस्2;ल्युट्;अदादिः)}/भवन{नपुं;3;बहु(भू1;ल्युट्;भ्वादिः)},भवन{नपुं;3;बहु(अस्2;ल्युट्;अदादिः)},"करणम्,6.1","प्रयोजककर्तृरहितप्रयोज्यकर्ता,35.1#कर्ता,8.3#करणम्,6.1#हेतुः,35.1#हेतुः,15.2#हेतुः,8.3",भवनों_से
3,002.2-003-004-005-006-007,1,6.1,उपशोभिताम्,उपशोभिताम्,उपशोभिता{स्त्री;2;एक},उपशोभिता{स्त्री;2;एक},"विशेषणम्,2.1","विशेषणम्,2.1",-
3,002.2-003-004-005-006-007,1,7.1,सागर-,सागर-उपम-निर्घोषाम्,सागर,सागर,"कर्मधारयः,7.2","कर्मधारयः,7.2",सागर-
3,002.2-003-004-005-006-007,1,7.2,उपम-,--,उपम,उपम,"बहुव्रीहिः,7.3","बहुव्रीहिः,7.3",उपम-
3,002.2-003-004-005-006-007,1,7.3,निर्घोषाम्,--,निर्घोषा{स्त्री;2;एक},निर्घोषा{स्त्री;2;एक},"विशेषणम्,2.1","विशेषणम्,34.1#विशेषणम्,28.1#विशेषणम्,24.3#विशेषणम्,21.4#विशेषणम्,2.1#विशेषणम्,17.1#विशेषणम्,15.2#विशेषणम्,14.3#विशेषणम्,8.3#कर्म,35.1",निर्घोषे_को
3,002.2-003-004-005-006-007,1,8.1,सागर-,सागर-अनिल-सेविताम्,सागर,सागर,"द्वन्द्वः,8.2","द्वन्द्वः,8.2",सागर-
3,002.2-003-004-005-006-007,1,8.2,अनिल-,--,अनिल,अनिल,"तृतीया_तत्पुरुषः,8.3","तृतीया_तत्पुरुषः,8.3",अनिल-
3,002.2-003-004-005-006-007,1,8.3,सेविताम्,--,सेवि{तल्;स्त्री;2;एक}/सेविन्{तल्;स्त्री;2;एक}/सेविता{स्त्री;2;एक(सेव्1;क्त;भ्वादिः)},सेवि{तल्;स्त्री;2;एक},"विशेषणम्,2.1","कर्म,35.1#उपमानम्,7.3#विशेषणम्,2.1",सेवि_को
3,002.2-003-004-005-006-007,1,9.1,सुपुष्ट-,सुपुष्ट-बल-सम्पुष्टाम्,सुपुष्ट,सुपुष्ट,"कर्मधारयः,9.2","कर्मधारयः,9.2",सुपुष्ट-
3,002.2-003-004-005-006-007,1,9.2,बल-,--,बल,बल,"तृतीया_तत्पुरुषः,9.3","तृतीया_तत्पुरुषः,9.3",बल-
