chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
3,008-009-010-011-012,1,1.1,विस्मय-,विस्मय-आविष्ट-हृदयः,विस्मय,विस्मय,"तृतीया_तत्पुरुषः,1.2","तृतीया_तत्पुरुषः,1.2",विस्मय-
3,008-009-010-011-012,1,1.2,आविष्ट-,--,आविष्ट(आङ्_विश्1;क्त;तुदादिः),आविष्ट(आङ्_विश्1;क्त;तुदादिः),"बहुव्रीहिः,1.3","बहुव्रीहिः,1.3",-
3,008-009-010-011-012,1,1.3,हृदयः,--,हृदय{पुं;1;एक},हृदय{पुं;1;एक},"विशेषणम्,33.1","विशेषणम्,34.1#विशेषणम्,33.1",हृदय
3,008-009-010-011-012,1,2.1,पुरीम्,पुरीम्,पुरी{स्त्री;2;एक},पुरी{स्त्री;2;एक},"कर्म,3.1","उप_अपेक्षा,4.1#कर्म,3.1",पुरी_को
3,008-009-010-011-012,1,3.1,आलोक्य,आलोक्य,आङ्_लोक्1{अव्य;ल्यप्;भ्वादिः}/आङ्_लोक्2{अव्य{ल्यप्;चुरादिः},आङ्_लोक्1{अव्य;ल्यप्;भ्वादिः},"पूर्वकालः,32.1","पूर्वकालः,32.1",देख_कर
3,008-009-010-011-012,1,4.1,सर्वतः,सर्वतः,सर्वतः{अव्य},सर्वतः{अव्य},"देशाधिकरणम्,3.1","देशाधिकरणम्,3.1#देशाधिकरणम्_उप,14.3#देशाधिकरणम्_उप,10.1#देशाधिकरणम्_उप,9.3#देशाधिकरणम्_उप,8.3#क्रियाविशेषणम्,25.1#क्रियाविशेषणम्,14.3#क्रियाविशेषणम्,9.3#क्रियाविशेषणम्,8.3",प्रत्येक_दिशा_से
3,008-009-010-011-012,1,5.1,जाम्बूनदमयैः,जाम्बूनदमयैः,जाम्बूनद{मयट्;पुं;3;बहु}/जाम्बूनद{मयट्;नपुं;3;बहु},जाम्बूनद{मयट्;पुं;3;बहु},"विशेषणम्,6.1","विशेषणम्,21.2#विशेषणम्,18.1#विशेषणम्,14.3#विशेषणम्,12.2#विशेषणम्,11.3#विशेषणम्,9.3#विशेषणम्,7.2#विशेषणम्,6.1#कर्ता,10.1#कर्ता,9.3#कर्ता,8.3#करणम्,14.3#करणम्,10.1#करणम्,9.3#हेतुः,25.1#हेतुः,14.3#हेतुः,10.1#हेतुः,9.3#हेतुः,8.3#विशेषणम्,13.3#विशेषणम्,10.3",जाम्बूनदों_से
3,008-009-010-011-012,1,6.1,द्वारैः,द्वारैः,द्वार{नपुं;3;बहु},द्वार{नपुं;3;बहु},"करणम्,23.1","कर्ता,10.1#कर्ता,9.3#कर्ता,8.3#करणम्,14.3#करणम्,10.1#करणम्,9.3#हेतुः,25.1#हेतुः,14.3#हेतुः,10.1#हेतुः,9.3#हेतुः,8.3#करणम्,23.1",द्वारों_से
3,008-009-010-011-012,1,7.1,वैदूर्यकृत-,वैदूर्यकृत-वेदिकैः,वैदूर्यकृत,वैदूर्यकृत,"बहुव्रीहिः,7.2","बहुव्रीहिः,7.2",वैदूर्यकृत-
3,008-009-010-011-012,1,7.2,वेदिकैः,--,वेदिक{पुं;3;बहु}/वेदिक{नपुं;3;बहु},वेदिक{पुं;3;बहु},"विशेषणम्,6.1","विशेषणम्,21.2#विशेषणम्,18.1#विशेषणम्,14.3#विशेषणम्,12.2#विशेषणम्,11.3#विशेषणम्,9.3#कर्ता,14.3#कर्ता,10.1#कर्ता,9.3#कर्ता,8.3#करणम्,14.3#करणम्,10.1#करणम्,9.3#हेतुः,25.1#हेतुः,14.3#हेतुः,10.1#हेतुः,9.3#हेतुः,8.3#विशेषणम्,13.3#विशेषणम्,6.1",वेदिकों_से
