chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
4,018-019-020,1,1.1,धन्विनः,धन्विनः,धन्विन्{पुं;1;बहु}/धन्विन्{पुं;2;बहु}/धन्विन्{पुं;5;एक}/धन्विन्{पुं;6;एक}/धन्विन्{पुं;8;बहु},धन्विन्{पुं;2;बहु},"समुच्चितः,32.2","सुप्_समुच्चितः,29.1#कर्ता,5.3#कर्म,5.3#षष्ठीसम्बन्धः,33.2#षष्ठीसम्बन्धः,29.1#षष्ठीसम्बन्धः,24.2#षष्ठीसम्बन्धः,23.1#षष्ठीसम्बन्धः,22.1#षष्ठीसम्बन्धः,8.3#षष्ठीसम्बन्धः,6.3#षष्ठीसम्बन्धः,5.3#हेतुः5,31.1#हेतुः5,5.3#सुप्_समुच्चितः,24.2#सुप्_समुच्चितः,6.3#समुच्चितः,32.2",-
4,018-019-020,1,2.1,खड्गिनः,खड्गिनः,खड्गिन्{पुं;1;बहु}/खड्गिन्{पुं;2;बहु}/खड्गिन्{पुं;5;एक}/खड्गिन्{पुं;6;एक}/खड्गिन्{पुं;8;बहु},खड्गिन्{पुं;2;बहु},"समुच्चितः,32.2","सुप्_समुच्चितः,29.1#कर्ता,5.3#कर्म,5.3#षष्ठीसम्बन्धः,33.2#षष्ठीसम्बन्धः,29.1#षष्ठीसम्बन्धः,24.2#षष्ठीसम्बन्धः,23.1#षष्ठीसम्बन्धः,22.1#षष्ठीसम्बन्धः,8.3#षष्ठीसम्बन्धः,6.3#षष्ठीसम्बन्धः,5.3#षष्ठीसम्बन्धः,1.1#हेतुः5,31.1#हेतुः5,5.3#सुप्_समुच्चितः,24.2#सुप्_समुच्चितः,6.3#समुच्चितः,32.2",-
4,018-019-020,1,3.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,32.2","सुप्_समुच्चय_द्योतकः,2.1#सम्बन्धः,2.1#समुच्चय_द्योतकः,32.2",और
4,018-019-020,1,4.1,एव,एव,एव{अव्य},एव{अव्य},"सम्बन्धः,31.1","सम्बन्धः,3.1#सम्बन्धः,31.1",ही
4,018-019-020,1,5.1,शतघ्नी-,शतघ्नी-मुसल-आयुधान्,शतघ्नी,शतघ्नी,"द्वन्द्वः,5.2","द्वन्द्वः,5.2",शतघ्नी-
4,018-019-020,1,5.2,मुसल-,--,मुसल,मुसल,"बहुव्रीहिः,5.3","बहुव्रीहिः,5.3",मुसल-
4,018-019-020,1,5.3,आयुधान्,--,आयुध{पुं;2;बहु(आङ्_युध्1;घञ्;दिवादिः)},आयुध{पुं;2;बहु(आङ्_युध्1;घञ्;दिवादिः)},"समुच्चितः,32.2","विशेषणम्,29.1#विशेषणम्,24.2#विशेषणम्,23.1#विशेषणम्,22.1#विशेषणम्,10.2#विशेषणम्,8.3#विशेषणम्,6.3#सुप्_समुच्चितः,29.1#सुप्_समुच्चितः,24.2#सुप्_समुच्चितः,6.3#समुच्चितः,32.2",-
4,018-019-020,1,6.1,परिघ-,परिघ-उत्तम-हस्तान्,परिघ,परिघ,"सप्तमी_तत्पुरुषः,6.2","सप्तमी_तत्पुरुषः,6.2",परिघ-
4,018-019-020,1,6.2,उत्तम-,--,उत्तम,उत्तम,"बहुव्रीहिः,6.3","बहुव्रीहिः,6.3",उत्तम-
4,018-019-020,1,6.3,हस्तान्,--,हस्त{पुं;2;बहु},हस्त{पुं;2;बहु},"समुच्चितः,32.2","विशेषणम्,29.1#विशेषणम्,24.2#विशेषणम्,23.1#विशेषणम्,22.1#विशेषणम्,10.2#विशेषणम्,8.3#सुप्_समुच्चितः,29.1#सुप्_समुच्चितः,24.2#समुच्चितः,32.2",हाथों_को
4,018-019-020,1,7.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,31.1","सुप्_समुच्चय_द्योतकः,6.3#सम्बन्धः,31.1",और
4,018-019-020,1,8.1,विचित्र-,विचित्र-कवच-उज्ज्वलान्,विचित्र,विचित्र,"कर्मधारयः,8.2","कर्मधारयः,8.2",विचित्र-
4,018-019-020,1,8.2,कवच-,--,कवच,कवच,"तृतीया_तत्पुरुषः,8.3","तृतीया_तत्पुरुषः,8.3",कवच-
