chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
4,024.2-025-026.1,1,1.1,सः,सः,तद्{सर्वनाम;पुं;1;एक},तद्{सर्वनाम;पुं;1;एक},"विशेषणम्,18.2","विशेषणम्,18.2#विशेषणम्,17.1",वह
4,024.2-025-026.1,1,2.1,तदा,तदा,तदा{अव्य},तदा{अव्य},"कालाधिकरणम्,5.1","कालाधिकरणम्,16.1#कालाधिकरणम्,14.2#कालाधिकरणम्,5.1",तब
4,024.2-025-026.1,1,3.1,तत्,तत्,तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक},तद्{सर्वनाम;नपुं;2;एक},"कर्म,5.1","विशेषणम्,15.1#विशेषणम्,14.2#विशेषणम्,13.1#विशेषणम्,10.1#विशेषणम्,8.1#विशेषणम्,6.3#विशेषणम्,4.1#कर्म,5.1",वह
4,024.2-025-026.1,1,4.1,गृहम्,गृहम्,गृह{नपुं;1;एक}/गृह{नपुं;2;एक},गृह{नपुं;2;एक},"कर्म,16.1","कर्म,5.1#कर्म,16.1",घर
4,024.2-025-026.1,1,5.1,दृष्ट्वा,दृष्ट्वा,दृश्1{अव्य;क्त्वा;भ्वादिः},दृश्1{अव्य;क्त्वा;भ्वादिः},"पूर्वकालः,16.1","पूर्वकालः,16.1#पूर्वकालः,14.2#पूर्वकालः,10.1#पूर्वकालः,8.1",देख_कर
4,024.2-025-026.1,1,6.1,महा-,महा-हाटक-तोरणम्,महत्,महत्,"कर्मधारयः,6.2","कर्मधारयः,6.2",महा-
4,024.2-025-026.1,1,6.2,हाटक-,--,हाटक,हाटक,"बहुव्रीहिः,6.3","बहुव्रीहिः,6.3",हाटक-
4,024.2-025-026.1,1,6.3,तोरणम्,--,तोरण{पुं;2;एक}/तोरण{नपुं;1;एक}/तोरण{नपुं;2;एक},तोरण{पुं;2;एक},"विशेषणम्,4.1","विशेषणम्,15.1#विशेषणम्,14.2#विशेषणम्,13.1#विशेषणम्,10.1#विशेषणम्,4.1#कर्म,10.1#गतिकर्म,10.1",तोरण_को
4,024.2-025-026.1,1,7.1,राक्षस-,राक्षस-इन्द्रस्य,राक्षस,राक्षस,"षष्ठी_तत्पुरुषः,7.2","षष्ठी_तत्पुरुषः,7.2",राक्षस-
4,024.2-025-026.1,1,7.2,इन्द्रस्य,--,इन्द्र{पुं;6;एक}/इन्द्र{नपुं;6;एक},इन्द्र{पुं;6;एक},"षष्ठीसम्बन्धः,4.1","षष्ठीसम्बन्धः,4.1",इन्द्र_का
4,024.2-025-026.1,1,8.1,विख्यातम्,विख्यातम्,वि_ख्या1{कर्तरि;लोट्;म;द्वि;परस्मैपदी;अदादिः}/विख्यात{पुं;2;एक(वि_ख्या1;क्त;अदादिः)}/विख्यात{नपुं;1;एक(वि_ख्या1;क्त;अदादिः)}/विख्यात{नपुं;2;एक(वि_ख्या1;क्त;अदादिः)},विख्यात{नपुं;2;एक(वि_ख्या1;क्त;अदादिः)},"विशेषणम्,4.1","विशेषणम्,14.2#विशेषणम्,13.1#विशेषणम्,4.1#कर्म,14.2#कर्म,10.1#गतिकर्म,10.1#विशेषणम्,15.1",प्रख्यात_होओ
4,024.2-025-026.1,1,9.1,अद्रि-,अद्रि-मूर्ध्नि,अद्रि,अद्रि,"षष्ठी_तत्पुरुषः,9.2","षष्ठी_तत्पुरुषः,9.2",अद्रि-
4,024.2-025-026.1,1,9.2,मूर्ध्नि,--,मूर्धन्{पुं;7;एक},मूर्धन्{पुं;7;एक},"देशाधिकरणम्,10.1","देशाधिकरणम्,10.1",मस्तक_में
4,024.2-025-026.1,1,10.1,प्रतिष्ठितम्,प्रतिष्ठितम्,प्रतिष्ठित{पुं;2;एक(प्र_ष्था1;क्त;भ्वादिः)}/प्रतिष्ठित{पुं;2;एक(प्रति_ष्था1;क्त;भ्वादिः)}/प्रतिष्ठित{नपुं;1;एक(प्रति_ष्था1;क्त;भ्वादिः)}/प्रतिष्ठित{नपुं;2;एक(प्रति_ष्था1;क्त;भ्वादिः)},प्रतिष्ठित{पुं;2;एक(प्र_ष्था1;क्त;भ्वादिः)},"विशेषणम्,14.2","विशेषणम्,14.2#विशेषणम्,13.1#कर्म,16.1#कर्म,14.2#विशेषणम्,15.1#कर्ता,16.1",प्रतिष्ठित_को
4,024.2-025-026.1,1,11.1,पुण्डरीक-,पुण्डरीक-अवतंसाभिः,पुण्डरीक,पुण्डरीक,"षष्ठी_तत्पुरुषः,11.2","षष्ठी_तत्पुरुषः,11.2",पुण्डरीक-
4,024.2-025-026.1,1,11.2,अवतंसाभिः,--,अवतंसा{स्त्री;3;बहु},अवतंसा{स्त्री;3;बहु},"विशेषणम्,12.1","विशेषणम्,12.1#कर्ता,14.2#करणम्,16.1#करणम्,14.2#हेतुः,16.1#हेतुः,14.2",अवतंसों_से
4,024.2-025-026.1,1,12.1,परिखाभिः,परिखाभिः,परिखा{स्त्री;3;बहु},परिखा{स्त्री;3;बहु},"करणम्,13.1","कर्ता,14.2#करणम्,13.1#करणम्,14.2#हेतुः,16.1#हेतुः,14.2",परिखों_से
4,024.2-025-026.1,1,13.1,समावृतम्,समावृतम्,समावृत{पुं;2;एक}/समावृत{नपुं;1;एक}/समावृत{नपुं;2;एक},समावृत{पुं;2;एक},"विशेषणम्,4.1","कर्म,16.1#कर्म,14.2#कर्ता,16.1#विशेषणम्,4.1",परिबलयित_को
4,024.2-025-026.1,1,14.1,प्राकार-,प्राकार-आवृतम्,प्राकार,प्राकार,"तृतीया_तत्पुरुषः,14.2","तृतीया_तत्पुरुषः,14.2",प्राकार-
4,024.2-025-026.1,1,14.2,आवृतम्,--,आवृत्{स्त्री;2;एक}/आङ्_वृत्1{कर्तरि{लुङ्;उ;एक;आत्मनेपदी;भ्वादिः}/आवृत{पुं;2;एक(आङ्_वृत्1;घञ्;भ्वादिः)}/आवृत{पुं;2;एक(आङ्_वृ1;क्त;स्वादिः)}/आवृत{नपुं;1;एक(आङ्_वृ1;क्त;स्वादिः)}/आवृत{नपुं;2;एक(आङ्_वृ1;क्त;स्वादिः)},आवृत्{स्त्री;2;एक},"विशेषणम्,4.1","कर्म,16.1#विशेषणम्,4.1#कर्ता,16.1",मुडती_हुई_को
4,024.2-025-026.1,1,15.1,अत्यन्तम्,अत्यन्तम्,अत्यन्त{नपुं;1;एक}/अत्यन्त{नपुं;2;एक}/अत्यन्त{अव्य},अत्यन्त{अव्य},"सम्बन्धः,14.2","क्रियाविशेषणम्,16.1#क्रियाविशेषणम्,14.2#क्रियाविशेषणम्,10.1#क्रियाविशेषणम्,8.1#क्रियाविशेषणम्,5.1#सम्बन्धः,14.2",अत्यन्त
4,024.2-025-026.1,1,16.1,ददर्श,ददर्श,दृश्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः}/दृश्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;भ्वादिः},दृश्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः},अभिहित_कर्ता,-,देखा
4,024.2-025-026.1,1,17.1,सः,सः,तद्{सर्वनाम;पुं;1;एक},तद्{सर्वनाम;पुं;1;एक},"विशेषणम्,18.2","विशेषणम्,18.2",वह
4,024.2-025-026.1,1,18.1,महा-,महा-कपिः,महत्,महत्,"कर्मधारयः,18.2","कर्मधारयः,18.2",महा-
4,024.2-025-026.1,1,18.2,कपिः,--,कपि{पुं;1;एक},कपि{पुं;1;एक},"कर्ता,16.1;कर्ता,5.1","कर्ता,16.1;कर्ता,5.1",बंदर
