chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
5,024-025-026-027,1,1.1,सनातने,सनातने,सनातन{नपुं;1;द्वि}/सनातन{नपुं;2;द्वि}/सनातन{नपुं;8;द्वि}/सनातन{पुं;7;एक}/सनातन{नपुं;7;एक},सनातन{नपुं;7;एक},"विशेषणम्,2.1","विशेषणम्,21.1#अधिकरणम्,45.2#अधिकरणम्,44.1#अधिकरणम्,42.1#अधिकरणम्,38.1#अधिकरणम्,28.2#अधिकरणम्,22.1#अधिकरणम्,14.1#अधिकरणम्,9.2#अधिकरणम्,6.3#भ्कर्ता,42.1#विशेषणम्,2.1",-
5,024-025-026-027,1,2.1,वर्त्मनि,वर्त्मनि,वर्त्मन्{नपुं;7;एक},वर्त्मन्{नपुं;7;एक},"अधिकरणम्,3.1","अधिकरणम्,45.2#अधिकरणम्,44.1#अधिकरणम्,42.1#अधिकरणम्,38.1#अधिकरणम्,28.2#अधिकरणम्,22.1#अधिकरणम्,3.1#अधिकरणम्,9.2#अधिकरणम्,6.3#भ्कर्ता,42.1",मार्ग_में
5,024-025-026-027,1,3.1,सन्निविष्टाम्,सन्निविष्टाम्,सन्निविष्टा{स्त्री;2;एक(सम्_नि_विश्1;क्त;तुदादिः)},सन्निविष्टा{स्त्री;2;एक(सम्_नि_विश्1;क्त;तुदादिः)},"विशेषणम्,37.1","विशेषणम्,41.1#विशेषणम्,37.1#विशेषणम्,36.2#विशेषणम्,33.2#विशेषणम्,31.2#विशेषणम्,30.2#विशेषणम्,28.2#विशेषणम्,27.2#विशेषणम्,25.3#विशेषणम्,24.2#विशेषणम्,22.1#विशेषणम्,20.2#विशेषणम्,19.2#विशेषणम्,18.5#विशेषणम्,16.3#विशेषणम्,14.1#विशेषणम्,9.2#विशेषणम्,6.3#विशेषणम्,5.1",रखी_हुई
5,024-025-026-027,1,4.1,राम-,राम-ईक्षणीम्,राम,राम,"उपपद_तत्पुरुषः,4.2","उपपद_तत्पुरुषः,4.2",राम-
5,024-025-026-027,1,4.2,ईक्षणीम्,--,ईक्षणी{स्त्री;2;एक},ईक्षणी{स्त्री;2;एक},"विशेषणम्,37.1","विशेषणम्,37.1",-
5,024-025-026-027,1,5.1,ताम्,ताम्,तद्{सर्वनाम;स्त्री;2;एक},तद्{सर्वनाम;स्त्री;2;एक},"विशेषणम्,37.1","विशेषणम्,41.1#विशेषणम्,37.1#विशेषणम्,36.2#विशेषणम्,33.2#विशेषणम्,31.2#विशेषणम्,30.2#विशेषणम्,28.2#विशेषणम्,27.2#विशेषणम्,25.3#विशेषणम्,24.2#विशेषणम्,22.1#विशेषणम्,20.2#विशेषणम्,19.2#विशेषणम्,18.5#विशेषणम्,16.3#विशेषणम्,14.1#विशेषणम्,9.2#विशेषणम्,6.3",उसको
5,024-025-026-027,1,6.1,मदन-,मदन-अभिविष्टाम्,मद,मद,"तृतीया_तत्पुरुषः,6.2","तृतीया_तत्पुरुषः,6.2",मद-
5,024-025-026-027,1,6.2,अभिविष्टाम्,--,अभिविष्टा{स्त्री;2;एक(विश्1;क्त;तुदादिः)}/विष्टा{स्त्री;2;एक(विष्1;क्त;भ्वादिः)}/विष्टा{स्त्री;2;एक(विष्2;क्त;जुहोत्यादिः)},अभिविष्टा{स्त्री;2;एक(विश्1;क्त;तुदादिः)},"विशेषणम्,37.1","विशेषणम्,41.1#विशेषणम्,37.1#विशेषणम्,36.2#विशेषणम्,33.2#विशेषणम्,31.2#विशेषणम्,30.2#विशेषणम्,28.2#विशेषणम्,27.2#विशेषणम्,25.3#विशेषणम्,24.2#विशेषणम्,22.1#विशेषणम्,20.2#विशेषणम्,19.2#विशेषणम्,18.5#विशेषणम्,16.3#विशेषणम्,14.1#विशेषणम्,9.2#विशेषणम्,5.1",अन्दर_प्रवेश_की_हुई
5,024-025-026-027,1,7.1,भर्तुः,भर्तुः,भर्तृ{पुं;5;एक}/भर्तृ{पुं;6;एक},भर्तृ{पुं;6;एक},"षष्ठीसम्बन्धः,8.1","अभेदः,40.1#षष्ठीसम्बन्धः,50.2#षष्ठीसम्बन्धः,48.1#षष्ठीसम्बन्धः,47.1#षष्ठीसम्बन्धः,46.1#षष्ठीसम्बन्धः,41.1#षष्ठीसम्बन्धः,40.1#षष्ठीसम्बन्धः,39.2#षष्ठीसम्बन्धः,37.1#षष्ठीसम्बन्धः,36.2#षष्ठीसम्बन्धः,33.2#षष्ठीसम्बन्धः,31.2#षष्ठीसम्बन्धः,30.2#षष्ठीसम्बन्धः,27.2#षष्ठीसम्बन्धः,25.3#षष्ठीसम्बन्धः,24.2#षष्ठीसम्बन्धः,22.1#षष्ठीसम्बन्धः,21.1#षष्ठीसम्बन्धः,20.2#षष्ठीसम्बन्धः,19.2#षष्ठीसम्बन्धः,18.5#षष्ठीसम्बन्धः,16.3#षष्ठीसम्बन्धः,10.1#षष्ठीसम्बन्धः,9.1#षष्ठीसम्बन्धः,8.1#भ्कर्ता,42.1#तुलना_बिन्दुः,43.1#तुलना_बिन्दुः,14.1#तुलना_बिन्दुः,11.1#हेतुः5,45.2#हेतुः5,44.1#हेतुः5,42.1#हेतुः5,38.1#हेतुः5,28.2#हेतुः5,22.1#हेतुः5,14.1#हेतुः5,9.2#हेतुः5,6.3#अपादानम्,22.1#अपादानम्,14.1",स्वामी_से
5,024-025-026-027,1,8.1,मनः,मनः,मनस्{नपुं;1;एक}/मनस्{नपुं;2;एक}/मनस्{नपुं;8;एक},मनस्{नपुं;1;एक},"कर्म,51.1","कर्म,51.1",मन
5,024-025-026-027,1,9.1,श्रीमत्,श्रीमत्,श्री{मतुप्}श्रीमत्,श्री{मतुप्},"सम्बन्धः,7.1","सम्बन्धः,7.1",श्रीमत्-
5,024-025-026-027,1,10.1,स्त्रीभ्यः,स्त्रीभ्यः,स्त्री{स्त्री;4;बहु}/स्त्री{स्त्री;5;बहु},स्त्री{स्त्री;4;बहु},"तुलना_बिन्दुः,14.1","तुलना_बिन्दुः,43.1#तुलना_बिन्दुः,14.1#तुलना_बिन्दुः,11.1#सुप्_समुच्चितः,11.1#हेतुः5,45.2#हेतुः5,44.1#हेतुः5,42.1#हेतुः5,38.1#हेतुः5,28.2#हेतुः5,22.1#हेतुः5,14.1#हेतुः5,9.2#हेतुः5,6.3#अपादानम्,22.1#अपादानम्,14.1#प्रयोजनम्1,45.2#प्रयोजनम्1,44.1#प्रयोजनम्1,42.1#प्रयोजनम्1,38.1#प्रयोजनम्1,28.2#प्रयोजनम्1,22.1#प्रयोजनम्1,14.1#प्रयोजनम्1,9.2#प्रयोजनम्1,6.3",स्त्रियों_को
5,024-025-026-027,1,11.1,पराभ्यः,पराभ्यः,परा{सर्वनाम;स्त्री;4;बहु}/परा{सर्वनाम;स्त्री;5;बहु},परा{सर्वनाम;स्त्री;4;बहु},"विशेषणम्,10.1","तुलना_बिन्दुः,43.1#तुलना_बिन्दुः,14.1#विशेषणम्,10.1#हेतुः5,45.2#हेतुः5,44.1#हेतुः5,42.1#हेतुः5,38.1#हेतुः5,28.2#हेतुः5,22.1#हेतुः5,14.1#हेतुः5,9.2#हेतुः5,6.3#अपादानम्,22.1#अपादानम्,14.1#प्रयोजनम्1,45.2#प्रयोजनम्1,44.1#प्रयोजनम्1,42.1#प्रयोजनम्1,38.1#प्रयोजनम्1,28.2#प्रयोजनम्1,22.1#प्रयोजनम्1,14.1#प्रयोजनम्1,9.2#प्रयोजनम्1,6.3#विशेषणम्,10.1",परा_को
5,024-025-026-027,1,12.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,10.1","सुप्_समुच्चय_द्योतकः,11.1#सम्बन्धः,10.1",और
5,024-025-026-027,1,13.1,सदा,सदा,सदा{अव्य},सदा{अव्य},"कालाधिकरणम्,14.1","कालाधिकरणम्,45.2#कालाधिकरणम्,44.1#कालाधिकरणम्,42.1#कालाधिकरणम्,38.1#कालाधिकरणम्,28.2#कालाधिकरणम्,22.1#कालाधिकरणम्,14.1#कालाधिकरणम्,9.2#कालाधिकरणम्,6.3",हमेशा
5,024-025-026-027,1,14.1,विशिष्टाम्,विशिष्टाम्,वि_शास्1{कर्तरि;लोट्;प्र;द्वि;परस्मैपदी;अदादिः}/वि_शिष्2{कर्तरि{लोट्;प्र;द्वि;परस्मैपदी;रुधादिः}/विशिष्टा{स्त्री;2;एक},विशिष्टा{स्त्री;2;एक},"विशेषणम्,37.1","विशेषणम्,41.1#विशेषणम्,37.1#विशेषणम्,36.2#विशेषणम्,33.2#विशेषणम्,31.2#विशेषणम्,30.2#विशेषणम्,28.2#विशेषणम्,27.2#विशेषणम्,25.3#विशेषणम्,24.2#विशेषणम्,22.1#विशेषणम्,20.2#विशेषणम्,19.2#विशेषणम्,18.5#विशेषणम्,16.3#विशेषणम्,9.2#विशेषणम्,6.3#विशेषणम्,5.1",वि_शास्1यें
5,024-025-026-027,1,15.1,उष्ण-,उष्ण-अर्दिताम्,उष्ण,उष्ण,"तृतीया_तत्पुरुषः,15.2","तृतीया_तत्पुरुषः,15.2",उष्ण-
5,024-025-026-027,1,15.2,अर्दिताम्,--,अर्दिता{स्त्री;2;एक},अर्दिता{स्त्री;2;एक},"विशेषणम्,37.1","विशेषणम्,37.1",-
