chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
6,011-012-013-014.1,1,1.1,तत्,तत्,तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक},तद्{सर्वनाम;नपुं;2;एक},"सम्बन्धः,2.3","विशेषणम्,26.3#विशेषणम्,25.1#विशेषणम्,24.1#विशेषणम्,21.1#विशेषणम्,19.1#विशेषणम्,16.1#विशेषणम्,11.3#विशेषणम्,10.1#विशेषणम्,9.1#कर्म,5.2#सम्बन्धः,2.3",वह
6,011-012-013-014.1,1,2.1,राज-,राज-गुण-सम्पन्नम्,राजन्,राजन्,"षष्ठी_तत्पुरुषः,2.2","षष्ठी_तत्पुरुषः,2.2",राज-
6,011-012-013-014.1,1,2.2,गुण-,--,गुण,गुण,"तृतीया_तत्पुरुषः,2.3","तृतीया_तत्पुरुषः,2.3",गुण-
6,011-012-013-014.1,1,2.3,सम्पन्नम्,--,सम्पन्न{पुं;2;एक(सम्_पद्1;क्त;दिवादिः)}/सम्पन्न{नपुं;1;एक(सम्_पद्1;क्त;दिवादिः)}/सम्पन्न{नपुं;2;एक(सम्_पद्1;क्त;दिवादिः)},सम्पन्न{पुं;2;एक(सम्_पद्1;क्त;दिवादिः)},"विशेषणम्,25.1","विशेषणम्,26.3#विशेषणम्,25.1#विशेषणम्,24.1#विशेषणम्,21.1#विशेषणम्,19.1#विशेषणम्,16.1#विशेषणम्,11.3#विशेषणम्,10.1#विशेषणम्,9.1#कर्म,5.2#विशेषणम्,15.1",सम्पन्न_को
6,011-012-013-014.1,1,3.1,मुख्यैः,मुख्यैः,मुख्य{पुं;3;बहु}/मुख्य{नपुं;3;बहु},मुख्य{पुं;3;बहु},"विशेषणम्,5.2","विशेषणम्,5.2#करणम्,28.1#करणम्,16.1#हेतुः,28.1#हेतुः,16.1#हेतुः,11.3#हेतुः,5.2#विशेषणम्,17.1#विशेषणम्,7.1",मुख्यों_से
6,011-012-013-014.1,1,4.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,5.2","समुच्चय_द्योतकः,5.2",और
6,011-012-013-014.1,1,5.1,वर-,वर-चन्दनैः,वर,वर,"कर्मधारयः,5.2","कर्मधारयः,5.2",वर-
6,011-012-013-014.1,1,5.2,चन्दनैः,--,चन्दन{पुं;3;बहु}/चन्दन{नपुं;3;बहु(चद्2;ल्युट्;भ्वादिः)},चन्दन{पुं;3;बहु},"करणम्,2.3","करणम्,2.3",चन्दनों_से
6,011-012-013-014.1,1,6.1,महा-,महा-जन-समाकीर्णम्,महत्,महत्,"कर्मधारयः,6.2","कर्मधारयः,6.2",महा-
6,011-012-013-014.1,1,6.2,जन-,--,जन,जन,"तृतीया_तत्पुरुषः,6.3","तृतीया_तत्पुरुषः,6.3",जन-
6,011-012-013-014.1,1,6.3,समाकीर्णम्,--,समाकीर्णम्{नपु;2;एक},समाकीर्णम्{नपु;2;एक},"विशेषणम्,25.1","विशेषणम्,25.1",-
6,011-012-013-014.1,1,7.1,सिंहैः,सिंहैः,सिंह{पुं;3;बहु},सिंह{पुं;3;बहु},"सहार्थः,10.1","उपमानम्,5.2#कर्ता,11.3#करणम्,28.1#करणम्,16.1#हेतुः,28.1#हेतुः,16.1#हेतुः,11.3#सहार्थः,10.1",सिंहों_से
6,011-012-013-014.1,1,8.1,इव,इव,इव{अव्य},इव{अव्य},"उपमान_द्योतकः,10.1","उपमानम्_रहित_उपमान_द्योतकः,9.1#उपमान_द्योतकः,10.1",जैसे
6,011-012-013-014.1,1,9.1,महत्,महत्,महत्{नपुं;8;एक}/महत्{नपुं;1;एक}/महत्{नपुं;2;एक},महत्{नपुं;2;एक},"विशेषणम्,10.1","तीव्रतादर्शी,10.1#विशेषणम्,26.3#विशेषणम्,25.1#विशेषणम्,24.1#विशेषणम्,21.1#विशेषणम्,19.1#विशेषणम्,16.1#विशेषणम्,11.3#विशेषणम्,10.1#कर्म,16.1",महान्
6,011-012-013-014.1,1,10.1,वनम्,वनम्,वन{नपुं;1;एक}/वन{नपुं;2;एक},वन{नपुं;2;एक},"उपमानम्,6.3","कर्म,16.1#उपमानम्,6.3",वन
6,011-012-013-014.1,1,11.1,भेरी-,भेरी-मृदङ्ग-अभिरुतम्,भेरी,भेरी,"द्वन्द्वः,11.2","द्वन्द्वः,11.2",भेरी-
6,011-012-013-014.1,1,11.2,मृदङ्ग-,--,मृदङ्ग,मृदङ्ग,"तृतीया_तत्पुरुषः,11.3","तृतीया_तत्पुरुषः,11.3",मृदङ्ग-
6,011-012-013-014.1,1,11.3,अभिरुतम्,--,अभि_रु2{कर्तरि;लोट्;म;द्वि;परस्मैपदी;अदादिः}/अभिरुत{पुं;2;एक(अभि_रु2;क्त;अदादिः)}/अभिरुत{नपुं;1;एक(अभि_रु2;क्त;अदादिः)}/अभिरुत{नपुं;2;एक(अभि_रु2;क्त;अदादिः)},अभिरुत{नपुं;2;एक(अभि_रु2;क्त;अदादिः)},"विशेषणम्,25.1","विशेषणम्,26.3#विशेषणम्,25.1#विशेषणम्,24.1#विशेषणम्,21.1#विशेषणम्,19.1#विशेषणम्,16.1#कर्म,16.1#विशेषणम्,15.1",क्रंदन_करो
6,011-012-013-014.1,1,12.1,शङ्ख-,शङ्ख-घोष-विनादितम्,शङ्ख,शङ्ख,"षष्ठी_तत्पुरुषः,12.2","षष्ठी_तत्पुरुषः,12.2",शङ्ख-
6,011-012-013-014.1,1,12.2,घोष-,--,घोष,घोष,"तृतीया_तत्पुरुषः,12.3","तृतीया_तत्पुरुषः,12.3",घोष-
6,011-012-013-014.1,1,12.3,विनादितम्,--,विनादित{पु;2;एक},विनादित{पु;2;एक},"विशेषणम्,25.1","विशेषणम्,25.1",-
6,011-012-013-014.1,1,13.1,नित्य-,नित्य-अर्चितम्,नित्य,नित्य,"बहुव्रीहिः,13.2","बहुव्रीहिः,13.2",नित्य-
6,011-012-013-014.1,1,13.2,अर्चितम्,--,अर्चित{पु;2;एक},अर्चित{पु;2;एक},"विशेषणम्,25.1","विशेषणम्,25.1",-
6,011-012-013-014.1,1,14.1,पर्वसुतम्,पर्वसुतम्,पर्वसुत{नपुं;2;एक},पर्वसुत{नपुं;2;एक},"विशेषणम्,25.1","अधिकरणम्,28.1#अधिकरणम्,16.1#विशेषणम्,25.1",अङ्गों_में
