chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
6,014.2-015,1,1.1,विराजमानम्,विराजमानम्,विराजमान{पुं;2;एक(वि_रक्ष्1;शानच्_लट्;कर्तरि;भ्वादिः)}/विराजमान{नपुं;1;एक(वि_रक्ष्1;शानच्_लट्;कर्तरि;भ्वादिः)}/विराजमान{नपुं;2;एक(वि_रक्ष्1;शानच्_लट्;कर्तरि;भ्वादिः)}/विराजमान{पुं;2;एक(वि_राध्2;शानच्_लट्;कर्तरि;स्वादिः)}/विराजमान{नपुं;1;एक(वि_राध्2;शानच्_लट्;कर्तरि;स्वादिः)}/विराजमान{नपुं;2;एक(वि_राध्2;शानच्_लट्;कर्तरि;स्वादिः)}/विराजमान{पुं;2;एक(वि_राध्1;शानच्_लट्;कर्तरि;दिवादिः)}/विराजमान{नपुं;1;एक(वि_राध्1;शानच्_लट्;कर्तरि;दिवादिः)}/विराजमान{नपुं;2;एक(वि_राध्1;शानच्_लट्;कर्तरि;दिवादिः)}/विराजमान{पुं;2;एक(वि_राज्1;शानच्_लट्;कर्तरि;भ्वादिः)}/विराजमान{नपुं;1;एक(वि_राज्1;शानच्_लट्;कर्तरि;भ्वादिः)}/विराजमान{नपुं;2;एक(वि_राज्1;शानच्_लट्;कर्तरि;भ्वादिः)},विराजमान{पुं;2;एक},"विशेषणम्,3.4","विशेषणम्,4.2#विशेषणम्,3.4#कर्म,8.1#वाक्यकर्म,8.1#कर्ता,8.1",-
6,014.2-015,1,2.1,वपुषा,वपुषा,वपुस्{नपुं;3;एक},वपुस्{नपुं;3;एक},"करणम्,1.1","करणम्,1.1",शरीर_से
6,014.2-015,1,3.1,गज-,गज-अश्व-रथ-सङ्कुलम्,गज,गज,"द्वन्द्वः,3.2","द्वन्द्वः,3.2",गज-
6,014.2-015,1,3.2,अश्व-,--,अश्व,अश्व,"द्वन्द्वः,3.3","द्वन्द्वः,3.3",अश्व-
6,014.2-015,1,3.3,रथ-,--,रथ,रथ,"षष्ठी_तत्पुरुषः,3.4","षष्ठी_तत्पुरुषः,3.4",रथ-
6,014.2-015,1,3.4,सङ्कुलम्,--,सङ्कुल{पुं;2;एक}/सङ्कुल{नपुं;1;एक}/सङ्कुल{नपुं;2;एक},सङ्कुल{पुं;2;एक},"कर्मसमानाधिकरणम्,8.1","विशेषणम्,4.2#कर्मसमानाधिकरणम्,1.1#कर्म,10.1#कर्म,8.1#कर्ता,10.1#कर्ता,8.1#कर्मसमानाधिकरणम्,8.1",अव्यवस्थित_को
6,014.2-015,1,4.1,लङ्का-,लङ्का-आभरणम्,लङ्का,लङ्का,"षष्ठी_तत्पुरुषः,4.2","षष्ठी_तत्पुरुषः,4.2",लङ्का-
6,014.2-015,1,4.2,आभरणम्,--,आभरण{नपुं;1;एक}/आभरण{नपुं;2;एक}/आभरण{पुं;2;एक},आभरण{नपुं;2;एक},"कर्म,8.1","कर्मसमानाधिकरणम्,3.4#कर्मसमानाधिकरणम्,1.1#कर्म,10.1#कर्म,8.1#कर्म,8.1#कर्ता,10.1#कर्ता,8.1",आभरण
6,014.2-015,1,5.1,इति,इति,इति{अव्य},इति{अव्य},"सम्बन्धः,4.2","वाक्यकर्म_द्योतकः,4.2#वाक्यकर्म_द्योतकः,1.1#सम्बन्धः,4.2",ऐसा
6,014.2-015,1,6.1,एव,एव,एव{अव्य},एव{अव्य},"सम्बन्धः,4.2","सम्बन्धः,5.1#सम्बन्धः,4.2",ही
6,014.2-015,1,7.1,सः,सः,तद्{सर्वनाम;पुं;1;एक},तद्{सर्वनाम;पुं;1;एक},"विशेषणम्,11.1","विशेषणम्,11.1#विशेषणम्,9.2#कर्ता,10.1#कर्ता,8.1#कर्म,8.1",वह
6,014.2-015,1,8.1,अमन्यत,अमन्यत,मन्2{कर्मणि;लङ्;प्र;एक;आत्मनेपदी;तनादिः}/मन्1{कर्तरि;लङ्;प्र;एक;आत्मनेपदी;दिवादिः},मन्1{कर्तरि;लङ्;प्र;एक;आत्मनेपदी;दिवादिः},अभिहित_कर्ता,-,जाना_गया
6,014.2-015,1,9.1,महा-,महा-कपिः,महत्,महत्,"कर्मधारयः,9.2","कर्मधारयः,9.2",महा-
6,014.2-015,1,9.2,कपिः,--,कपि{पुं;1;एक},कपि{पुं;1;एक},"कर्ता,8.1","कर्ता,8.1",बंदर
6,014.2-015,1,10.1,चचार,चचार,चर्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः}/चर्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;भ्वादिः},चर्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः},अभिहित_कर्ता,अभिहित_कर्ता,घूमा
6,014.2-015,1,11.1,हनुमान्,हनुमान्,हनुमत्{पुं;1;एक}/हनु{मतुप्;पुं;1;एक},हनुमत्{पुं;1;एक},"कर्ता,10.1","कर्ता,10.1",हनुमान्
6,014.2-015,1,12.1,तत्र,तत्र,तत्र{अव्य},तत्र{अव्य},"विशेषणम्,14.1","विशेषणम्,14.1",वहाँ
6,014.2-015,1,13.1,रावणस्य,रावणस्य,रावण{पुं;6;एक},रावण{पुं;6;एक},"षष्ठीसम्बन्धः,14.1","षष्ठीसम्बन्धः,14.1",रावण_का
6,014.2-015,1,14.1,समीपतः,समीपतः,समीप{अव्य;तसिल्},समीप{अव्य;तसिल्},"देशाधिकरणम्,10.1","देशाधिकरणम्,10.1",समीप_से
6,014.2-015,1,15.1,.,.,-,-,-,-,-
