chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
6,033.2-034-035,1,1.1,क्षरतः,क्षरतः,क्षर{अव्य;तसिल्}/क्षर्1{कर्तरि;लट्;प्र;द्वि;परस्मैपदी;भ्वादिः}/क्षरत्{पुं;2;बहु(क्षर्1;शतृ_लट्;भ्वादिः)}/क्षरत्{पुं;5;एक(क्षर्1;शतृ_लट्;भ्वादिः)}/क्षरत्{पुं;6;एक(क्षर्1;शतृ_लट्;भ्वादिः)}/क्षरत्{नपुं;5;एक(क्षर्1;शतृ_लट्;भ्वादिः)}/क्षरत्{नपुं;6;एक(क्षर्1;शतृ_लट्;भ्वादिः)},क्षरत्{पुं;2;बहु(क्षर्1;शतृ_लट्;भ्वादिः)},"विशेषणम्,4.1","विशेषणम्,22.2#विशेषणम्,4.1#सुप्_समुच्चितः,5.1#कर्ता,24.1#कर्म,24.1#षष्ठीसम्बन्धः,23.1#षष्ठीसम्बन्धः,22.2#षष्ठीसम्बन्धः,20.3#षष्ठीसम्बन्धः,18.2#षष्ठीसम्बन्धः,17.2#षष्ठीसम्बन्धः,15.1#षष्ठीसम्बन्धः,14.1#षष्ठीसम्बन्धः,12.1#षष्ठीसम्बन्धः,11.1#षष्ठीसम्बन्धः,10.2#षष्ठीसम्बन्धः,9.1#षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,4.1#तुलना_बिन्दुः,13.1#हेतुः5,24.1#हेतुः5,21.1#हेतुः5,13.1#हेतुः5,5.1#अपादानम्,5.1#विशेषणम्,23.1#विशेषणम्,11.1#विशेषणम्,10.2#विशेषणम्,8.1#विशेषणम्,4.1#कर्म,5.1",-
6,033.2-034-035,1,2.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,15.1","सुप्_समुच्चय_द्योतकः,1.1#समुच्चय_द्योतकः,15.1#सम्बन्धः,1.1",और
6,033.2-034-035,1,3.1,यथा,यथा,यथा{अव्य},यथा{अव्य},"उपमान_द्योतकः,4.1","क्रियाविशेषणम्,24.1#क्रियाविशेषणम्,21.1#क्रियाविशेषणम्,13.1#क्रियाविशेषणम्,5.#उपमान_द्योतकः,4.1",जैसे
6,033.2-034-035,1,4.1,मेघान्,मेघान्,मेघ{पुं;2;बहु},मेघ{पुं;2;बहु},"उपमानम्,9.1","सुप्_समुच्चितः,5.1#सुप्_समुच्चितः,1.1#कर्म,5.1#उपमानम्,9.1",मेघों_को
6,033.2-034-035,1,5.1,स्रवतः,स्रवतः,स्रव{अव्य;तसिल्}/स्रु1{कर्तरि;लट्;प्र;द्वि;परस्मैपदी;भ्वादिः}/स्रवत्{पुं;2;बहु(स्रु1;शतृ_लट्;भ्वादिः)}/स्रवत्{पुं;5;एक(स्रु1;शतृ_लट्;भ्वादिः)}/स्रवत्{पुं;6;एक(स्रु1;शतृ_लट्;भ्वादिः)}/स्रवत्{नपुं;5;एक(स्रु1;शतृ_लट्;भ्वादिः)}/स्रवत्{नपुं;6;एक(स्रु1;शतृ_लट्;भ्वादिः)},स्रवत्{पुं;2;बहु(स्रु1;शतृ_लट्;भ्वादिः)},"विशेषणम्,8.1","विशेषणम्,22.2#विशेषणम्,8.1#सुप्_समुच्चितः,1.1#कर्ता,24.1#कर्म,24.1#षष्ठीसम्बन्धः,23.1#षष्ठीसम्बन्धः,22.2#षष्ठीसम्बन्धः,20.3#षष्ठीसम्बन्धः,18.2#षष्ठीसम्बन्धः,17.2#षष्ठीसम्बन्धः,15.1#षष्ठीसम्बन्धः,14.1#षष्ठीसम्बन्धः,12.1#षष्ठीसम्बन्धः,11.1#षष्ठीसम्बन्धः,10.2#षष्ठीसम्बन्धः,9.1#षष्ठीसम्बन्धः,8.1#षष्ठीसम्बन्धः,4.1#तुलना_बिन्दुः,13.1#हेतुः5,24.1#हेतुः5,21.1#हेतुः5,13.1#विशेषणम्,23.1#विशेषणम्,11.1#विशेषणम्,10.2#विशेषणम्,8.1#विशेषणम्,4.1#उपमानम्,1.1",स्रव_से
6,033.2-034-035,1,6.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,21.1","सुप्_समुच्चय_द्योतकः,5.1#समुच्चय_द्योतकः,1.1#सम्बन्धः,21.1",और
6,033.2-034-035,1,7.1,यथा,यथा,यथा{अव्य},यथा{अव्य},"उपमान_द्योतकः,8.1","उपमान_द्योतकः,8.1#क्रियाविशेषणम्,24.1#क्रियाविशेषणम्,21.1#क्रियाविशेषणम्,13.1",जैसे
6,033.2-034-035,1,8.1,गिरीन्,गिरीन्,गिरि{पुं;2;बहु},गिरि{पुं;2;बहु},"उपमानम्,9.1","उपमानम्,9.1#सुप्_समुच्चितः,5.1#सुप्_समुच्चितः,1.1",पर्वतों_को
6,033.2-034-035,1,9.1,(गजान्),गजान्,गज{पुं;2;बहु},गज{पुं;2;बहु},"समुच्चितः,15.1","समुच्चितः,15.1",मेघ
6,033.2-034-035,1,10.1,मेघस्तनित-,मेघस्तनित-निर्घोषान्,तनित,तनित,"कर्मधारयः,10.2","कर्मधारयः,10.2",तनित-
