chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
7,007-008,1,1.1,नारी-,नारी-प्रवेकैः,नारी,नारी,"सप्तमी_तत्पुरुषः,1.2","सप्तमी_तत्पुरुषः,1.2",नारी-
7,007-008,1,1.2,प्रवेकैः,--,प्रवेक{पुं;3;बहु}/प्रवेक{नपुं;3;बहु},प्रवेक{पुं;3;बहु},"कर्ता,3.1","विशेषणम्,7.2#उपमानम्,4.1#करणम्,22.1#हेतुः,24.1#हेतुः,22.1#हेतुः,14.1#हेतुः,11.1#हेतुः,3.1#कर्ता,3.1",-
7,007-008,1,2.1,इव,इव,इव{अव्य},इव{अव्य},"उपमान_द्योतकः,5.1","उपमानम्_रहित_उपमान_द्योतकः,3.1#उपमान_द्योतकः,5.1",जैसे
7,007-008,1,3.1,दीप्यमानम्,दीप्यमानम्,दीप्यमान{पुं;2;एक(दीप्1;शानच्_लट्;कर्तरि;दिवादिः)}/दीप्यमान{नपुं;1;एक(दीप्1;शानच्_लट्;कर्तरि;दिवादिः)}/दीप्यमान{नपुं;2;एक(दीप्1;शानच्_लट्;कर्तरि;दिवादिः)}/दीप्यमान{पुं;2;एक(दीप्1;शानच्_लट्;कर्मणि;दिवादिः)}/दीप्यमान{नपुं;1;एक(दीप्1;शानच्_लट्;कर्मणि;दिवादिः)}/दीप्यमान{नपुं;2;एक(दीप्1;शानच्_लट्;कर्मणि;दिवादिः)},दीप्यमान{नपुं;2;एक(दीप्1;शानच्_लट्;कर्तरि;दिवादिः)},"विशेषणम्,14.1","विशेषणम्,25.3#विशेषणम्,24.1#विशेषणम्,23.4#विशेषणम्,21.3#विशेषणम्,19.1#विशेषणम्,17.3#विशेषणम्,16.2#विशेषणम्,14.1#विशेषणम्,13.1#विशेषणम्,11.1#सुप्_समुच्चितः,19.1#वर्तमानसमानकालः,22.1#विशेषणम्,5.1",-
7,007-008,1,4.1,तडिद्भिः,तडिद्भिः,तडित्{स्त्री;3;बहु},तडित्{स्त्री;3;बहु},"कर्ता,6.1","कर्ता,6.1#करणम्,22.1#हेतुः,24.1#हेतुः,22.1#हेतुः,14.1#हेतुः,11.1",बिजली_से
7,007-008,1,5.1,अम्भोधरम्,अम्भोधरम्,अम्भोधर{नपुं;2;एक},अम्भोधर{नपुं;2;एक},"उपमानम्,14.1","उपमानम्,14.1",अम्भोधर_को
7,007-008,1,6.1,अर्च्यमानम्,अर्च्यमानम्,अर्च्यमान{शानच्;पु;2;एक},अर्च्यमान{शानच्;नपु;2;एक},"विशेषणम्,5.1","विशेषणम्,5.1",-
7,007-008,1,7.1,हंस-,हंस-प्रवेकैः,हंस,हंस,"सप्तमी_तत्पुरुषः,7.2","सप्तमी_तत्पुरुषः,7.2",हंस-
7,007-008,1,7.2,प्रवेकैः,--,प्रवेक{पुं;3;बहु}/प्रवेक{नपुं;3;बहु},प्रवेक{पुं;3;बहु},"कर्ता,9.1","कर्ता,9.1",प्रवेकों_से
7,007-008,1,8.1,इव,इव,इव{अव्य},इव{अव्य},"उपमान_द्योतकः,14.1","उपमान_द्योतकः,14.1",जैसे
7,007-008,1,9.1,वाह्यमानम्,वाह्यमानम्,वाह्यमान{शानच्;पु;2;एक},वाह्यमान{शानच्;पु;2;एक},"विशेषणम्,14.1","विशेषणम्,14.1",-
7,007-008,1,10.1,श्रिया,श्रिया,श्री{स्त्री;3;एक},श्री{स्त्री;3;एक},"सहार्थः,14.1","सहार्थः,14.1",श्री_से
7,007-008,1,11.1,युतम्,युतम्,यु1{कर्तरि;लोट्;म;द्वि;परस्मैपदी;अदादिः}/युत{पुं;2;एक(यु1;क्त;अदादिः)}/युत{नपुं;1;एक(यु1;क्त;अदादिः)}/युत{नपुं;2;एक(यु1;क्त;अदादिः)}/युत{पुं;2;एक(यु2;क्त;क्र्यादिः)}/युत{नपुं;1;एक(यु2;क्त;क्र्यादिः)}/युत{नपुं;2;एक(यु2;क्त;क्र्यादिः)},युत{नपुं;2;एक(यु2;क्त;क्र्यादिः)},"सहार्थ_द्योतकः,10.1","सहार्थ_द्योतकः,10.1",मिश्रित_करो
7,007-008,1,12.1,खे,खे,ख{पुं;7;एक}/ख{नपुं;7;एक},ख{पुं;7;एक},"अधिकरणम्,14.1","अधिकरणम्,14.1",आकाश_में
7,007-008,1,13.1,सुकृतम्,सुकृतम्,सुकृत्{पुं;2;एक}/सुकृत{नपुं;1;एक}/सुकृत{नपुं;2;एक},सुकृत्{नपुं;2;एक},"विशेषणम्,14.1","सुप्_समुच्चितः,19.1#विशेषणम्,14.1",कुशल_कर्मकार_को
