chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
9,021.2-022-023-024,1,1.1,ततः,ततः,ततः{अव्य},ततः{अव्य},"कालाधिकरणम्,5.1","कालाधिकरणम्,5.1",वहाँ_से
9,021.2-022-023-024,1,2.1,ताम्,ताम्,तद्{सर्वनाम;स्त्री;2;एक},तद्{सर्वनाम;स्त्री;2;एक},"विशेषणम्,9.2","विशेषणम्,9.2",उसको
9,021.2-022-023-024,1,3.1,प्रस्थितः,प्रस्थितः,प्रस्थित{पुं;1;एक(प्र_ष्था1;क्त;भ्वादिः)},प्रस्थित{पुं;1;एक(प्र_ष्था1;क्त;भ्वादिः)},"विशेषणम्,30.1","विशेषणम्,30.1",आगे_बढा_हुआ
9,021.2-022-023-024,1,4.1,शालाम्,शालाम्,शाला{स्त्री;2;एक},शाला{स्त्री;2;एक},"विशेषणम्,9.2","विशेषणम्,9.2",शाला_को
9,021.2-022-023-024,1,5.1,ददर्श,ददर्श,दृश्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः}/दृश्1{कर्तरि;लिट्;उ;एक;परस्मैपदी;भ्वादिः},दृश्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः},अभिहित_कर्ता,अभिहित_कर्ता,देखा
9,021.2-022-023-024,1,6.1,महतीम्,महतीम्,महती{स्त्री;2;एक},महती{स्त्री;2;एक},"विशेषणम्,9.2","विशेषणम्,9.2",बहुत_को
9,021.2-022-023-024,1,7.1,शिवाम्,शिवाम्,शिवा{स्त्री;2;एक},शिवा{स्त्री;2;एक},"विशेषणम्,9.2","विशेषणम्,9.2",शिवा_को
9,021.2-022-023-024,1,8.1,रावणस्य,रावणस्य,रावण{पुं;6;एक},रावण{पुं;6;एक},"षष्ठीसम्बन्धः,9.2","कर्ता,24.2#कर्ता,23.2#कर्ता,20.1#कर्ता,17.3#कर्ता,16.1#कर्म,24.2#कर्म,23.2#कर्म,20.1#कर्म,17.3#कर्म,16.1#षष्ठीसम्बन्धः,30.1#षष्ठीसम्बन्धः,28.1#षष्ठीसम्बन्धः,26.1#षष्ठीसम्बन्धः,24.2#षष्ठीसम्बन्धः,23.2#षष्ठीसम्बन्धः,22.1#षष्ठीसम्बन्धः,20.2#षष्ठीसम्बन्धः,18.3#षष्ठीसम्बन्धः,17.3#षष्ठीसम्बन्धः,16.2#षष्ठीसम्बन्धः,15.1#षष्ठीसम्बन्धः,12.2#षष्ठीसम्बन्धः,10.1#षष्ठीसम्बन्धः,9.2#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,6.1#षष्ठीसम्बन्धः,4.1",रावण_का
9,021.2-022-023-024,1,9.1,महा-,महा-कान्ताम्,महत्,महत्,"बहुव्रीहिः,9.2","बहुव्रीहिः,9.2",महा-
9,021.2-022-023-024,1,9.2,कान्ताम्,--,कान्ता{स्त्री;2;एक},कान्ता{स्त्री;2;एक},"कर्म,5.1","विशेषणम्,22.1#विशेषणम्,17.3#विशेषणम्,16.2#विशेषणम्,14.3#विशेषणम्,13.3#विशेषणम्,12.2#विशेषणम्,10.1#उपमानम्,7.1#कर्म,5.1",पत्नी_को
9,021.2-022-023-024,1,10.1,कान्ताम्,कान्ताम्,कान्ता{स्त्री;2;एक},कान्ता{स्त्री;2;एक},"विशेषणम्,9.2","विशेषणम्,9.2",पत्नी_को
9,021.2-022-023-024,1,11.1,इव,इव,इव{अव्य},इव{अव्य},"उपमान_द्योतकः,12.2","उपमान_द्योतकः,12.2",जैसे
9,021.2-022-023-024,1,12.1,वर-,वर-स्त्रियम्,वर,वर,"कर्मधारयः,12.2","कर्मधारयः,12.2",वर-
9,021.2-022-023-024,1,12.2,स्त्रियम्,--,स्त्री{स्त्री;2;एक},स्त्री{स्त्री;2;एक},"उपमानम्,9.2","उपमानम्,9.2",स्त्री_को
9,021.2-022-023-024,1,13.1,मणि-,मणि-सोपान-विकृताम्,मणि,मणि,"कर्मधारयः,13.2","कर्मधारयः,13.2",मणि-
9,021.2-022-023-024,1,13.2,सोपान-,--,सोपान,सोपान,"तृतीया_तत्पुरुषः,13.3","तृतीया_तत्पुरुषः,13.3",सोपान-
9,021.2-022-023-024,1,13.3,विकृताम्,--,विकृता{स्त्री;2;एक(वि_कृ3;क्त;तनादिः)}/विकृता{स्त्री;2;एक(वि_कृ2;क्त;स्वादिः)},विकृता{स्त्री;2;एक(वि_कृ3;क्त;तनादिः)},"विशेषणम्,9.2","विशेषणम्,22.1#विशेषणम्,17.3#विशेषणम्,9.2#विशेषणम्,14.3#प्रयोज्यकर्ता,17.2#कर्म,18.1#कर्म,17.3#कर्म,16.1",बदली_हुई
9,021.2-022-023-024,1,14.1,हेम-,हेम-जाल-विराजिताम्,हेम}/हेमन्,हेम,"षष्ठी_तत्पुरुषः,14.2","षष्ठी_तत्पुरुषः,14.2",हेम-
9,021.2-022-023-024,1,14.2,जाल-,--,जाल,जाल,"तृतीया_तत्पुरुषः,14.3","तृतीया_तत्पुरुषः,14.3",जाल-
9,021.2-022-023-024,1,14.3,विराजिताम्,--,विराजिता{स्त्री;2;एक(वि_राज्1;क्त;भ्वादिः)},विराजिता{स्त्री;2;एक(वि_राज्1;क्त;भ्वादिः)},"विशेषणम्,9.2","विशेषणम्,22.1#विशेषणम्,17.3#विशेषणम्,9.2#प्रयोज्यकर्ता,17.2#कर्म,18.1#कर्म,17.3#कर्म,16.1",दिखाई_दी_हुई
9,021.2-022-023-024,1,15.1,स्फाटिकैः,स्फाटिकैः,स्फाटिक{पुं;3;बहु}/स्फाटिक{नपुं;3;बहु},स्फाटिक{पुं;3;बहु},"करणम्,16.2","सुप्_समुच्चितः,20.2#सुप्_समुच्चितः,18.3#प्रयोजककर्ता,17.2#कर्ता,20.1#कर्ता,18.1#कर्ता,16.1#करणम्,31.1#करणम्,24.2#करणम्,23.2#करणम्,16.2#हेतुः,31.1#हेतुः,25.1#हेतुः,24.2#हेतुः,23.2#हेतुः,20.1#हेतुः,18.1#हेतुः,17.3#हेतुः,16.1",विल्लौर_पत्थर_कों_से
9,021.2-022-023-024,1,16.1,आवृत-,आवृत-तलाम्,आवृत(आङ्_वृत्1;घञ्;भ्वादिः)}/आवृत(आङ्_वृ1{क्त;स्वादिः),आवृत(आङ्_वृत्1;घञ्;भ्वादिः),"कर्मधारयः,16.2","कर्मधारयः,16.2",-
9,021.2-022-023-024,1,16.2,तलाम्,--,तला{स्त्री;2;एक},तला{स्त्री;2;एक},"विशेषणम्,9.2","विशेषणम्,9.2",तले_को
9,021.2-022-023-024,1,17.1,दन्त-,दन्त-अन्तरित-रूपिकाम्,दन्त,दन्त,"तृतीया_तत्पुरुषः,17.2","तृतीया_तत्पुरुषः,17.2",दन्त-
9,021.2-022-023-024,1,17.2,अन्तरित-,--,अन्तरित(अन्तर्_इ1;क्त;अदादिः),अन्तरित(अन्तर्_इ1;क्त;अदादिः),"बहुव्रीहिः,17.3","बहुव्रीहिः,17.3",-
9,021.2-022-023-024,1,17.3,रूपिकाम्,--,रूपिका{स्त्री;2;एक(रूप1;ण्वुल्;चुरादिः)},रूपिका{स्त्री;2;एक(रूप1;ण्वुल्;चुरादिः)},"विशेषणम्,9.2","विशेषणम्,9.2",-
9,021.2-022-023-024,1,18.1,मुक्ता-,मुक्ता-वज्र-प्रवालैः,मुक्ता(मुच्2;क्त;तुदादिः),मुक्ता(मुच्2;क्त;तुदादिः),"द्वन्द्वः,18.3","द्वन्द्वः,18.3",-
