chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
9,025-026-027-028-029.1,1,1.1,स्तम्भैः,स्तम्भैः,स्तम्भ{पुं;3;बहु}/स्तम्भ{पुं;3;बहु(सम्_ष्तभ्1;घञ्;भ्वादिः)},स्तम्भ{पुं;3;बहु},"करणम्,6.1","विशेषणम्,17.2#विशेषणम्,2.1#कर्ता,6.1#करणम्,6.1#करणम्,20.2#हेतुः,41.1#हेतुः,20.2#हेतुः,14.1#हेतुः,11.2#हेतुः,6.1",दबानों_से
9,025-026-027-028-029.1,1,2.1,पक्षैः,पक्षैः,पक्ष{पुं;3;बहु}/पक्ष{नपुं;3;बहु},पक्ष{पुं;3;बहु},"उपमानम्,1.1","उपमानम्,1.1#कर्ता,6.1#करणम्,41.1#करणम्,20.2#हेतुः,41.1#हेतुः,20.2#हेतुः,14.1#हेतुः,11.2#हेतुः,6.1",पक्षों_से
9,025-026-027-028-029.1,1,3.1,इव,इव,इव{अव्य},इव{अव्य},"उपमान_द्योतकः,1.1","उपमान_द्योतकः,1.1",जैसे
9,025-026-027-028-029.1,1,4.1,अत्युच्चैः,अत्युच्चैः,अत्युच्चैः{अव्य},अत्युच्चैः{अव्य},"विशेषणम्,1.1","विशेषणम्,1.1",-
9,025-026-027-028-029.1,1,5.1,दिवं,दिवं,दिव्{स्त्री;2;एक}/दिव{नपुं;1;एक}/दिव{नपुं;2;एक},दिव्{स्त्री;2;एक},"कर्म,6.1","कर्म,6.1",स्वर्ग_को
9,025-026-027-028-029.1,1,6.1,सम्प्रस्थिताम्,सम्प्रस्थिताम्,सम्प्रस्थिता{स्त्री;2;एक(सम्_प्र_ष्था1;क्त;भ्वादिः)},सम्प्रस्थिता{स्त्री;2;एक(सम्_प्र_ष्था1;क्त;भ्वादिः)},"विशेषणम्,19.1","विशेषणम्,42.1#विशेषणम्,36.1#विशेषणम्,35.2#विशेषणम्,34.1#विशेषणम्,30.2#विशेषणम्,28.1#विशेषणम्,26.1#विशेषणम्,24.2#विशेषणम्,23.1#विशेषणम्,20.2#विशेषणम्,15.4#विशेषणम्,19.1#विशेषणम्,12.1",कूच_किया_हुआ
9,025-026-027-028-029.1,1,7.1,इव,इव,इव{अव्य},इव{अव्य},"सम्बन्धः,6.1","सम्बन्धः,6.1",जैसे
9,025-026-027-028-029.1,1,8.1,महत्या,महत्या,महती{स्त्री;3;एक},महती{स्त्री;3;एक},"विशेषणम्,9.1","विशेषणम्,9.1",बहुत_से
9,025-026-027-028-029.1,1,9.1,कुथया,कुथया,कुथा{स्त्री;3;एक},कुथा{स्त्री;3;एक},"करणम्,10.1","करणम्,10.1",छींट_की_बनी_हाथी_की_झूल_से
9,025-026-027-028-029.1,1,10.1,अस्तीर्णां,अस्तीर्णां,अस्तीर्णा{स्त्री;2;एक},अस्तीर्णा{स्त्री;2;एक},"विशेषणम्,19.1","विशेषणम्,19.1",-
