chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
11,019-020-021.1,1,1.1,महा-,महा-नूपुर-केयूरैः,महत्,महत्,"कर्मधारयः,1.3","कर्मधारयः,1.3",महा-
11,019-020-021.1,1,1.2,नूपुर-,--,नूपुर,नूपुर,"द्वन्द्वः,1.3","द्वन्द्वः,1.3",नूपुर-
11,019-020-021.1,1,1.3,केयूरैः,--,केयूर{पुं;3;बहु}/केयूर{नपुं;3;बहु},केयूर{पुं;3;बहु},"करणम्,12.1","विनार्थः,24.1#विनार्थः,19.1#विनार्थः,18.2#विनार्थः,17.1#विनार्थः,12.1#विनार्थः,10.1#विनार्थः,9.1#विनार्थः,4.3#विशेषणम्,18.3#विशेषणम्,17.1#विशेषणम्,7.1#विशेषणम्,5.1#विशेषणम्,4.3#विशेषणम्,3.2#विशेषणम्,2.1#सुप्_समुच्चितः,7.1#सुप्_समुच्चितः,5.1#कर्ता,4.3#कर्ता,2.1#करणम्,19.1#करणम्,12.1#करणम्,10.1#करणम्,9.1#करणम्,4.1#हेतुः,24.1#हेतुः,19.1#हेतुः,18.2#हेतुः,17.1#हेतुः,12.1#हेतुः,10.1#हेतुः,9.1#हेतुः,4.3",तारों_से
11,019-020-021.1,1,2.1,अपविद्धैः,अपविद्धैः,अपविद्ध{पुं;3;बहु(अप_व्यध्1;क्त;दिवादिः)}/अपविद्ध{नपुं;3;बहु(अप_व्यध्1;क्त;दिवादिः)},अपविद्ध{पुं;3;बहु(अप_व्यध्1;क्त;दिवादिः)},"विशेषणम्,1.3","विशेषणम्,1.3",फेंके_हुए
11,019-020-021.1,1,3.1,महा-,महा-धनैः,महत्,महत्,"कर्मधारयः,3.2","कर्मधारयः,3.2",महा-
11,019-020-021.1,1,3.2,धनैः,--,धन{नपुं;3;बहु}/धन{पुं;3;बहु},धन{नपुं;3;बहु},"समुच्चितः,1.3","समुच्चितः,1.3",धन_से
11,019-020-021.1,1,4.1,पान-,पान-भाजन-विक्षिप्तैः,पान(पा1;ल्युट्;भ्वादिः)}/पान(पा2{ल्युट्;अदादिः),पान(पा1;ल्युट्;भ्वादिः),"षष्ठी_तत्पुरुषः,4.2","षष्ठी_तत्पुरुषः,4.2",-
11,019-020-021.1,1,4.2,भाजन-,--,भाजन,भाजन,"तृतीया_तत्पुरुषः,4.3","तृतीया_तत्पुरुषः,4.3",भाजन-
11,019-020-021.1,1,4.3,विक्षिप्तैः,--,विक्षिप्त{पुं;3;बहु(वि_क्षिप्2;क्त;तुदादिः)}/विक्षिप्त{नपुं;3;बहु(वि_क्षिप्2;क्त;तुदादिः)},विक्षिप्त{पुं;3;बहु(वि_क्षिप्2;क्त;तुदादिः)},"समुच्चितः,1.3","समुच्चितः,1.3",बिखेरा_हुओं_से
11,019-020-021.1,1,5.1,फलैः,फलैः,फल{नपुं;3;बहु},फल{नपुं;3;बहु},"समुच्चितः,1.3","समुच्चितः,1.3",फलों_से
11,019-020-021.1,1,6.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,1.3","समुच्चय_द्योतकः,1.3",और
11,019-020-021.1,1,7.1,विविधैः,विविधैः,विविध{पुं;3;बहु}/विविध{नपुं;3;बहु},विविध{पुं;3;बहु},"विशेषणम्,5.1","विशेषणम्,5.1",विविध_से
11,019-020-021.1,1,8.1,अपि,अपि,अपि{अव्य},अपि{अव्य},"सम्बन्धः,12.1","सम्बन्धः,12.1",भी
11,019-020-021.1,1,9.1,कृत-,कृत-पुष्प-उपहारा,कृत(कृ2;क्त;स्वादिः)}/कृत(कृ3{क्त;तनादिः),कृत(कृ2;क्त;स्वादिः),"बहुव्रीहिः,9.3","बहुव्रीहिः,9.3",-
11,019-020-021.1,1,9.2,पुष्प-,--,पुष्प,पुष्प,"तृतीया_तत्पुरुषः,9.3","तृतीया_तत्पुरुषः,9.3",पुष्प-
11,019-020-021.1,1,9.3,उपहारा,--,उपहारा{स्त्री;1;एक},उपहारा{स्त्री;1;एक},"विशेषणम्,10.1","विशेषणम्,10.1",उपहारा
