chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
11,021.2-022-023-024-025.1,1,1.1,बहु-,बहु-प्रकारैः,बहु,बहु,"बहुव्रीहिः,1.2","बहुव्रीहिः,1.2",बहु-
11,021.2-022-023-024-025.1,1,1.2,प्रकारैः,--,प्रकार{पुं;3;बहु}/प्रकार{पुं;3;बहु(प्र_कृ3;घञ्;तनादिः)}/प्रकार{पुं;3;बहु(प्र_कृ2;घञ्;स्वादिः)}/प्रकार{नपुं;3;बहु},प्रकार{पुं;3;बहु},"विशेषणम्,3.3","विशेषणम्,3.3",प्रकारों_से
11,021.2-022-023-024-025.1,1,2.1,विविधैः,विविधैः,विविध{पुं;3;बहु}/विविध{नपुं;3;बहु},विविध{पुं;3;बहु},"विशेषणम्,3.3","विशेषणम्,3.3",विविध_से
11,021.2-022-023-024-025.1,1,3.1,वर-,वर-संस्कार-संस्कृतैः,वर,वर,"कर्मधारयः,3.2","कर्मधारयः,3.2",वर-
11,021.2-022-023-024-025.1,1,3.2,संस्कार-,--,संस्कार(सम्_कृ3;घञ्;तनादिः)}/संस्कार(संस्_कृ3{घञ्;तनादिः)}/संस्कार(सम्_कृ2{घञ्;स्वादिः)}/संस्कार(संस्_कृ2{घञ्;स्वादिः),संस्कार(सम्_कृ3;घञ्;तनादिः),"तृतीया_तत्पुरुषः,3.3","तृतीया_तत्पुरुषः,3.3",-
11,021.2-022-023-024-025.1,1,3.3,संस्कृतैः,--,संस्कृत{पुं;3;बहु}/संस्कृत{नपुं;3;बहु},संस्कृत{पुं;3;बहु},"विशेषणम्,4.1","विशेषणम्,4.1",परिस्कृतों_से
11,021.2-022-023-024-025.1,1,4.1,मांसैः,मांसैः,मांस{नपुं;3;बहु},मांस{नपुं;3;बहु},"करणम्,41.1","करणम्,41.1",मांस_से
11,021.2-022-023-024-025.1,1,5.1,कुशल-,कुशल-संयुक्तैः,कुशल,कुशल,"तृतीया_तत्पुरुषः,5.2","तृतीया_तत्पुरुषः,5.2",कुशल-
11,021.2-022-023-024-025.1,1,5.2,संयुक्तैः,--,संयुक्त{पुं;3;बहु}/संयुक्त{नपुं;3;बहु},संयुक्त{पुं;3;बहु},"विशेषणम्,4.1","विशेषणम्,4.1",मिला_हुओं_से
11,021.2-022-023-024-025.1,1,6.1,पान-,पान-भूमि-गतैः,पान(पा1;ल्युट्;भ्वादिः)}/पान(पा2{ल्युट्;अदादिः),पान(पा1;ल्युट्;भ्वादिः),"षष्ठी_तत्पुरुषः,6.2","षष्ठी_तत्पुरुषः,6.2",-
11,021.2-022-023-024-025.1,1,6.2,भूमि-,--,भूमिगत,भूमिगत{पु;3;बहु},"द्वितीया_तत्पुरुषः,6.3","द्वितीया_तत्पुरुषः,6.3",-
11,021.2-022-023-024-025.1,1,6.3,गतैः,-,गत{पु;3;बहु},गत{पु;3;बहु},"विशेषणम्,4.1","विशेषणम्,4.1",-
