chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
11,026.2-027.1,1,1.1,सः,सः,तद्{सर्वनाम;पुं;1;एक},तद्{सर्वनाम;पुं;1;एक},"विशेषणम्,12.2","विशेषणम्,12.2#सुप्_समुच्चितः,8.1#कर्ता,2.1",वह
11,026.2-027.1,1,2.1,अपश्यत्,अपश्यत्,दृश्1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;भ्वादिः},दृश्1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;भ्वादिः},अभिहित_कर्ता,-,देखा
11,026.2-027.1,1,3.1,शातकुम्भानि,--,कुम्भ{नपुं;8;बहु}/कुम्भ{नपुं;1;बहु}/कुम्भ{नपुं;2;बहु},शातकुम्भ{नपुं;2;बहु},"विशेषणम्,11.1","विशेषणम्,11.1#विशेषणम्,7.1#सुप्_समुच्चितः,8.1",कुम्भ
11,026.2-027.1,1,4.1,सीधोः,सीधोः,सीधु{पुं;5;एक}/सीधु{पुं;6;एक},सीधु{पुं;6;एक},"षष्ठीसम्बन्धः,11.1","षष्ठीसम्बन्धः,11.1#षष्ठीसम्बन्धः,3.2",ईख_की_मदिरा_से
11,026.2-027.1,1,5.1,मणिमयानि,मणिमयानि,मणिमय{मयट्;नपु;2;बहु},मणिमय{मयट्;नपु;2;बहु},"विशेषणम्,11.1","विशेषणम्,11.1",-
11,026.2-027.1,1,6.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,2.1","सम्बन्धः,2.1",और
11,026.2-027.1,1,7.1,तानि,तानि,तद्{सर्वनाम;नपुं;1;बहु}/तद्{सर्वनाम;नपुं;2;बहु},तद्{सर्वनाम;नपुं;2;बहु},"वीप्सा,8.1","विशेषणम्,8.1#वीप्सा,8.1#सुप्_समुच्चितः,8.1",वे
11,026.2-027.1,1,8.1,तानि,तानि,तद्{सर्वनाम;नपुं;1;बहु}/तद्{सर्वनाम;नपुं;2;बहु},तद्{सर्वनाम;नपुं;2;बहु},"विशेषणम्,11.1","विशेषणम्,11.1",वे
11,026.2-027.1,1,9.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,2.1","सुप्_समुच्चय_द्योतकः,8.1#सम्बन्धः,2.1",और
11,026.2-027.1,1,10.1,पूर्णानि,पूर्णानि,पूर्ण{नपु;2;बहु},पूर्ण{नपु;2;बहु},"विशेषणम्,11.1","विशेषणम्,11.1",-
11,026.2-027.1,1,11.1,भाजनानि,भाजनानि,भाजन{नपु;2;बहु},भाजन{नपु;2;बहु},"कर्म,2.1","कर्म,2.1",-
11,026.2-027.1,1,12.1,महा-,महा-कपिः,महत्,महत्,"कर्मधारयः,12.2","कर्मधारयः,12.2",महा-
11,026.2-027.1,1,12.2,कपिः,--,कपि{पुं;1;एक},कपि{पुं;1;एक},"कर्ता,2.1","कर्ता,2.1",बंदर
11,026.2-027.1,1,13.1,.,.,-,-,-,-,-
