chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
11,032-033.1,1,1.1,चन्दनस्य,चन्दनस्य,चन्दन{पुं;6;एक}/चन्दन{नपुं;6;एक(चद्2;ल्युट्;भ्वादिः)},चन्दन{पुं;6;एक},"षष्ठीसम्बन्धः,16.1","षष्ठीसम्बन्धः,16.1",चन्दन_के
11,032-033.1,1,2.1,च,च,च{अव्य},च{अव्य},"समुच्चय_द्योतकः,1.1","समुच्चय_द्योतकः,1.1",और
11,032-033.1,1,3.1,शीतस्य,शीतस्य,शीत{पुं;6;एक}/शीत{नपुं;6;एक},शीत{पुं;6;एक},"समुच्चितः,1.1","समुच्चितः,1.1",शीत_का
11,032-033.1,1,4.1,सीधोः,सीधोः,सीधु{पुं;5;एक}/सीधु{पुं;6;एक},सीधु{पुं;6;एक},"समुच्चितः,1.1","समुच्चितः,1.1",ईख_की_मदिरा_से
11,032-033.1,1,5.1,मधु-,मधु-रसस्य,मधु,मधु,"षष्ठी_तत्पुरुषः,5.2","षष्ठी_तत्पुरुषः,5.2",मधु-
11,032-033.1,1,5.2,रसस्य,--,रस{पुं;6;एक}/रस{नपुं;6;एक},रस{पुं;6;एक},"समुच्चितः,1.1","समुच्चितः,1.1",रस_के
11,032-033.1,1,6.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,18.1","सम्बन्धः,18.1",और
11,032-033.1,1,7.1,विविधस्य,विविधस्य,विविध{पुं;6;एक}/विविध{नपुं;6;एक},विविध{पुं;6;एक},"विशेषणम्,9.1","विशेषणम्,9.1",विविध_के
11,032-033.1,1,8.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,18.1","सम्बन्धः,18.1",और
11,032-033.1,1,9.1,माल्यस्य,माल्यस्य,माल्य{नपु;6;एक},माल्य{नपु;6;एक},"समुच्चितः,1.1","समुच्चितः,1.1",-
11,032-033.1,1,10.1,पुष्पस्य,पुष्पस्य,पुष्प{नपुं;6;एक},पुष्प{नपुं;6;एक},"समुच्चितः,1.1","समुच्चितः,1.1#षष्ठीसम्बन्धः,17.1#षष्ठीसम्बन्धः,16.1#षष्ठीसम्बन्धः,14.1#षष्ठीसम्बन्धः,11.1#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,5.2#षष्ठीसम्बन्धः,4.1#षष्ठीसम्बन्धः,3.1",पुष्प_का
11,032-033.1,1,11.1,विविधस्य,विविधस्य,विविध{पुं;6;एक}/विविध{नपुं;6;एक},विविध{पुं;6;एक},"विशेषणम्,10.1","सुप्_समुच्चितः,1.1#षष्ठीसम्बन्धः,17.1#षष्ठीसम्बन्धः,16.1#षष्ठीसम्बन्धः,14.1#षष्ठीसम्बन्धः,10.1#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,5.2#षष्ठीसम्बन्धः,4.1#षष्ठीसम्बन्धः,3.1#विशेषणम्,10.1",विविध_के
11,032-033.1,1,12.1,च,च,च{अव्य},च{अव्य},"सम्बन्धः,19.1","सुप्_समुच्चय_द्योतकः,11.1#सम्बन्धः,19.1",और
11,032-033.1,1,13.1,बहुधा,बहुधा,बहुधा{अव्य},बहुधा{अव्य},"सम्बन्धः,15.1","सम्बन्धः,15.1",कई_प्रकार_से
11,032-033.1,1,14.1,मारुतः,मारुतः,मारुत{पुं;1;एक},मारुत{पुं;1;एक},"कर्ता,19.1","कर्ता,19.1",वायु
11,032-033.1,1,15.1,तस्य,तस्य,तद्{सर्वनाम;नपुं;6;एक}/तद्{सर्वनाम;पुं;6;एक},तद्{सर्वनाम;नपुं;6;एक},"समुच्चितः,1.1","समुच्चितः,1.1",उसका
11,032-033.1,1,16.1,गन्धम्,गन्धम्,गन्ध{पुं;2;एक},गन्ध{पुं;2;एक},"कर्म,18.1","कर्म,18.1",गन्ध_को
11,032-033.1,1,17.1,विविधम्,विविधम्,विविध{पुं;2;एक}/विविध{नपुं;1;एक}/विविध{नपुं;2;एक},विविध{पुं;2;एक},"विशेषणम्,16.1","विशेषणम्,16.1",विविध_को
11,032-033.1,1,18.1,उद्वहन्,उद्वहन्,उद्वहत्{पुं;1;एक(उत्_वह्1;शतृ_लट्;भ्वादिः)},उद्वहत्{पुं;1;एक(उत्_वह्1;शतृ_लट्;भ्वादिः)},"वर्तमानसमानकालः,19.1","वर्तमानसमानकालः,19.1",उठाता_हुआ
11,032-033.1,1,19.1,(ववौ),ववौ,वा1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;अदादिः}/वा1{कर्तरि;लिट्;उ;एक;परस्मैपदी;अदादिः}/वे1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;भ्वादिः}/वे1{कर्तरि;लिट्;उ;एक;परस्मैपदी;भ्वादिः},वा1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;अदादिः},अभिहित_कर्ता,अभिहित_कर्ता,गया
11,032-033.1,1,20.1,(विमाने),विमाने,विमान{नपु;7;एक},विमान{नपु;7;एक},"देशाधिकरणम्,19.1","देशाधिकरणम्,19.1",-
