chaptno,slokano,sentno,anvaya_no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,possible_relations,hindi_meaning
35,068_069_1,1,1.1,त्वत्-,त्वत्-दर्शने,त्वत्,त्वत्,"षष्ठी-तत्पुरुषः,1.2","समासः,1.2;षष्ठी-तत्पुरुषः,1.2",त्वत्-
35,068_069_1,1,1.2,दर्शने,--,दर्शन{नपुं;1;द्वि}/दर्शन{नपुं;2;द्वि}/दर्शन{पुं;7;एक}/दर्शन{नपुं;7;एक}/दर्शन{नपुं;8;द्वि}/दर्शना{स्त्री;8;एक}/दर्शना{स्त्री;8;द्वि}/दर्शना{स्त्री;1;द्वि}/दर्शना{स्त्री;2;द्वि},दर्शन{नपुं;7;एक},"अधिकरणम्,2.2","विशेषणम्,7.1#कर्म,4.1#कर्म,2.1#अधिकरणम्,14.1#अधिकरणम्,9.1#अधिकरणम्,4.1#अधिकरणम्,2.2",दर्शन
35,068_069_1,1,2.1,कृत-,कृत-उत्साहाः,कृत(कृ2;क्त;स्वादिः)}/कृत(कृ3{क्त;तनादिः),कृत(कृ2;क्त;स्वादिः),"बहुव्रीहिः,2.2","समासः,2.2;बहुव्रीहिः,2.2",-
35,068_069_1,1,2.2,उत्साहाः,--,उत्साह{पुं;1;बहु}/उत्साह{पुं;8;बहु}/उत्साहा{स्त्री;8;बहु}/उत्साहा{स्त्री;1;बहु}/उत्साहा{स्त्री;2;बहु},उत्साह{पुं;1;बहु},"विशेषणम्,10.3","विशेषणम्,10.3#विशेषणम्,9.1#विशेषणम्,6.2#विशेषणम्,4.1#विशेषणम्,3.1#कर्म,9.1#कर्म,4.1#विशेषणम्,7.1",उत्साह
35,068_069_1,1,3.1,हृष्टाः,हृष्टाः,हृष्ट{पुं;1;बहु}/हृष्टा{स्त्री;1;बहु}/हृष्टा{स्त्री;2;बहु}/हृष्ट{पुं;8;बहु},हृष्ट{पुं;1;बहु},"विशेषणम्,10.3","कर्म,9.1#कर्म,4.1#कर्म,2.1#विशेषणम्,10.3",हर्षित
35,068_069_1,1,4.1,पुष्टाः,पुष्टाः,पुष्ट{पुं;1;बहु}/पुष्टा{स्त्री;1;बहु(पुष्2;क्त;दिवादिः)}/पुष्टा{स्त्री;2;बहु(पुष्2;क्त;दिवादिः)},पुष्ट{पुं;1;बहु},"विशेषणम्,10.3","विशेषणम्,10.3#विशेषणम्,9.1#विशेषणम्,6.2#विशेषणम्,3.1#विशेषणम्,2.2#कर्म,9.1#कर्म,2.1#विशेषणम्,7.1",पुष्ट
35,068_069_1,1,5.1,प्लव-,प्लव-ङ्गमाः,प्लव,प्लव,"उपपद-तत्पुरुषः,5.2","उपपद-तत्पुरुषः,5.2",प्लव-
35,068_069_1,1,5.2,ङ्गमाः,--,-,-,"विशेषणम्,10.3","विशेषणम्,10.3",-
35,068_069_1,1,6.1,अङ्गद-,अङ्गद-प्रमुखाः,अङ्गद,अङ्गद,"बहुव्रीहिः,6.2","समासः,6.2;बहुव्रीहिः,6.2",अङ्गद-
35,068_069_1,1,6.2,प्रमुखाः,--,प्रमुख{पुं;1;बहु}/प्रमुखा{स्त्री;1;बहु}/प्रमुखा{स्त्री;2;बहु}/प्रमुख{पुं;8;बहु}/प्रमुखा{स्त्री;8;बहु},प्रमुख{पुं;1;बहु},"विशेषणम्,10.3","विशेषणम्,10.3#विशेषणम्,2.2#विशेषणम्,3.1#विशेषणम्,9.1#विशेषणम्,4.1#कर्म,9.1#कर्म,4.1#कर्म,2.1#विशेषणम्,7.1",प्रमुख
